_MEMBER_AD_imp_1 - 94.0-96.0,_MEMBER_AD_imp_1 - 96.0-98.0,_MEMBER_AD_imp_1 - 98.0-100.0,_LogP_AD_imp_1 - 94.0-96.0,_LogP_AD_imp_1 - 96.0-98.0,_LogP_AD_imp_1 - 98.0-100.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,1,0,0,-2,GO:0090036,regulation of protein kinase C signaling,M001,1,0
0,0,1,0,0,-4.6,GO:0043087,regulation of GTPase activity,M001,1,0
0,0,1,0,0,-2.2,GO:0030509,BMP signaling pathway,M001,1,0
0,0,1,0,0,-2.5,GO:0002431,Fc receptor mediated stimulatory signaling pathway,M001,1,0
0,1,0,0,-2.1,0,GO:0044091,membrane biogenesis,M010,1,0
0,0,1,0,0,-2.7,GO:0001914,regulation of T cell mediated cytotoxicity,M001,1,0
1,0,0,-2.2,0,0,R-HSA-190242,FGFR1 ligand binding and activation,M100,1,0
0,0,1,0,0,-3.2,GO:0001910,regulation of leukocyte mediated cytotoxicity,M001,1,0
1,0,0,-3.3,0,0,GO:0045599,negative regulation of fat cell differentiation,M100,1,0
1,0,0,-2.3,0,0,GO:0034103,regulation of tissue remodeling,M100,1,0
0,0,1,0,0,-4.9,GO:0060322,head development,M001,1,0
0,0,1,0,0,-2.3,hsa04714,Thermogenesis,M001,1,0
0,0,1,0,0,-2.6,GO:0032675,regulation of interleukin-6 production,M001,1,0
0,1,0,0,-2.4,0,GO:0002438,acute inflammatory response to antigenic stimulus,M010,1,0
0,0,1,0,0,-4.3,GO:0002699,positive regulation of immune effector process,M001,1,0
0,0,1,0,0,-2.4,GO:0002366,leukocyte activation involved in immune response,M001,1,0
1,0,0,-3.3,0,0,GO:0045598,regulation of fat cell differentiation,M100,1,0
0,0,1,0,0,-2.8,GO:0055123,digestive system development,M001,1,0
0,0,1,0,0,-2.4,GO:0043583,ear development,M001,1,0
0,0,1,0,0,-2.4,GO:0032891,negative regulation of organic acid transport,M001,1,0
1,0,0,-2.5,0,0,GO:0003222,ventricular trabecula myocardium morphogenesis,M100,1,0
1,0,0,-2.3,0,0,GO:0050920,regulation of chemotaxis,M100,1,0
0,0,1,0,0,-4.6,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,M001,1,0
1,0,0,-3.2,0,0,R-HSA-2559580,Oxidative Stress Induced Senescence,M100,1,0
0,0,1,0,0,-3.2,GO:0034765,regulation of monoatomic ion transmembrane transport,M001,1,0
0,0,1,0,0,-4.1,GO:0031341,regulation of cell killing,M001,1,0
1,0,0,-2.5,0,0,R-HSA-2559585,Oncogene Induced Senescence,M100,1,0
1,0,0,-2.4,0,0,GO:0042269,regulation of natural killer cell mediated cytotoxicity,M100,1,0
1,0,0,-2.3,0,0,GO:0043065,positive regulation of apoptotic process,M100,1,0
0,1,0,0,-2.2,0,GO:0009100,glycoprotein metabolic process,M010,1,0
0,0,1,0,0,-2.3,GO:0060412,ventricular septum morphogenesis,M001,1,0
1,0,0,-2,0,0,GO:0046322,negative regulation of fatty acid oxidation,M100,1,0
0,0,1,0,0,-2.1,GO:0040017,positive regulation of locomotion,M001,1,0
1,0,0,-3.3,0,0,GO:0002832,negative regulation of response to biotic stimulus,M100,1,0
0,1,0,0,-2.4,0,GO:0015015,"heparan sulfate proteoglycan biosynthetic process, enzymatic modification",M010,1,0
0,1,0,0,-2.4,0,WP3945,TYROBP causal network in microglia,M010,1,0
0,1,0,0,-3.2,0,GO:0006897,endocytosis,M010,1,0
1,0,0,-3.1,0,0,GO:0030879,mammary gland development,M100,1,0
1,0,0,-2.4,0,0,GO:0032720,negative regulation of tumor necrosis factor production,M100,1,0
1,0,0,-2.3,0,0,GO:0072175,epithelial tube formation,M100,1,0
0,0,1,0,0,-5.7,WP2849,Hematopoietic stem cell differentiation,M001,1,0
0,0,1,0,0,-2.3,GO:1903708,positive regulation of hemopoiesis,M001,1,0
1,0,0,-2.8,0,0,GO:0120163,negative regulation of cold-induced thermogenesis,M100,1,0
0,0,1,0,0,-2.3,hsa05140,Leishmaniasis,M001,1,0
0,0,1,0,0,-3.2,GO:0002694,regulation of leukocyte activation,M001,1,0
1,0,0,-2.3,0,0,M167,PID AP1 PATHWAY,M100,1,0
1,0,0,-2.5,0,0,GO:0051962,positive regulation of nervous system development,M100,1,0
0,0,1,0,0,-2.2,GO:0001890,placenta development,M001,1,0
0,0,1,0,0,-2.9,GO:0022898,regulation of transmembrane transporter activity,M001,1,0
0,1,0,0,-2.8,0,WP2864,Apoptosis related network due to altered Notch3 in ovarian cancer,M010,1,0
0,0,1,0,0,-2.7,GO:0150063,visual system development,M001,1,0
0,0,1,0,0,-2.4,WP2018,RANKL RANK signaling pathway,M001,1,0
0,0,1,0,0,-2.4,GO:0048514,blood vessel morphogenesis,M001,1,0
1,0,0,-2.8,0,0,GO:0031214,biomineral tissue development,M100,1,0
0,0,1,0,0,-2.5,GO:0032733,positive regulation of interleukin-10 production,M001,1,0
1,0,0,-2,0,0,M1529,SA G1 AND S PHASES,M100,1,0
1,0,0,-2.5,0,0,WP53,ID signaling pathway,M100,1,0
0,0,1,0,0,-2.7,WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,M001,1,0
0,1,0,0,-2.2,0,GO:0048935,peripheral nervous system neuron development,M010,1,0
0,0,1,0,0,-3.7,GO:0002831,regulation of response to biotic stimulus,M001,1,0
0,0,1,0,0,-2.1,M285,PID HNF3A PATHWAY,M001,1,0
0,0,1,0,0,-2.5,WP4844,Influence of laminopathies on Wnt signaling,M001,1,0
0,0,1,0,0,-2.1,GO:1903115,regulation of actin filament-based movement,M001,1,0
1,0,0,-2.5,0,0,GO:0046622,positive regulation of organ growth,M100,1,0
0,0,1,0,0,-3.1,GO:0002573,myeloid leukocyte differentiation,M001,1,0
0,0,1,0,0,-2.2,GO:0019884,antigen processing and presentation of exogenous antigen,M001,1,0
0,0,1,0,0,-5.5,GO:0019722,calcium-mediated signaling,M001,1,0
1,0,0,-2.7,0,0,hsa04932,Non-alcoholic fatty liver disease,M100,1,0
1,0,0,-2.5,0,0,hsa04137,Mitophagy - animal,M100,1,0
0,0,1,0,0,-2,GO:0030216,keratinocyte differentiation,M001,1,0
0,0,1,0,0,-2.9,GO:0038095,Fc-epsilon receptor signaling pathway,M001,1,0
0,0,1,0,0,-3.7,R-HSA-9673324,WNT5:FZD7-mediated leishmania damping,M001,1,0
0,0,1,0,0,-3.2,GO:0048736,appendage development,M001,1,0
0,0,1,0,0,-2.8,WP2328,Allograft rejection,M001,1,0
0,0,1,0,0,-3.7,GO:0010464,regulation of mesenchymal cell proliferation,M001,1,0
1,0,0,-2,0,0,R-HSA-417957,P2Y receptors,M100,1,0
0,0,1,0,0,-2.9,GO:0002026,regulation of the force of heart contraction,M001,1,0
0,1,0,0,-2.7,0,GO:0000910,cytokinesis,M010,1,0
1,0,0,-2.7,0,0,R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,M100,1,0
1,0,0,-2.9,0,0,GO:1901201,regulation of extracellular matrix assembly,M100,1,0
1,0,0,-3.7,0,0,GO:0048863,stem cell differentiation,M100,1,0
1,0,0,-2.7,0,0,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M100,1,0
1,0,0,-2.2,0,0,R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,M100,1,0
0,0,1,0,0,-3.1,GO:0060340,positive regulation of type I interferon-mediated signaling pathway,M001,1,0
1,0,0,-2,0,0,WP5130,Th17 cell differentiation pathway,M100,1,0
0,1,0,0,-2,0,hsa05215,Prostate cancer,M010,1,0
0,1,0,0,-2.9,0,GO:0055080,monoatomic cation homeostasis,M010,1,0
0,0,1,0,0,-4.8,GO:0035113,embryonic appendage morphogenesis,M001,1,0
0,0,1,0,0,-2.2,GO:0046635,positive regulation of alpha-beta T cell activation,M001,1,0
0,0,1,0,0,-2,hsa04514,Cell adhesion molecules,M001,1,0
0,1,0,0,-2.1,0,GO:0002437,inflammatory response to antigenic stimulus,M010,1,0
0,0,1,0,0,-2.4,GO:1903522,regulation of blood circulation,M001,1,0
0,0,1,0,0,-2.3,GO:0043299,leukocyte degranulation,M001,1,0
1,0,0,-2.1,0,0,GO:0045922,negative regulation of fatty acid metabolic process,M100,1,0
0,0,1,0,0,-4.1,GO:0098609,cell-cell adhesion,M001,1,0
0,0,1,0,0,-2.7,M175,PID ERBB2 ERBB3 PATHWAY,M001,1,0
0,0,1,0,0,-2,GO:0033598,mammary gland epithelial cell proliferation,M001,1,0
0,1,0,0,-2.4,0,GO:0001771,immunological synapse formation,M010,1,0
0,0,1,0,0,-2.4,GO:1903305,regulation of regulated secretory pathway,M001,1,0
0,0,1,0,0,-2.6,GO:0002700,regulation of production of molecular mediator of immune response,M001,1,0
0,0,1,0,0,-2.3,GO:0071229,cellular response to acid chemical,M001,1,0
0,0,1,0,0,-2.1,GO:0003002,regionalization,M001,1,0
0,0,1,0,0,-2,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,M001,1,0
1,0,0,-4.6,0,0,GO:0140747,regulation of ncRNA transcription,M100,1,0
1,0,0,-2.2,0,0,GO:0060485,mesenchyme development,M100,1,0
0,1,0,0,-2.3,0,GO:0007040,lysosome organization,M010,1,0
0,0,1,0,0,-2,WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,M001,1,0
0,1,0,0,-2.6,0,hsa05130,Pathogenic Escherichia coli infection,M010,1,0
0,0,1,0,0,-2.2,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,M001,1,0
1,0,0,-2,0,0,WP4206,Hereditary leiomyomatosis and renal cell carcinoma pathway,M100,1,0
1,0,0,-2.1,0,0,GO:0001960,negative regulation of cytokine-mediated signaling pathway,M100,1,0
1,0,0,-2.5,0,0,GO:0002520,immune system development,M100,1,0
0,0,1,0,0,-2,GO:0097066,response to thyroid hormone,M001,1,0
0,1,0,0,-2,0,GO:0051642,centrosome localization,M010,1,0
0,0,1,0,0,-2.5,GO:0061448,connective tissue development,M001,1,0
1,0,0,-2.4,0,0,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,M100,1,0
0,1,0,0,-2.5,0,WP5293,Acute myeloid leukemia,M010,1,0
1,0,0,-3.1,0,0,hsa04010,MAPK signaling pathway,M100,1,0
1,0,0,-2.3,0,0,GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,M100,1,0
0,0,1,0,0,-3.8,GO:1902105,regulation of leukocyte differentiation,M001,1,0
0,0,1,0,0,-2.1,GO:0042116,macrophage activation,M001,1,0
0,0,1,0,0,-2.2,hsa04670,Leukocyte transendothelial migration,M001,1,0
0,1,0,0,-2.6,0,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),M010,1,0
0,0,1,0,0,-5.2,GO:0007420,brain development,M001,1,0
0,0,1,0,0,-2.6,GO:0048880,sensory system development,M001,1,0
0,0,1,0,0,-2.2,R-HSA-199418,Negative regulation of the PI3K/AKT network,M001,1,0
0,0,1,0,0,-3.2,hsa04750,Inflammatory mediator regulation of TRP channels,M001,1,0
0,0,1,0,0,-2.7,GO:0044057,regulation of system process,M001,1,0
0,1,0,0,-2.1,0,GO:0042102,positive regulation of T cell proliferation,M010,1,0
0,0,1,0,0,-2.6,hsa04360,Axon guidance,M001,1,0
0,0,1,0,0,-3,GO:0000902,cell morphogenesis,M001,1,0
0,0,1,0,0,-2.5,WP2839,Hair follicle development organogenesis part 2 of 3,M001,1,0
0,0,1,0,0,-2.2,GO:0051588,regulation of neurotransmitter transport,M001,1,0
0,1,0,0,-2.4,0,GO:0030003,intracellular monoatomic cation homeostasis,M010,1,0
1,0,0,-2,0,0,GO:0061138,morphogenesis of a branching epithelium,M100,1,0
0,1,0,0,-2.4,0,GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,M010,1,0
0,1,0,0,-2.1,0,GO:0032946,positive regulation of mononuclear cell proliferation,M010,1,0
0,0,1,0,0,-2.4,GO:0090257,regulation of muscle system process,M001,1,0
0,1,0,0,-2.3,0,hsa04810,Regulation of actin cytoskeleton,M010,1,0
0,0,1,0,0,-4.5,WP3937,Microglia pathogen phagocytosis pathway,M001,1,0
1,0,0,-2.1,0,0,GO:0030522,intracellular receptor signaling pathway,M100,1,0
0,0,1,0,0,-2,GO:0021756,striatum development,M001,1,0
0,0,1,0,0,-2.4,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,M001,1,0
0,0,1,0,0,-2,GO:0046645,positive regulation of gamma-delta T cell activation,M001,1,0
0,0,1,0,0,-2.8,GO:2000177,regulation of neural precursor cell proliferation,M001,1,0
1,0,0,-2.2,0,0,GO:0060421,positive regulation of heart growth,M100,1,0
0,1,0,0,-2.7,0,GO:0032006,regulation of TOR signaling,M010,1,0
0,0,1,0,0,-2.4,GO:0002478,antigen processing and presentation of exogenous peptide antigen,M001,1,0
0,0,1,0,0,-2.9,GO:0071773,cellular response to BMP stimulus,M001,1,0
0,1,0,0,-2.1,0,GO:0070670,response to interleukin-4,M010,1,0
0,0,1,0,0,-2.9,GO:0021700,developmental maturation,M001,1,0
1,0,0,-4.2,0,0,GO:1902895,positive regulation of miRNA transcription,M100,1,0
0,0,1,0,0,-2.7,GO:2000977,regulation of forebrain neuron differentiation,M001,1,0
1,0,0,-2.7,0,0,GO:0002009,morphogenesis of an epithelium,M100,1,0
0,0,1,0,0,-3.1,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,M001,1,0
0,1,0,0,-2.9,0,GO:0071407,cellular response to organic cyclic compound,M010,1,0
0,0,1,0,0,-3.2,GO:0050808,synapse organization,M001,1,0
0,0,1,0,0,-3.7,GO:0071363,cellular response to growth factor stimulus,M001,1,0
0,0,1,0,0,-2.7,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,M001,1,0
0,0,1,0,0,-3.3,R-HSA-1280218,Adaptive Immune System,M001,1,0
1,0,0,-3.4,0,0,WP5074,Kallmann syndrome,M100,1,0
1,0,0,-2,0,0,GO:0019216,regulation of lipid metabolic process,M100,1,0
1,0,0,-4.1,0,0,GO:0060644,mammary gland epithelial cell differentiation,M100,1,0
0,1,0,0,-2.5,0,GO:0031401,positive regulation of protein modification process,M010,1,0
0,0,1,0,0,-3.1,GO:0043011,myeloid dendritic cell differentiation,M001,1,0
0,0,1,0,0,-4.2,GO:0060627,regulation of vesicle-mediated transport,M001,1,0
0,0,1,0,0,-3.1,hsa05142,Chagas disease,M001,1,0
0,0,1,0,0,-2.8,GO:0006366,transcription by RNA polymerase II,M001,1,0
0,0,1,0,0,-2.6,GO:0003013,circulatory system process,M001,1,0
1,0,0,-2.6,0,0,GO:0050769,positive regulation of neurogenesis,M100,1,0
1,0,0,-2.9,0,0,GO:0002707,negative regulation of lymphocyte mediated immunity,M100,1,0
0,0,1,0,0,-2.2,GO:0038094,Fc-gamma receptor signaling pathway,M001,1,0
0,1,0,0,-2.3,0,GO:0031329,regulation of cellular catabolic process,M010,1,0
0,0,1,0,0,-2.7,GO:1902692,regulation of neuroblast proliferation,M001,1,0
1,0,0,-2.4,0,0,WP5115,Network map of SARS CoV 2 signaling pathway,M100,1,0
0,1,0,0,-2.5,0,WP3981,miRNA regulation of prostate cancer signaling pathways,M010,1,0
0,1,0,0,-2.5,0,GO:0032008,positive regulation of TOR signaling,M010,1,0
0,0,1,0,0,-2.1,GO:0043010,camera-type eye development,M001,1,0
0,0,1,0,0,-3.7,R-HSA-9664420,Killing mechanisms,M001,1,0
0,0,1,0,0,-4.8,GO:0030326,embryonic limb morphogenesis,M001,1,0
1,0,0,-2.8,0,0,GO:0002695,negative regulation of leukocyte activation,M100,1,0
0,0,1,0,0,-2.5,GO:0051924,regulation of calcium ion transport,M001,1,0
0,0,1,0,0,-2.2,GO:0045580,regulation of T cell differentiation,M001,1,0
0,1,0,0,-2.7,0,GO:0003073,regulation of systemic arterial blood pressure,M010,1,0
0,0,1,0,0,-2.7,GO:0021955,central nervous system neuron axonogenesis,M001,1,0
0,1,0,0,-2.1,0,GO:0009895,negative regulation of catabolic process,M010,1,0
0,0,1,0,0,-2.5,GO:0043392,negative regulation of DNA binding,M001,1,0
0,1,0,0,-3.3,0,GO:0097529,myeloid leukocyte migration,M010,1,0
1,0,0,-2.5,0,0,GO:1903530,regulation of secretion by cell,M100,1,0
1,0,0,-2.4,0,0,WP4754,IL 18 signaling pathway,M100,1,0
0,0,1,0,0,-2.4,GO:1905809,negative regulation of synapse organization,M001,1,0
0,0,1,0,0,-2.9,GO:0048839,inner ear development,M001,1,0
0,1,0,0,-2.5,0,GO:0001936,regulation of endothelial cell proliferation,M010,1,0
1,0,0,-2,0,0,GO:0048512,circadian behavior,M100,1,0
1,0,0,-2.7,0,0,GO:2001188,regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,M100,1,0
0,0,1,0,0,-2.5,GO:0002218,activation of innate immune response,M001,1,0
0,0,1,0,0,-3.4,GO:0048705,skeletal system morphogenesis,M001,1,0
0,1,0,0,-2.5,0,GO:0030641,regulation of cellular pH,M010,1,0
1,0,0,-2,0,0,GO:0060761,negative regulation of response to cytokine stimulus,M100,1,0
0,1,0,0,-2.3,0,GO:0010256,endomembrane system organization,M010,1,0
0,0,1,0,0,-3.2,GO:0060173,limb development,M001,1,0
1,0,0,-2.4,0,0,M190,PID TCR JNK PATHWAY,M100,1,0
0,1,0,0,-2.4,0,GO:0010640,regulation of platelet-derived growth factor receptor signaling pathway,M010,1,0
1,0,0,-2.2,0,0,GO:0051091,positive regulation of DNA-binding transcription factor activity,M100,1,0
1,0,0,-2.7,0,0,GO:0001915,negative regulation of T cell mediated cytotoxicity,M100,1,0
0,0,1,0,0,-2.6,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,M001,1,0
0,0,1,0,0,-2.5,GO:0002705,positive regulation of leukocyte mediated immunity,M001,1,0
0,0,1,0,0,-2.3,GO:1902107,positive regulation of leukocyte differentiation,M001,1,0
1,0,0,-4.8,0,0,GO:1902893,regulation of miRNA transcription,M100,1,0
0,1,0,0,-2,0,GO:0007623,circadian rhythm,M010,1,0
1,0,0,-2.4,0,0,hsa05205,Proteoglycans in cancer,M100,1,0
0,0,1,0,0,-3.5,R-HSA-9758941,Gastrulation,M001,1,0
0,0,1,0,0,-2.4,R-HSA-912631,Regulation of signaling by CBL,M001,1,0
0,0,1,0,0,-2.4,GO:0072575,epithelial cell proliferation involved in liver morphogenesis,M001,1,0
0,0,1,0,0,-2.4,GO:0048546,digestive tract morphogenesis,M001,1,0
0,0,1,0,0,-2,WP75,Toll like receptor signaling pathway,M001,1,0
1,0,0,-2.4,0,0,R-HSA-5654693,FRS-mediated FGFR1 signaling,M100,1,0
1,0,0,-4.6,0,0,R-HSA-449147,Signaling by Interleukins,M100,1,0
0,0,1,0,0,-2.2,GO:0019882,antigen processing and presentation,M001,1,0
1,0,0,-2.6,0,0,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M100,1,0
0,0,1,0,0,-3.6,GO:0019221,cytokine-mediated signaling pathway,M001,1,0
0,0,1,0,0,-2.9,GO:0042113,B cell activation,M001,1,0
1,0,0,-2.4,0,0,R-HSA-5654689,PI-3K cascade:FGFR1,M100,1,0
0,0,1,0,0,-2,GO:0048015,phosphatidylinositol-mediated signaling,M001,1,0
0,0,1,0,0,-2.4,hsa04611,Platelet activation,M001,1,0
0,0,1,0,0,-2.3,GO:0031346,positive regulation of cell projection organization,M001,1,0
0,0,1,0,0,-3.3,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,M001,1,0
1,0,0,-2.7,0,0,GO:0010762,regulation of fibroblast migration,M100,1,0
0,0,1,0,0,-3.1,R-HSA-9824443,Parasitic Infection Pathways,M001,1,0
0,0,1,0,0,-2.1,GO:0021801,cerebral cortex radial glia-guided migration,M001,1,0
0,0,1,0,0,-3.2,GO:0009617,response to bacterium,M001,1,0
0,0,1,0,0,-2.1,GO:1902305,regulation of sodium ion transmembrane transport,M001,1,0
0,0,1,0,0,-3.4,GO:0008283,cell population proliferation,M001,1,0
0,0,1,0,0,-2,WP289,Myometrial relaxation and contraction pathways,M001,1,0
0,1,0,0,-3.1,0,GO:0071674,mononuclear cell migration,M010,1,0
0,0,1,0,0,-2.6,GO:0051216,cartilage development,M001,1,0
0,0,1,0,0,-2.6,GO:0003231,cardiac ventricle development,M001,1,0
0,0,1,0,0,-5.1,GO:0006954,inflammatory response,M001,1,0
0,0,1,0,0,-2.4,GO:2001259,positive regulation of cation channel activity,M001,1,0
0,0,1,0,0,-3,GO:0048596,embryonic camera-type eye morphogenesis,M001,1,0
1,0,0,-2.3,0,0,GO:0050708,regulation of protein secretion,M100,1,0
0,0,1,0,0,-2,GO:0098743,cell aggregation,M001,1,0
0,0,1,0,0,-2.9,GO:0007605,sensory perception of sound,M001,1,0
0,0,1,0,0,-3.5,GO:0042472,inner ear morphogenesis,M001,1,0
1,0,0,-3.8,0,0,GO:0001911,negative regulation of leukocyte mediated cytotoxicity,M100,1,0
0,0,1,0,0,-2.4,GO:0031344,regulation of cell projection organization,M001,1,0
1,0,0,-2.4,0,0,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M100,1,0
0,0,1,0,0,-2.1,GO:0099536,synaptic signaling,M001,1,0
0,0,1,0,0,-2.6,GO:0002066,columnar/cuboidal epithelial cell development,M001,1,0
0,0,1,0,0,-2.3,GO:0032989,cellular anatomical entity morphogenesis,M001,1,0
0,0,1,0,0,-2.7,GO:0046643,regulation of gamma-delta T cell activation,M001,1,0
0,0,1,0,0,-3.3,GO:0001501,skeletal system development,M001,1,0
0,0,1,0,0,-2.2,GO:0048858,cell projection morphogenesis,M001,1,0
1,0,0,-2.4,0,0,GO:0045667,regulation of osteoblast differentiation,M100,1,0
0,0,1,0,0,-2.2,hsa05418,Fluid shear stress and atherosclerosis,M001,1,0
1,0,0,-2.2,0,0,R-HSA-157118,Signaling by NOTCH,M100,1,0
0,0,1,0,0,-2.3,R-HSA-446728,Cell junction organization,M001,1,0
0,1,0,0,-2.3,0,GO:0006885,regulation of pH,M010,1,0
0,0,1,0,0,-3.2,M8626,SIG BCR SIGNALING PATHWAY,M001,1,0
0,0,1,0,0,-3.7,GO:0021960,anterior commissure morphogenesis,M001,1,0
0,1,0,0,-2.8,0,GO:0050801,monoatomic ion homeostasis,M010,1,0
0,0,1,0,0,-3.2,GO:0001961,positive regulation of cytokine-mediated signaling pathway,M001,1,0
1,0,0,-2,0,0,GO:0062012,regulation of small molecule metabolic process,M100,1,0
1,0,0,-2.5,0,0,R-HSA-5655302,Signaling by FGFR1 in disease,M100,1,0
0,1,0,0,-2.2,0,R-HSA-9703465,Signaling by FLT3 fusion proteins,M010,1,0
0,1,0,0,-2,0,GO:1900180,regulation of protein localization to nucleus,M010,1,0
0,0,1,0,0,-2.6,WP4541,Hippo Merlin signaling dysregulation,M001,1,0
0,0,1,0,0,-3.4,R-HSA-1236977,Endosomal/Vacuolar pathway,M001,1,0
0,0,1,0,0,-2.4,GO:0001837,epithelial to mesenchymal transition,M001,1,0
0,0,1,0,0,-2.3,GO:1904064,positive regulation of cation transmembrane transport,M001,1,0
0,0,1,0,0,-2.2,GO:0007389,pattern specification process,M001,1,0
0,0,1,0,0,-2,GO:0060576,intestinal epithelial cell development,M001,1,0
0,1,0,0,-2.2,0,GO:0071774,response to fibroblast growth factor,M010,1,0
0,1,0,0,-2.2,0,GO:0003044,regulation of systemic arterial blood pressure mediated by a chemical signal,M010,1,0
1,0,0,-2.2,0,0,GO:0032653,regulation of interleukin-10 production,M100,1,0
0,0,1,0,0,-2.2,hsa04612,Antigen processing and presentation,M001,1,0
0,0,1,0,0,-2.2,GO:0032414,positive regulation of ion transmembrane transporter activity,M001,1,0
0,0,1,0,0,-2.7,GO:0010002,cardioblast differentiation,M001,1,0
0,0,1,0,0,-3.2,GO:0007167,enzyme-linked receptor protein signaling pathway,M001,1,0
1,0,0,-2.2,0,0,GO:0002067,glandular epithelial cell differentiation,M100,1,0
0,0,1,0,0,-2.2,R-HSA-9762293,Regulation of CDH11 gene transcription,M001,1,0
1,0,0,-2.7,0,0,R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,M100,1,0
0,0,1,0,0,-3.9,GO:0035107,appendage morphogenesis,M001,1,0
0,1,0,0,-2.3,0,GO:0042307,positive regulation of protein import into nucleus,M010,1,0
0,0,1,0,0,-3.5,GO:0051336,regulation of hydrolase activity,M001,1,0
1,0,0,-2.1,0,0,GO:0048762,mesenchymal cell differentiation,M100,1,0
0,1,0,0,-2.4,0,GO:0009988,cell-cell recognition,M010,1,0
0,0,1,0,0,-2,GO:0048644,muscle organ morphogenesis,M001,1,0
0,0,1,0,0,-2,GO:0051146,striated muscle cell differentiation,M001,1,0
1,0,0,-2.1,0,0,GO:0002701,negative regulation of production of molecular mediator of immune response,M100,1,0
1,0,0,-3.1,0,0,GO:0045596,negative regulation of cell differentiation,M100,1,0
0,0,1,0,0,-2.9,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M001,1,0
0,0,1,0,0,-2.3,GO:0035904,aorta development,M001,1,0
0,0,1,0,0,-2.4,R-HSA-2424491,DAP12 signaling,M001,1,0
0,0,1,0,0,-2.3,GO:0120039,plasma membrane bounded cell projection morphogenesis,M001,1,0
0,1,0,0,-2.7,0,GO:0051453,regulation of intracellular pH,M010,1,0
0,1,0,0,-2.4,0,GO:0009101,glycoprotein biosynthetic process,M010,1,0
1,0,0,-2.4,0,0,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,M100,1,0
0,0,1,0,0,-2.8,GO:0002064,epithelial cell development,M001,1,0
1,0,0,-2.2,0,0,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M100,1,0
0,1,0,0,-2.5,0,GO:0060326,cell chemotaxis,M010,1,0
0,1,0,0,-2.2,0,R-HSA-9706369,Negative regulation of FLT3,M010,1,0
0,0,1,0,0,-3.1,GO:0071695,anatomical structure maturation,M001,1,0
0,0,1,0,0,-2.8,GO:0003205,cardiac chamber development,M001,1,0
1,0,0,-2,0,0,GO:0043068,positive regulation of programmed cell death,M100,1,0
1,0,0,-3.1,0,0,GO:0045669,positive regulation of osteoblast differentiation,M100,1,0
0,0,1,0,0,-2.5,GO:0010720,positive regulation of cell development,M001,1,0
0,0,1,0,0,-4.7,GO:0032760,positive regulation of tumor necrosis factor production,M001,1,0
0,1,0,0,-2.5,0,GO:1990573,potassium ion import across plasma membrane,M010,1,0
0,0,1,0,0,-3.3,GO:1903706,regulation of hemopoiesis,M001,1,0
0,0,1,0,0,-2.4,GO:0045664,regulation of neuron differentiation,M001,1,0
0,0,1,0,0,-2.2,GO:0060415,muscle tissue morphogenesis,M001,1,0
1,0,0,-2.4,0,0,GO:0045059,positive thymic T cell selection,M100,1,0
0,0,1,0,0,-2.1,GO:0009792,embryo development ending in birth or egg hatching,M001,1,0
0,0,1,0,0,-2.9,GO:0072132,mesenchyme morphogenesis,M001,1,0
1,0,0,-2.5,0,0,WP2023,Cell differentiation expanded index,M100,1,0
0,1,0,0,-2.4,0,GO:0106030,neuron projection fasciculation,M010,1,0
1,0,0,-2.4,0,0,R-HSA-5628897,TP53 Regulates Metabolic Genes,M100,1,0
1,0,0,-2.1,0,0,WP3967,miR 509 3p alteration of YAP1 ECM axis,M100,1,0
0,1,0,0,-2.4,0,GO:0045780,positive regulation of bone resorption,M010,1,0
0,1,0,0,-2.7,0,GO:0030575,nuclear body organization,M010,1,0
0,0,1,0,0,-2.5,GO:0061036,positive regulation of cartilage development,M001,1,0
0,0,1,0,0,-3.1,WP286,IL 3 signaling pathway,M001,1,0
0,0,1,0,0,-2.7,GO:0008015,blood circulation,M001,1,0
