data_imp_1 - 1.8-2.2,data_imp_1 - 4.5-5.5,data_imp_1 - 9.0-11.0,_BACKGROUND
PYGL,,,CHRM2
RAB31,,,CHRM3
RAB39A,,,CHRM3-AS2
RAB3IP,,,CHRM5
RAD21,,,CHRNA7
RANBP3L,,,CHST11
RARA,,,CHST15
RARB,,,CHST3
RARG,,,CHST6
RASAL3,,,CHST8
RASGEF1C,,,CHST9
RASIP1,,,CHSY1
RASL12,,,CHSY3
RASSF2,,,CHURC1
RASSF8,,,CIB1
RB1,,,CIC
RBBP5,,,CIITA
RBFOX2,,,CKMT1B
RBM20,,,CKS2
RBM47,,,CLCA4
RBMS1,,,CLCN5
RBMS3-AS3,,,CLDN10
RBPJ,,,CLDN14
RCC2,,,CLDN15
RCOR1,,,CLDN5
RCSD1,,,CLDND1
REL,,,CLEC14A
RELA,,,CLEC17A
RELB,,,CLEC19A
RELL1,,,CLEC1A
RELN,,,CLEC2A
RFTN2,,,CLEC2B
RFX1,,,CLEC2D
RFX2,,,CLEC5A
RFX3,,,CLEC7A
RFX4,,,CLEC9A
RFX5,,,CLIC1
RGCC,,,CLIC2
RGS1,,,CLIC4
RGS10,,,CLIC5
RGS2,,,CLK1
RGS5,,,CLMN
RIN2,,,CLMP
RIPK2,,,CLNK
RNASEH2B-AS1,,,CLOCK
RNF144B,,,CLSTN2
RNF152,,,CLTCL1
ROBO1,,,CLU
RORA,,,CLUL1
RPLP1,,,CLYBL
RPS6KA1,,,CMAHP
RREB1,,,CMKLR1
RSPO2,,,CMTM3
RTTN,,,CMTM5
RUNDC3B,,,CMTM6
RUNX1,,,CMTM7
RUNX2,,,CMTM8
RUNX3,,,CNBD1
RXRA,,,CNDP1
RXRG,,,CNGA1
RYR3,,,CNN3
S100Z,,,CNOT3
SAMD3,,,CNOT4
SAMD4A,,,CNOT6
SAMD5,,,CNOT8
SAMD9L,,,CNP
SAT1,,,CNPY3
SATB1-AS1,,,CNR1
SCARA3,,,CNTLN
SDC4,,,CNTN2
SDCBP,,,CNTN3
SDK2,,,CNTN4
SEMA3A,,,CNTN5
SEMA6D,,,CNTN6
SERPINB9,,,CNTNAP3
SERPINE2,,,CNTNAP5
SETBP1,,,COBLL1
SETDB1,,,COL10A1
SFMBT2,,,COL11A1
SFT2D2,,,COL12A1
SGPP2,,,COL13A1
SH3RF3,,,COL14A1
SH3TC1,,,COL15A1
SHE,,,COL18A1
SHOX,,,COL1A2
SIGLEC10,,,COL20A1
SIGLEC9,,,COL21A1
SIN3A,,,COL23A1
SIPA1,,,COL24A1
SIPA1L2,,,COL25A1
SIRPB2,,,COL27A1
SIX1,,,COL3A1
SIX4,,,COL4A1
SLAIN1,,,COL4A2
SLC12A7,,,COL4A3
SLC16A1,,,COL4A4
SLC16A3,,,COL4A5
SLC16A9,,,COL4A6
SLC19A3,,,COL5A2
SLC1A2,,,COL5A3
SLC1A3,,,COL6A2
SLC22A3,,,COL6A3
SLC24A3,,,COL6A6
SLC26A7,,,COL8A1
SLC30A1,,,COL8A2
SLC38A11,,,COL9A1
SLC44A1,,,COL9A2
SLC4A7,,,COL9A3
SLC6A12,,,COLEC12
SLC6A13,,,COLGALT1
SLC6A20,,,COLGALT2
SLC7A2,,,COPE
SLC7A7,,,COQ2
SLC8A1,,,CORO1B
SLC9A9,,,COTL1
SLCO1C1,,,CP
SLCO5A1,,,CPA1
SLIT2,,,CPA6
SMAD1,,,CPAMD8
SMAD3,,,CPB1
SMAP2,,,CPB2
SNAI1,,,CPB2-AS1
SNX22,,,CPE
SOAT1,,,CPEB1
SORL1,,,CPED1
SOX10,,,CPM
SOX11,,,CPNE4
SOX13,,,CPNE8
SOX17,,,CPO
SOX18,,,CPOX
SOX21,,,CPS1
SOX21-AS1,,,CPSF4
SOX4,,,CPT1A
SOX5,,,CPTP
SOX6,,,CPVL
SOX7,,,CPXM2
SOX8,,,CR1
SOX9,,,CRAT37
SP100,,,CRB1
SP140,,,CRB2
SP140L,,,CREB1
SP3,,,CREB3
SP4,,,CREB3L1
SP9,,,CREB3L2
SPARC,,,CREB3L4
SPATS2,,,CREB5
SPI1,,,CREBL2
SPRY4,,,CREBZF
SPTLC2,,,CREM
SPTLC3,,,CRH
SREBF2,,,CRHBP
SRF,,,CRIM1
SRGAP2,,,CRISPLD1
SRGAP2-AS1,,,CRISPLD2
SRGAP2B,,,CRLF1
SRGAP2C,,,CRTC2
SRGN,,,CRTC3-AS1
SRRM3,,,CRX
SSBP3,,,CRYAB
SST,,,CRYBG3
ST6GAL1,,,CSF1
ST6GALNAC3,,,CSF1R
ST8SIA4,,,CSF3R
ST8SIA6,,,CSGALNACT1
STARD8,,,CSPG4
STAT2,,,CSRNP1
STAT3,,,CSRP1
STAT4,,,CSRP2
STAT5B,,,CST3
STAT6,,,CSTF2
STK32B,,,CTBP1
STK33,,,CTBP1-AS
STOM,,,CTCF
STON2,,,CTCFL
SUCLG2,,,CTD-2350J17.1
SULF1,,,CTDSP1
SV2C,,,CTH
SVIL,,,CTNNA2
SYK,,,CTNNB1
SYT1,,,CTNS
TACC1,,,CTSB
TAGLN2,,,CTSC
TAL1,,,CTSH
TANC1,,,CTSL
TBC1D12,,,CTSO
TBC1D14,,,CTSS
TBC1D16,,,CTSZ
TBC1D4,,,CTTNBP2NL
TBL1X,,,CUBN
TBL1XR1,,,CUX1
TBX1,,,CUX2
TBX15,,,CX3CR1
TBX18,,,CXCL12
TBX2,,,CXCL14
TBX21,,,CXCL16
TBX3,,,CXCR4
TBXAS1,,,CXXC1
TCF12,,,CXXC5
TCF3,,,CYB5R1
TCF4,,,CYB5R2
TCF7L1,,,CYBA
TCF7L2,,,CYBRD1
TEAD1,,,CYCS
TEAD2,,,CYFIP1
TEAD3,,,CYP1B1
TEAD4,,,CYP1B1-AS1
TESC,,,CYP27C1
TEX14,,,CYP39A1
TF,,,CYP3A5
TFAP2A,,,CYP4F12
TFAP2C,,,CYP4F3
TFAP4,,,CYP7B1
TFCP2L1,,,CYSLTR1
TFDP1,,,CYSLTR2
TFDP2,,,CYTH4
TFEB,,,CYTIP
TFEC,,,CYTL1
TFRC,,,CYYR1
TG,,,CYYR1-AS1
TGFA,,,DAAM2
TGFB2,,,DAB1
TGFBR1,,,DAB2
TGFBR2,,,DACH1
TGFBR3,,,DACH2
TGM2,,,DAGLB
THBS2,,,DAP
THRB,,,DAPK2
THSD4,,,DAPP1
THSD7A,,,DAZAP1
TINAGL1,,,DAZAP2
TLE1,,,DBI
TLE3,,,DBP
TLL1,,,DBX2
TLR5,,,DCBLD1
TM4SF1,,,DCC
TMC8,,,DCDC2
TMCC3,,,DCDC2C
TMEM106A,,,DCHS2
TMEM132D,,,DCLK2
TMEM156,,,DCN
TMEM51,,,DCST2
TMIGD3,,,DDAH1
TMSB10,,,DDAH2
TMSB4X,,,DDB2
TMTC1,,,DDIT3
TMTC2,,,DDIT4
TNFAIP3,,,DDO
TNFAIP8,,,DDR2
TNFRSF10B,,,DDX20
TNFRSF1A,,,DDX21
TNS1,,,DDX3Y
TOB2,,,DDX4
TOX3,,,DDX43
TP63,,,DDX53
TPRG1,,,DDX60
TPTEP1,,,DDX60L
TRAF3IP3,,,DEAF1
TRAF4,,,DEF6
TRIM5,,,DENND1C
TRPC4,,,DENND2A
TRPS1,,,DENND2C
TTPA,,,DENND3
TWIST2,,,DEPDC1B
TXNIP,,,DEPDC7
UACA,,,DEPTOR
UNC13C,,,DERA
USF2,,,DGAT2L6
USP53,,,DGCR8
UST,,,DGKB
VASH1,,,DGKG
VAV1,,,DGKH
VAX1,,,DHCR24
VAX2,,,DHCR7
VCAN,,,DHRS3
VEGFA,,,DHRS9
VENTX,,,DHX36
VSIG4,,,DIAPH2
WDFY4,,,DIAPH2-AS1
WDR49,,,DIAPH3
WNT5A,,,DIDO1
WWC1,,,DIO1
XAF1,,,DIO2
XYLT1,,,DIO2-AS1
YBX3,,,DIO3OS
ZBTB20,,,DIRC3
ZBTB7C,,,DIS3
ZC3HAV1,,,DISC1
ZEB1,,,DISC1FP1
ZFAND6,,,DISP1
ZFHX3,,,DKK2
ZFP36,,,DLC1
ZFP36L2,,,DLEU1
ZHX2,,,DLEU7
ZIC2,,,DLGAP1
ZIC3,,,DLGAP1-AS5
ZIC4,,,DLGAP2
ZIC5,,,DLL1
ZKSCAN1,,,DLL4
ZMAT4,,,DLX1
ZNF124,,,DLX2
ZNF148,,,DLX4
ZNF366,,,DLX5
ZNF385D-AS2,,,DLX6
ZNF462,,,DLX6-AS1
ZNF467,,,DMAP1
ZNF471,,,DMBX1
ZNF516,,,DMC1
ZNF521,,,DMRT1
ZNF532,,,DMRT2
ZNF536,,,DMRT3
ZNF644,,,DMRTA1
ZNF652,,,DMRTA2
ZNF710,,,DMRTC2
ZNF804A,,,DNAH11
ZNF84,,,DNAH12
ZNRF2,,,DNAH17
,,,DNAH17-AS1
,,,DNAH7
,,,DNAJA4
,,,DNAJB1
,,,DNAJC21
,,,DNAJC22
,,,DNM1P46
,,,DNM3OS
,,,DNMT1
,,,DNMT3A
,,,DNTTIP1
,,,DOCK11
,,,DOCK2
,,,DOCK4-AS1
,,,DOCK5
,,,DOCK6
,,,DOCK8
,,,DOCK9-AS1
,,,DOHH
,,,DOK1
,,,DOK3
,,,DOK6
,,,DPEP2
,,,DPF1
,,,DPF2
,,,DPP10-AS1
,,,DPP10-AS3
,,,DPRX
,,,DPYD-AS1
,,,DPYSL3
,,,DPYSL5
,,,DR1
,,,DRAIC
,,,DRAM1
,,,DRAP1
,,,DRGX
,,,DSC2
,,,DSCAM
,,,DSP
,,,DTHD1
,,,DTL
,,,DTNA
,,,DTX3L
,,,DUOX1
,,,DUS2
,,,DUS3L
,,,DUSP1
,,,DUSP10
,,,DUSP16
,,,DUSP2
,,,DUSP22
,,,DUSP26
,,,DUSP5
,,,DUSP6
,,,DUX4
,,,DUXA
,,,DYSF
,,,E2F1
,,,E2F2
,,,E2F3
,,,E2F4
,,,E2F5
,,,E2F6
,,,E2F7
,,,E2F8
,,,E4F1
,,,EAF2
,,,EBF1
,,,EBF2
,,,EBF3
,,,EBF4
,,,EBI3
,,,ECHDC3
,,,ECM2
,,,ECSIT
,,,ECT2
,,,EDA
,,,EDA2R
,,,EDN1
,,,EDNRA
,,,EDNRB
,,,EDNRB-AS1
,,,EEF1B2
,,,EEF1D
,,,EFCAB13
,,,EFCAB14-AS1
,,,EFEMP1
,,,EFHD1
,,,EFNA1
,,,EFNA5
,,,EFS
,,,EGFEM1P
,,,EGFL7
,,,EGFLAM
,,,EGFR
,,,EGLN3
,,,EGR1
,,,EGR2
,,,EGR3
,,,EGR4
,,,EHBP1L1
,,,EHD4
,,,EHF
,,,EIF4A3
,,,EIF5A2
,,,ELAVL2
,,,ELF1
,,,ELF2
,,,ELF3
,,,ELF4
,,,ELF5
,,,ELK1
,,,ELK3
,,,ELK4
,,,ELL2
,,,ELMO1-AS1
,,,ELN
,,,ELOVL1
,,,ELOVL2
,,,ELOVL5
,,,ELOVL7
,,,EMB
,,,EMC10
,,,EMCN
,,,EMID1
,,,EMILIN1
,,,EMILIN2
,,,EML3
,,,EML4
,,,EMP1
,,,EMP2
,,,EMP3
,,,EMX1
,,,EMX2
,,,EMX2OS
,,,EN2
,,,ENG
,,,ENO1
,,,ENO4
,,,ENOSF1
,,,ENOX2
,,,ENPEP
,,,ENPP1
,,,ENPP2
,,,ENPP6
,,,ENTHD1
,,,ENTPD1
,,,ENTPD1-AS1
,,,ENTPD2
,,,EOMES
,,,EP300
,,,EPAS1
,,,EPB41L4A
,,,EPHA1-AS1
,,,EPHA2
,,,EPHA3
,,,EPHA5
,,,EPHA6
,,,EPHA7
,,,EPHB1
,,,EPHX1
,,,EPN2
,,,EPN2-AS1
,,,EPOR
,,,EPS8
,,,EPSTI1
,,,ERAP2
,,,ERBB3
,,,ERCC6L
,,,ERG
,,,ERI1
,,,ERMAP
,,,ERMN
,,,ERN1
,,,ERRFI1
,,,ESAM
,,,ESR1
,,,ESR2
,,,ESRP1
,,,ESRRA
,,,ESRRB
,,,ESRRG
,,,ESYT2
,,,ETFB
,,,ETNPPL
,,,ETS1
,,,ETS2
,,,ETV1
,,,ETV2
,,,ETV3
,,,ETV4
,,,ETV5
,,,ETV6
,,,ETV7
,,,EVC2
,,,EVI2A
,,,EVI2B
,,,EWSR1
,,,EXO5
,,,EXPH5
,,,EYA1
,,,EYA2
,,,EYA4
,,,EYS
,,,EZH2
,,,EZR
,,,F11-AS1
,,,F11R
,,,F13A1
,,,F2R
,,,F3
,,,F8
,,,FA2H
,,,FAAP24
,,,FABP7
,,,FAM107A
,,,FAM107B
,,,FAM110B
,,,FAM111A
,,,FAM114A1
,,,FAM118A
,,,FAM124A
,,,FAM126A
,,,FAM149A
,,,FAM157A
,,,FAM160A1
,,,FAM167A
,,,FAM167A-AS1
,,,FAM177B
,,,FAM178B
,,,FAM181B
,,,FAM186A
,,,FAM189A2
,,,FAM20A
,,,FAM217A
,,,FAM222A-AS1
,,,FAM53A
,,,FAM53B-AS1
,,,FAM78A
,,,FAM89A
,,,FANCB
,,,FANCC
,,,FANK1
,,,FAP
,,,FAS
,,,FAT1
,,,FAT3
,,,FAT4
,,,FAU
,,,FAXDC2
,,,FBLN1
,,,FBLN2
,,,FBLN5
,,,FBN2
,,,FBXL19
,,,FBXL7
,,,FCER1G
,,,FCGBP
,,,FCGR1A
,,,FCGR1B
,,,FCGR1CP
,,,FCGR2A
,,,FCGR3A
,,,FCGRT
,,,FENDRR
,,,FER1L6
,,,FER1L6-AS1
,,,FER1L6-AS2
,,,FERMT1
,,,FERMT3
,,,FES
,,,FEZ1
,,,FEZF1
,,,FEZF2
,,,FFAR1
,,,FGD2
,,,FGD3
,,,FGD4
,,,FGD5
,,,FGD6
,,,FGF1
,,,FGF10
,,,FGF13
,,,FGF14
,,,FGF2
,,,FGF20
,,,FGF7
,,,FGFR1
,,,FGFR3
,,,FGL1
,,,FGL2
,,,FGR
,,,FHL2
,,,FHL3
,,,FHL5
,,,FHOD1
,,,FIGLA
,,,FIGN
,,,FILIP1
,,,FILIP1L
,,,FIP1L1
,,,FIRRE
,,,FIS1
,,,FIZ1
,,,FKBP10
,,,FKBP5
,,,FLI1
,,,FLJ40194
,,,FLJ46284
,,,FLNA
,,,FLNC
,,,FLRT2
,,,FLT1
,,,FLT3
,,,FLVCR2
,,,FMN1
,,,FMNL1
,,,FMNL3
,,,FMO2
,,,FMO3
,,,FMO4
,,,FMO5
,,,FMO6P
,,,FN1
,,,FNDC3B
,,,FOLH1
,,,FOS
,,,FOSB
,,,FOSL1
,,,FOSL2
,,,FOXA3
,,,FOXB1
,,,FOXC1
,,,FOXC2
,,,FOXD1
,,,FOXD2
,,,FOXD4
,,,FOXD4L1
,,,FOXD4L3
,,,FOXD4L5
,,,FOXD4L6
,,,FOXF1
,,,FOXF2
,,,FOXH1
,,,FOXJ1
,,,FOXJ2
,,,FOXJ3
,,,FOXK1
,,,FOXK2
,,,FOXL1
,,,FOXL2
,,,FOXM1
,,,FOXN2
,,,FOXN3
,,,FOXN3-AS2
,,,FOXN4
,,,FOXO1
,,,FOXO3
,,,FOXO4
,,,FOXO6
,,,FOXP1
,,,FOXP1-AS1
,,,FOXP2
,,,FOXP3
,,,FOXP4
,,,FOXQ1
,,,FOXR1
,,,FOXS1
,,,FPR1
,,,FPR3
,,,FRAS1
,,,FREM1
,,,FREM2
,,,FRK
,,,FRMD3
,,,FRMD4B
,,,FRMD6
,,,FRMPD2
,,,FRMPD3
,,,FRMPD4
,,,FRRS1
,,,FRZB
,,,FSCN1
,,,FSHR
,,,FSIP2
,,,FSTL1
,,,FSTL4
,,,FSTL5
,,,FTH1
,,,FTL
,,,FUBP1
,,,FUT10
,,,FXYD5
,,,FYCO1
,,,FZD6
,,,G0S2
,,,GAB3
,,,GABPA
,,,GABPB1
,,,GABRA2
,,,GABRE
,,,GABRG1
,,,GABRG3
,,,GABRG3-AS1
,,,GACAT3
,,,GAD1
,,,GAD2
,,,GADD45A
,,,GADD45B
,,,GADD45G
,,,GAL3ST1
,,,GAL3ST4
,,,GALM
,,,GALNT10
,,,GALNT14
,,,GALNT15
,,,GALNT18
,,,GALNT6
,,,GALNTL6
,,,GALR1
,,,GAR1
,,,GAS1
,,,GAS2L3
,,,GAS6-AS1
,,,GATA1
,,,GATA2
,,,GATA2-AS1
,,,GATA3
,,,GATA4
,,,GATA6
,,,GATAD1
,,,GATAD2A
,,,GBE1
,,,GBP1
,,,GBP2
,,,GBP3
,,,GBP4
,,,GBX1
,,,GCH1
,,,GCM1
,,,GCM2
,,,GCNT1
,,,GCNT2
,,,GCNT7
,,,GDNF
,,,GDNF-AS1
,,,GEM
,,,GFAP
,,,GFI1
,,,GFI1B
,,,GFRA1
,,,GGT5
,,,GHR
,,,GIMAP2
,,,GIMAP4
,,,GIMAP7
,,,GIMAP8
,,,GINS3
,,,GINS4
,,,GIPR
,,,GIT2
,,,GJA1
,,,GJB1
,,,GJB6
,,,GJC1
,,,GJC2
,,,GK
,,,GLA
,,,GLDC
,,,GLDN
,,,GLI1
,,,GLI2
,,,GLI3
,,,GLI4
,,,GLIPR1L1
,,,GLIPR2
,,,GLIS1
,,,GLIS2
,,,GLIS3
,,,GLOD5
,,,GLRA1
,,,GLRA2
,,,GLRX
,,,GLUL
,,,GLYATL1
,,,GLYCTK
,,,GM2A
,,,GMEB1
,,,GMEB2
,,,GMFG
,,,GMIP
,,,GMPR
,,,GNA13
,,,GNA14
,,,GNA14-AS1
,,,GNA15
,,,GNAL
,,,GNB4
,,,GNG11
,,,GNG12
,,,GNG12-AS1
,,,GNG4
,,,GNG8
,,,GNGT1
,,,GNLY
,,,GOLIM4
,,,GOT1
,,,GPAM
,,,GPANK1
,,,GPAT3
,,,GPBP1L1
,,,GPC4
,,,GPC5
,,,GPC5-AS1
,,,GPC5-AS2
,,,GPC6
,,,GPCPD1
,,,GPD1
,,,GPER1
,,,GPIHBP1
,,,GPM6A
,,,GPNMB
,,,GPR132
,,,GPR149
,,,GPR156
,,,GPR160
,,,GPR17
,,,GPR174
,,,GPR183
,,,GPR34
,,,GPR37
,,,GPR37L1
,,,GPR39
,,,GPR62
,,,GPR65
,,,GPR85
,,,GPRC5C
,,,GPRIN3
,,,GPSM3
,,,GPX1
,,,GPX3
,,,GRAMD1A
,,,GRAMD1C
,,,GRAP2
,,,GRAPL
,,,GRB10
,,,GRB2
,,,GREB1L
,,,GREM1
,,,GREM2
,,,GRHL1
,,,GRHL2
,,,GRHL3
,,,GRHPR
,,,GRIA1
,,,GRID1-AS1
,,,GRID2
,,,GRIK1
,,,GRIK2
,,,GRIK3
,,,GRIN2A
,,,GRIN2C
,,,GRIN3A
,,,GRIP1
,,,GRK5
,,,GRM1
,,,GRM3
,,,GRM7
,,,GRM8
,,,GRN
,,,GSDMD
,,,GSG1L
,,,GSN
,,,GSN-AS1
,,,GSTK1
,,,GSTP1
,,,GTF2A1
,,,GTF2A2
,,,GTF2B
,,,GTF2F1
,,,GTF2H3
,,,GTF2I
,,,GTF2IRD1
,,,GTF3A
,,,GTF3C2
,,,GTF3C5
,,,GTPBP1
,,,GTPBP6
,,,GTSCR1
,,,GULP1
,,,GXYLT2
,,,GYG2
,,,GYG2P1
,,,GYPC
,,,GZF1
,,,HACD1
,,,HADHB
,,,HAGLR
,,,HAMP
,,,HAP1
,,,HAPLN2
,,,HAS2
,,,HAS2-AS1
,,,HAVCR2
,,,HBB
,,,HBEGF
,,,HBP1
,,,HCFC1
,,,HCFC2
,,,HCG22
,,,HCK
,,,HCLS1
,,,HCN1
,,,HCP5
,,,HCRTR2
,,,HDAC1
,,,HDAC2
,,,HDAC3
,,,HDAC9
,,,HDDC2
,,,HDX
,,,HEATR5A
,,,HEBP2
,,,HECA
,,,HECW1
,,,HEG1
,,,HELB
,,,HELZ2
,,,HEPH
,,,HEPN1
,,,HERC2P2
,,,HERC2P3
,,,HERC2P9
,,,HERC5
,,,HERPUD1
,,,HES1
,,,HES2
,,,HES4
,,,HES5
,,,HES6
,,,HES7
,,,HESX1
,,,HEY1
,,,HEY2
,,,HEYL
,,,HFE
,,,HGF
,,,HHAT
,,,HHEX
,,,HHIP
,,,HIC1
,,,HIC2
,,,HIF1A
,,,HIF3A
,,,HIGD1B
,,,HINFP
,,,HIP1
,,,HIRIP3
,,,HIVEP1
,,,HIVEP2
,,,HIVEP3
,,,HK2
,,,HKDC1
,,,HLA-A
,,,HLA-B
,,,HLA-DMB
,,,HLA-DPA1
,,,HLA-DPB1
,,,HLA-DQA1
,,,HLA-DQB1
,,,HLA-DRA
,,,HLA-DRB1
,,,HLA-DRB5
,,,HLA-E
,,,HLA-F
,,,HLCS
,,,HLF
,,,HLTF
,,,HLX
,,,HLX-AS1
,,,HMBOX1
,,,HMCN1
,,,HMG20A
,,,HMG20B
,,,HMGA1
,,,HMGA2
,,,HMGB1
,,,HMGB2
,,,HMGB3
,,,HMGB4
,,,HMGCS1
,,,HMGN2P46
,,,HMGXB3
,,,HMGXB4
,,,HMOX1
,,,HMSD
,,,HMX1
,,,HNF1A
,,,HNF1B
,,,HNF4A
,,,HNF4G
,,,HNMT
,,,HNRNPA0
,,,HNRNPC
,,,HNRNPH3
,,,HNRNPKP3
,,,HNRNPLL
,,,HNRNPUL1
,,,HOMER1
,,,HOMEZ
,,,HOXB3
,,,HOXC4
,,,HOXD1
,,,HOXD3
,,,HP1BP3
,,,HPGD
,,,HPGDS
,,,HPN
,,,HPN-AS1
,,,HPR
,,,HPS3
,,,HPSE
,,,HPSE2
,,,HRH1
,,,HS3ST2
,,,HS3ST3A1
,,,HS3ST3B1
,,,HS3ST4
,,,HS3ST5
,,,HS6ST2
,,,HS6ST3
,,,HSD11B1
,,,HSF1
,,,HSF2
,,,HSF4
,,,HSF5
,,,HSFY2
,,,HSP90AA1
,,,HSPA12B
,,,HSPA1A
,,,HSPA1L
,,,HSPA2
,,,HSPA5
,,,HSPB1
,,,HSPB8
,,,HSPBAP1
,,,HSPD1
,,,HSPE1-MOB4
,,,HSPG2
,,,HSPH1
,,,HTATIP2
,,,HTR1E
,,,HTR1F
,,,HTR2B
,,,HTR2C
,,,HTR4
,,,HTR7
,,,HULC
,,,HUNK
,,,HYAL2
,,,ICAM1
,,,ICAM2
,,,ICOSLG
,,,ID1
,,,ID2
,,,ID3
,,,ID4
,,,IDI1
,,,IDI2-AS1
,,,IER2
,,,IER3
,,,IER5
,,,IFI16
,,,IFI27L2
,,,IFI44
,,,IFI44L
,,,IFIH1
,,,IFIT2
,,,IFIT3
,,,IFITM3
,,,IFNG-AS1
,,,IFNGR1
,,,IFNLR1
,,,IFRD1
,,,IGF1
,,,IGF2BP2
,,,IGFBP2
,,,IGFBP3
,,,IGFBP4
,,,IGFBP5
,,,IGFBP6
,,,IGFBP7
,,,IGFN1
,,,IGSF1
,,,IGSF11-AS1
,,,IGSF21
,,,IGSF6
,,,IKBIP
,,,IKBKE
,,,IKZF1
,,,IKZF2
,,,IKZF3
,,,IKZF4
,,,IKZF5
,,,IL10RA
,,,IL12RB2
,,,IL13RA1
,,,IL15
,,,IL15RA
,,,IL16
,,,IL17RA
,,,IL18
,,,IL18R1
,,,IL1B
,,,IL1R1
,,,IL1RAP
,,,IL1RAPL2
,,,IL21
,,,IL21R
,,,IL24
,,,IL26
,,,IL33
,,,IL4R
,,,IL6R
,,,IL6ST
,,,ILF2
,,,ILF3
,,,ING3
,,,ING4
,,,INHBA
,,,INPP4B
,,,INPP5D
,,,INPPL1
,,,INSC
,,,INSIG1
,,,INSM1
,,,INSM2
,,,IP6K3
,,,IPO13
,,,IPO9-AS1
,,,IQCA1
,,,IQCH
,,,IQCH-AS1
,,,IQCJ-SCHIP1
,,,IQGAP1
,,,IQGAP2
,,,IRAK2
,,,IRAK3
,,,IRAK4
,,,IRF1
,,,IRF2
,,,IRF3
,,,IRF4
,,,IRF5
,,,IRF6
,,,IRF7
,,,IRF8
,,,IRF9
,,,IRGM
,,,IRX2
,,,IRX4
,,,IRX6
,,,ISG15
,,,ISG20
,,,ISL2
,,,ISM1
,,,ISOC1
,,,ISYNA1
,,,ITGA1
,,,ITGA10
,,,ITGA11
,,,ITGA2
,,,ITGA4
,,,ITGA5
,,,ITGA6
,,,ITGA7
,,,ITGA8
,,,ITGAL
,,,ITGAM
,,,ITGAX
,,,ITGB2
,,,ITGB2-AS1
,,,ITGB4
,,,ITGB5
,,,ITGBL1
,,,ITIH5
,,,ITK
,,,ITM2A
,,,ITPKB
,,,ITPKC
,,,ITPR2
,,,ITPR3
,,,ITPRIP
,,,IVD
,,,IZUMO4
,,,JADE3
,,,JAG1
,,,JAK3
,,,JAM2
,,,JAZF1
,,,JDP2
,,,JOSD2
,,,JPH2
,,,JRK
,,,JRKL
,,,JUN
,,,JUNB
,,,JUND
,,,JUP
,,,KANK1
,,,KANK2
,,,KANK3
,,,KANK4
,,,KAT2B
,,,KAT7
,,,KAZN
,,,KBTBD12
,,,KC6
,,,KCNAB1
,,,KCNAB1-AS2
,,,KCNB2
,,,KCNC2
,,,KCND2
,,,KCNE1
,,,KCNE3
,,,KCNE4
,,,KCNH5
,,,KCNH7
,,,KCNH8
,,,KCNIP1
,,,KCNJ16
,,,KCNJ2
,,,KCNJ2-AS1
,,,KCNJ5
,,,KCNJ8
,,,KCNK13
,,,KCNK2
,,,KCNK6
,,,KCNMB1
,,,KCNMB2
,,,KCNMB2-AS1
,,,KCNMB4
,,,KCNN3
,,,KCNQ1
,,,KCNQ1OT1
,,,KCNQ3
,,,KCNQ5
,,,KCNS3
,,,KCNT2
,,,KCTD12
,,,KCTD16
,,,KCTD4
,,,KCTD8
,,,KCTD9
,,,KDM2A
,,,KDM2B
,,,KDM4A-AS1
,,,KDM4B
,,,KDM4C
,,,KDM4D
,,,KDM5A
,,,KDM5D
,,,KDM7A
,,,KDR
,,,KEL
,,,KHDRBS2
,,,KHDRBS3
,,,KIAA0040
,,,KIAA1217
,,,KIAA1755
,,,KIF13B
,,,KIF19
,,,KIF20B
,,,KIF22
,,,KIF26B
,,,KIF6
,,,KIT
,,,KITLG
,,,KIZ-AS1
,,,KLF10
,,,KLF11
,,,KLF12
,,,KLF13
,,,KLF15
,,,KLF16
,,,KLF17
,,,KLF2
,,,KLF3
,,,KLF4
,,,KLF5
,,,KLF6
,,,KLF7
,,,KLF8
,,,KLF9
,,,KLHL1
,,,KLHL13
,,,KLHL4
,,,KLHL6
,,,KLHL6-AS1
,,,KLK6
,,,KLRC4-KLRK1
,,,KLRD1
,,,KLRG1
,,,KMO
,,,KMT2A
,,,KMT2B
,,,KNOP1
,,,KREMEN1
,,,KYNU
,,,L3MBTL4-AS1
,,,LACC1
,,,LACTB2
,,,LAIR1
,,,LAMA1
,,,LAMA2
,,,LAMA3
,,,LAMA4
,,,LAMB1
,,,LAMB2
,,,LAMC1
,,,LAMC3
,,,LAMP2
,,,LANCL1-AS1
,,,LAP3
,,,LAPTM4A
,,,LAPTM5
,,,LARP1
,,,LARP4
,,,LAS1L
,,,LAT2
,,,LATS2
,,,LAYN
,,,LBH
,,,LBX2
,,,LCAT
,,,LCNL1
,,,LCOR
,,,LCORL
,,,LCP1
,,,LCP2
,,,LDB1
,,,LDB2
,,,LDB3
,,,LDLR
,,,LDLRAD3
,,,LDLRAD4
,,,LDLRAP1
,,,LEF1
,,,LEKR1
,,,LENG9
,,,LEPR
,,,LFNG
,,,LGALS1
,,,LGALS3
,,,LGALS3BP
,,,LGALS9
,,,LGI1
,,,LGI3
,,,LGMN
,,,LGR4
,,,LGR5
,,,LGR6
,,,LHFPL2
,,,LHFPL3
,,,LHFPL3-AS1
,,,LHFPL3-AS2
,,,LHX1
,,,LHX2
