_MEMBER_M19050.Micro,_MEMBER_M19050.OPC,_MEMBER_M19050.Oligo,_MEMBER_M59593.Micro,_MEMBER_M59593.OPC,_MEMBER_M59593.Oligo,_MEMBER_att_D_AD_1,_MEMBER_att_D_AD_2,_MEMBER_att_D_SCZ_1,_MEMBER_att_D_SCZ_2,_MEMBER_att_D_no_prior_0,_MEMBER_att_D_no_prior_1,_MEMBER_att_D_no_prior_2,_MEMBER_att_D_no_prior_3,_LogP_M19050.Micro,_LogP_M19050.OPC,_LogP_M19050.Oligo,_LogP_M59593.Micro,_LogP_M59593.OPC,_LogP_M59593.Oligo,_LogP_att_D_AD_1,_LogP_att_D_AD_2,_LogP_att_D_SCZ_1,_LogP_att_D_SCZ_2,_LogP_att_D_no_prior_0,_LogP_att_D_no_prior_1,_LogP_att_D_no_prior_2,_LogP_att_D_no_prior_3,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-2.5,-2.7,-2.3,-3.4,-2.3,-3.2,-5.6,-3.8,-6.6,C0200633,M00000111111111,9,0,DisGeNET,35,Neutrophil count (procedure),,-6.6,10,8.7,30304,145,184,9,4.9,1.6,1441|2113|3106|3394|6239|22856|64759|81704|137196,CSF3R|ETS1|HLA-B|IRF8|RREB1|CHSY1|TNS3|DOCK8|CCDC26,-5.3,0
1,0,0,0,0,1,1,0,1,1,1,1,1,1,-5.2,0,0,0,0,-2.1,-3.1,0,-2.8,-2.7,-4.8,-2.9,-6.6,-2.3,C3160909,M10000110111111,9,0,DisGeNET,35,Autoimmune arthritis,,-6.6,10,8.7,30304,113,237,9,3.8,1.2,953|2321|3123|3572|6646|6850|7133|7409|9402,ENTPD1|FLT1|HLA-DRB1|IL6ST|SOAT1|SYK|TNFRSF1B|VAV1|GRAP2,-5.3,0
1,1,0,1,0,0,1,0,0,1,1,1,1,1,-2.3,-6.2,0,-2.1,0,0,-2.2,0,0,-2.8,-6.5,-3.2,-2.5,-2.3,C0021841,M11010010011111,9,0,DisGeNET,35,Intestinal Neoplasms,,-6.5,6.7,7.7,30304,182,298,12,4,1.1,409|1634|3091|3784|5156|5293|5580|6925|6934|6935|51176|91768,ARRB2|DCN|HIF1A|KCNQ1|PDGFRA|PIK3CD|PRKCD|TCF4|TCF7L2|ZEB1|LEF1|CABLES1,-5.3,0
1,0,0,1,0,0,0,0,0,0,0,1,0,1,-6.5,0,0,-2,0,0,0,0,0,0,0,-2.1,0,-3.2,C0027947,M10010000000101,4,0,DisGeNET,35,Neutropenia,,-6.5,4.8,7,30304,389,259,16,6.2,1.5,718|728|958|2214|2275|3119|3162|3684|4261|5293|5724|5829|7454|7704|10461|83666,C3|C5AR1|CD40|FCGR3A|FHL3|HLA-DQB1|HMOX1|ITGAM|CIITA|PIK3CD|PTAFR|PXN|WAS|ZBTB16|MERTK|PARP9,-5.3,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-2.3,0,0,0,-2.7,-6.5,0,0,C0265783,M00000010001100,3,0,DisGeNET,35,Congenital hypoplasia of lung,,-6.5,6.7,7.7,30304,175,311,12,3.9,1.1,960|3655|4774|4781|5293|5745|7026|8516|23414|54796|55784|84976,CD44|ITGA6|NFIA|NFIB|PIK3CD|PTH1R|NR2F2|ITGA8|ZFPM2|BNC2|MCTP2|DISP1,-5.3,0
0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,-3.2,0,0,0,-6.5,0,-4.6,-2,C0027962,M00000010001011,4,0,DisGeNET,35,Melanocytic nevus,,-6.5,5.1,7.1,30304,297,298,15,5,1.3,358|960|1462|2113|2261|3091|3315|3490|3687|4780|4811|6239|6663|9332|22900,AQP1|CD44|VCAN|ETS1|FGFR3|HIF1A|HSPB1|IGFBP7|ITGAX|NFE2L2|NID1|RREB1|SOX10|CD163|CARD8,-5.3,0
1,0,0,0,0,1,0,0,1,0,1,0,1,1,-6.5,0,0,0,0,-2.8,0,0,-2.3,0,-3.7,0,-3,-3,C4703473,M10000100101011,6,0,DisGeNET,35,Atherosclerotic lesion,,-6.5,6,7.4,30304,253,259,13,5,1.4,348|834|958|1524|2876|3162|3329|5293|5360|7046|7100|57817|64170,APOE|CASP1|CD40|CX3CR1|GPX1|HMOX1|HSPD1|PIK3CD|PLTP|TGFBR1|TLR5|HAMP|CARD9,-5.3,0
1,1,0,0,0,1,1,1,1,0,1,1,1,1,-3.5,-2.1,0,0,0,-2.6,-2.3,-3.6,-2.6,0,-5.8,-4.4,-6.5,-3.5,C0022104,M11000111101111,10,0,DisGeNET,35,Irritable Bowel Syndrome,,-6.5,4.8,7,30304,429,237,16,6.8,1.6,864|1508|1520|1524|3091|3123|3687|5341|5580|6556|7037|7048|7133|7852|26191|57162,RUNX3|CTSB|CTSS|CX3CR1|HIF1A|HLA-DRB1|ITGAX|PLEK|PRKCD|SLC11A1|TFRC|TGFBR2|TNFRSF1B|CXCR4|PTPN22|PELI1,-5.3,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-2.5,0,0,0,0,0,0,0,0,-3,-6.5,0,0,C0029231,M01000000001100,3,0,DisGeNET,35,"Organic Mental Disorders, Substance-Induced",,-6.5,8.5,8.2,30304,115,311,10,3.2,1,105|1826|2120|5087|5583|11278|23034|79750|81035|114786,ADARB2|DSCAM|ETV6|PBX1|PRKCH|KLF12|SAMD4A|ZNF385D|COLEC12|XKR4,-5.3,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-2.5,0,0,0,0,0,0,0,0,-3,-6.5,0,0,C4316881,M01000000001100,3,0,DisGeNET,35,Prescription Drug Abuse,,-6.5,8.5,8.2,30304,115,311,10,3.2,1,105|1826|2120|5087|5583|11278|23034|79750|81035|114786,ADARB2|DSCAM|ETV6|PBX1|PRKCH|KLF12|SAMD4A|ZNF385D|COLEC12|XKR4,-5.3,0
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,-4.3,0,0,0,0,-2.3,0,0,0,-4.4,-6.5,0,0,C1510472,M01000010001100,4,0,DisGeNET,35,Drug Dependence,,-6.5,5.5,7.2,30304,248,311,14,4.5,1.2,105|238|1826|2120|2555|5087|5293|5583|6507|11278|23034|79750|81035|114786,ADARB2|ALK|DSCAM|ETV6|GABRA2|PBX1|PIK3CD|PRKCH|SLC1A3|KLF12|SAMD4A|ZNF385D|COLEC12|XKR4,-5.3,0
0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,-2.5,-2,0,0,0,-3,0,-2.1,0,-6.5,-4.6,-5.7,-2.3,C0026277,M01100010101111,8,0,DisGeNET,35,Mixed Salivary Gland Tumor,,-6.5,6.6,7.6,30304,185,298,12,4,1.1,864|960|2120|3091|3315|4780|4781|5156|6663|7852|51176|79651,RUNX3|CD44|ETV6|HIF1A|HSPB1|NFE2L2|NFIB|PDGFRA|SOX10|CXCR4|LEF1|RHBDF2,-5.3,0
1,1,0,0,0,1,1,1,1,0,1,0,0,1,-2.5,-4.3,0,0,0,-4.5,-3.7,-2.8,-3.1,0,-4.9,0,0,-6.4,C0033975,M11000111101001,8,0,DisGeNET,35,Psychotic Disorders,,-6.4,4.7,6.9,30304,560,184,16,8.7,2.1,3106|3123|3358|3606|4205|4988|5321|5621|5788|6303|6886|7122|7444|8140|8935|54504,HLA-B|HLA-DRB1|HTR2C|IL18|MEF2A|OPRM1|PLA2G4A|PRNP|PTPRC|SAT1|TAL1|CLDN5|VRK2|SLC7A5|SKAP2|CPVL,-5.2,0
1,0,0,0,0,0,0,0,0,1,1,0,1,1,-6.4,0,0,0,0,0,0,0,0,-3.3,-5,0,-4.8,-2.8,C0032300,M10000000011011,5,0,DisGeNET,35,Lobar Pneumonia,,-6.4,8.4,8.1,30304,140,259,10,3.9,1.2,834|1230|3162|3572|3684|5724|5742|6404|6696|11213,CASP1|CCR1|HMOX1|IL6ST|ITGAM|PTAFR|PTGS1|SELPLG|SPP1|IRAK3,-5.2,0
1,0,0,0,0,1,0,0,0,0,1,0,1,0,-5.2,0,0,0,0,-3.7,0,0,0,0,-5.4,0,-6.4,0,C0011633,M10000100001010,4,0,DisGeNET,35,Dermatomyositis,,-6.4,6.5,7.6,30304,235,237,12,5.1,1.4,960|3123|3572|4360|5552|6646|7052|7133|7852|9332|10859|26191,CD44|HLA-DRB1|IL6ST|MRC1|SRGN|SOAT1|TGM2|TNFRSF1B|CXCR4|CD163|LILRB1|PTPN22,-5.2,0
0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,-3.3,-2.5,0,0,-5.1,-6.4,-6.2,-4.1,C0032463,M00000011001111,6,0,DisGeNET,35,Polycythemia Vera,,-6.4,5,7,30304,291,311,15,4.8,1.2,861|948|2120|2122|2260|2321|3726|4254|4781|5159|5293|6863|7450|8837|23189,RUNX1|CD36|ETV6|MECOM|FGFR1|FLT1|JUNB|KITLG|NFIB|PDGFRB|PIK3CD|TAC1|VWF|CFLAR|KANK1,-5.2,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,-4.7,0,0,0,0,-2.4,-2.5,-6.4,-4.2,-2,-2.6,-4.2,-3,-2.6,C0006840,M10000111111111,10,0,DisGeNET,35,Candidiasis,,-6.4,15,9.7,30304,95,146,7,4.8,1.8,1524|3635|5336|6850|7096|7462|64581,CX3CR1|INPP5D|PLCG2|SYK|TLR1|LAT2|CLEC7A,-5.2,0
1,0,0,0,0,1,0,0,0,0,1,1,1,1,-2.4,0,0,0,0,-2,0,0,0,0,-6.4,-4.4,-4.3,-2.2,C0585362,M10000100001111,6,0,DisGeNET,35,Squamous cell carcinoma of mouth,,-6.4,8.3,8,30304,123,298,10,3.4,1,960|2022|3091|4360|4811|5175|6303|6935|7852|23166,CD44|ENG|HIF1A|MRC1|NID1|PECAM1|SAT1|ZEB1|CXCR4|STAB1,-5.2,0
1,1,0,0,0,1,1,1,1,1,1,1,1,1,-4.9,-4.2,0,0,0,-2.2,-4.1,-2.1,-2.4,-2.2,-6.4,-5.5,-5.4,-3.6,C0027708,M11000111111111,11,0,DisGeNET,35,Nephroblastoma,,-6.4,3.6,6.4,30304,586,298,21,7,1.5,861|864|960|1871|2113|2313|3091|3394|3687|3784|4005|4360|4780|5074|5175|5293|5336|6515|6886|7852|84106,RUNX1|RUNX3|CD44|E2F3|ETS1|FLI1|HIF1A|IRF8|ITGAX|KCNQ1|LMO2|MRC1|NFE2L2|PAWR|PECAM1|PIK3CD|PLCG2|SLC2A3|TAL1|CXCR4|PRAM1,-5.2,0
1,1,0,0,0,1,1,0,1,0,1,1,1,0,-2.2,-5.3,0,0,0,-2.5,-5.8,0,-2.3,0,-4.4,-6.4,-2,0,C0008925,M11000110101110,8,0,DisGeNET,35,Cleft Palate,,-6.4,3.5,6.4,30304,611,311,22,7.1,1.5,861|2113|2260|4281|5159|5396|5925|6239|6663|6913|6934|8516|9452|9935|23543|51176|54796|55784|56999|84570|84976|170302,RUNX1|ETS1|FGFR1|MID1|PDGFRB|PRRX1|RB1|RREB1|SOX10|TBX15|TCF7L2|ITGA8|ITM2A|MAFB|RBFOX2|LEF1|BNC2|MCTP2|ADAMTS9|COL25A1|DISP1|ARX,-5.2,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,-6.3,0,0,0,0,0,0,0,0,-2.1,0,-3.3,0,C0040517,M01000000001010,3,0,DisGeNET,35,Gilles de la Tourette syndrome,,-6.3,9.6,8.4,30304,177,160,9,5.6,1.8,969|1268|2322|3363|3762|4257|10611|26468|116448,CD69|CNR1|FLT3|HTR7|KCNJ5|MGST1|PDLIM5|LHX6|OLIG1,-5.1,0
1,0,0,0,0,1,1,0,0,0,1,0,0,1,-6.3,0,0,0,0,-4,-2.4,0,0,0,-2.6,0,0,-2.5,C0151517,M10000110001001,5,0,DisGeNET,35,Complete atrioventricular block,,-6.3,4.6,6.8,30304,403,259,16,6.2,1.5,718|834|958|2214|3119|3428|3663|3665|3784|3965|4261|5325|5698|6696|7100|9332,C3|CASP1|CD40|FCGR3A|HLA-DQB1|IFI16|IRF5|IRF7|KCNQ1|LGALS9|CIITA|PLAGL1|PSMB9|SPP1|TLR5|CD163,-5.1,0
1,0,0,0,0,1,1,0,1,0,1,1,1,1,-4.9,0,0,0,0,-2.6,-4.1,0,-3.1,0,-6.3,-3.5,-6.1,-3.5,C0333516,M10000110101111,8,0,DisGeNET,35,Tumor necrosis,,-6.3,4.6,6.8,30304,350,298,16,5.4,1.3,942|960|1508|2353|3091|4360|4773|4780|5175|5293|6352|6646|7132|7133|7852|51363,CD86|CD44|CTSB|FOS|HIF1A|MRC1|NFATC2|NFE2L2|PECAM1|PIK3CD|CCL5|SOAT1|TNFRSF1A|TNFRSF1B|CXCR4|CHST15,-5.1,0
0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,-2,0,0,0,0,-5,-2.9,-5.7,-4.5,-5.8,-4.9,-6.3,-4.4,C0026896,M01000011111111,9,0,DisGeNET,35,Myasthenia Gravis,,-6.3,5.3,7.1,30304,336,237,14,5.9,1.5,942|1520|2353|3123|3394|3687|3725|3726|3949|7409|7852|9402|10859|26191,CD86|CTSS|FOS|HLA-DRB1|IRF8|ITGAX|JUN|JUNB|LDLR|VAV1|CXCR4|GRAP2|LILRB1|PTPN22,-5.1,0
1,0,1,1,1,1,0,0,0,0,1,1,1,1,-2.3,0,-3,-3.3,-3.4,-3.7,0,0,0,0,-4.4,-6.3,-5.2,-2.6,C1378703,M10111100001111,9,0,DisGeNET,35,Renal carcinoma,,-6.3,3.4,6.3,30304,665,311,23,7.4,1.5,238|567|861|864|896|960|1508|2034|2355|3725|3726|3727|4254|4325|5293|6857|6925|7052|7223|8837|10135|10874|23189,ALK|B2M|RUNX1|RUNX3|CCND3|CD44|CTSB|EPAS1|FOSL2|JUN|JUNB|JUND|KITLG|MMP16|PIK3CD|SYT1|TCF4|TGM2|TRPC4|CFLAR|NAMPT|NMU|KANK1,-5.1,0
1,0,0,0,0,0,1,1,1,1,1,1,1,1,-4.2,0,0,0,0,0,-3,-3.4,-3.2,-2.4,-3.9,-6.3,-5.8,-3.1,C2316810,M10000011111111,9,0,DisGeNET,35,Chronic kidney disease stage 5,,-6.3,3.4,6.3,30304,666,311,23,7.4,1.5,182|238|567|948|1524|2152|2321|3075|3398|4306|5745|6239|6934|7133|7450|7903|11309|23765|54796|55784|56963|64805|80704,JAG1|ALK|B2M|CD36|CX3CR1|F3|FLT1|CFH|ID2|NR3C2|PTH1R|RREB1|TCF7L2|TNFRSF1B|VWF|ST8SIA4|SLCO2B1|IL17RA|BNC2|MCTP2|RGMA|P2RY12|SLC19A3,-5.1,0
1,1,0,0,0,1,1,0,1,1,1,1,1,1,-5,-5.4,0,0,0,-3,-4.8,0,-2.7,-3.3,-5.1,-6.3,-5.4,-3.3,C0334634,M11000110111111,10,0,DisGeNET,35,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",,-6.3,4.9,6.9,30304,296,311,15,4.8,1.2,604|639|896|948|2308|5175|5293|5549|5925|6935|7052|7462|9308|51176|84433,BCL6|PRDM1|CCND3|CD36|FOXO1|PECAM1|PIK3CD|PRELP|RB1|ZEB1|TGM2|LAT2|CD83|LEF1|CARD11,-5.1,0
1,0,0,0,0,0,0,1,0,1,1,1,1,1,-4.2,0,0,0,0,0,0,-3.3,0,-3.3,-3.9,-2.9,-2.5,-6.3,C0024282,M10000001011111,7,0,DisGeNET,35,Lymphocytosis,,-6.3,15,9.5,30304,78,184,7,3.8,1.4,2214|3123|3676|3684|5788|83666|84433,FCGR3A|HLA-DRB1|ITGA4|ITGAM|PTPRC|PARP9|CARD11,-5.1,0
0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,-4.3,0,-6.3,-4.6,0,-3.9,C2931322,M00000000101101,4,0,DisGeNET,35,T-Lymphocytopenia,,-6.3,30,12,30304,17,298,5,1.7,0.74,919|3431|3718|5293|81704,CD247|SP110|JAK3|PIK3CD|DOCK8,-5.1,0
1,0,0,0,0,0,1,1,1,0,1,1,1,1,-6.3,0,0,0,0,0,-2.3,-2.5,-3.4,0,-5.4,-5.2,-3.1,-3.5,C0149931,M10000011101111,8,0,DisGeNET,35,Migraine Disorders,,-6.3,4.1,6.6,30304,512,259,18,6.9,1.6,348|718|953|958|1230|1524|2022|3119|3176|5025|5293|6750|7045|7454|8829|10763|11224|64805,APOE|C3|ENTPD1|CD40|CCR1|CX3CR1|ENG|HLA-DQB1|HNMT|P2RX4|PIK3CD|SST|TGFBI|WAS|NRP1|NES|RPL35|P2RY12,-5.1,0
1,1,0,0,1,1,0,0,1,0,1,1,1,0,-5,-2.9,0,0,-2.9,-2.2,0,0,-2.8,0,-6.3,-4.7,-5.5,0,C1739135,M11001100101110,8,0,DisGeNET,35,Progression of prostate cancer,,-6.3,4.3,6.7,30304,398,298,17,5.7,1.3,861|960|2078|2113|2308|3315|3936|4005|4088|4360|4616|4780|5293|6935|7852|8202|29780,RUNX1|CD44|ERG|ETS1|FOXO1|HSPB1|LCP1|LMO2|SMAD3|MRC1|GADD45B|NFE2L2|PIK3CD|ZEB1|CXCR4|NCOA3|PARVB,-5.1,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,-6.3,0,0,0,0,-2.6,-3.4,-3.3,-3.7,-5.4,-3.8,-4.5,-6.3,-4.1,C0024530,M10000111111111,10,0,DisGeNET,35,Malaria,,-6.3,3.7,6.4,30304,684,237,20,8.4,1.8,639|953|1436|2321|3123|3587|3687|3689|3949|4094|4780|5341|6513|6556|7037|7133|7852|9332|9402|9745,PRDM1|ENTPD1|CSF1R|FLT1|HLA-DRB1|IL10RA|ITGAX|ITGB2|LDLR|MAF|NFE2L2|PLEK|SLC2A1|SLC11A1|TFRC|TNFRSF1B|CXCR4|CD163|GRAP2|ZNF536,-5.1,0
1,0,0,0,0,1,0,1,1,1,1,1,1,0,-6.3,0,0,0,0,-3.6,0,-5.5,-4.6,-2.2,-3.8,-2.8,-4.3,0,C0014591,M10000101111110,8,0,DisGeNET,35,Epistaxis,,-6.3,11,8.8,30304,82,259,8,3.1,1.1,861|2022|2162|3762|6916|7454|7704|64805,RUNX1|ENG|F13A1|KCNJ5|TBXAS1|WAS|ZBTB16|P2RY12,-5.1,0
0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,-2.5,0,0,0,0,0,0,0,0,-4,-6.3,0,-2.3,C0740858,M01000000001101,4,0,DisGeNET,35,Substance abuse problem,,-6.3,6.3,7.4,30304,185,311,12,3.9,1.1,105|1826|2120|2555|5087|5583|11278|23034|79750|81035|83666|114786,ADARB2|DSCAM|ETV6|GABRA2|PBX1|PRKCH|KLF12|SAMD4A|ZNF385D|COLEC12|PARP9|XKR4,-5.1,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,-6.3,0,0,0,0,0,0,0,0,0,-4.1,0,-2.7,0,C1840264,M10000000001010,3,0,DisGeNET,35,IMMUNE SUPPRESSION,,-6.3,6.3,7.4,30304,222,259,12,4.6,1.3,558|945|2214|3162|3684|3965|4360|5293|9332|10461|10630|11006,AXL|CD33|FCGR3A|HMOX1|ITGAM|LGALS9|MRC1|PIK3CD|CD163|MERTK|PDPN|LILRB4,-5.1,0
1,0,0,0,0,0,1,1,1,0,1,1,1,1,-3,0,0,0,0,0,-2.6,-2,-2.2,0,-3.6,-5.4,-6.3,-3.6,C0235950,M10000011101111,8,0,DisGeNET,35,Zinc deficiency,,-6.3,11,8.7,30304,90,237,8,3.4,1.2,2353|3091|3725|3726|4780|7037|8935|9402,FOS|HIF1A|JUN|JUNB|NFE2L2|TFRC|SKAP2|GRAP2,-5.1,0
1,0,0,0,0,0,0,0,0,0,1,1,1,1,-4.2,0,0,0,0,0,0,0,0,0,-5.3,-2.3,-6.2,-2.8,C1658953,M10000000001111,5,0,DisGeNET,35,tumor vasculature,,-6.2,7,7.6,30304,200,237,11,4.6,1.4,639|2022|2321|3091|4360|4780|4973|5209|7037|7852|23166,PRDM1|ENG|FLT1|HIF1A|MRC1|NFE2L2|OLR1|PFKFB3|TFRC|CXCR4|STAB1,-5.1,0
0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-2.7,0,0,0,-5.7,-2.1,-6.2,-4,C0024140,M00000010001111,5,0,DisGeNET,35,"Lupus Erythematosus, Subacute Cutaneous",,-6.2,20,10,30304,39,237,6,2.5,1,712|2078|2353|3123|5552|7132,C1QA|ERG|FOS|HLA-DRB1|SRGN|TNFRSF1A,-5.1,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,-2.3,0,0,0,0,0,0,0,0,0,-2.2,0,-6.2,-2.8,C0750977,M10000000001011,4,0,DisGeNET,35,Recurrent Brain Neoplasm,,-6.2,20,10,30304,39,237,6,2.5,1,3689|4360|7048|7052|10788|27436,ITGB2|MRC1|TGFBR2|TGM2|IQGAP2|EML4,-5.1,0
1,1,0,0,0,0,0,0,1,0,1,1,1,1,-5.7,-2.3,0,0,0,0,0,0,-2.1,0,-6.2,-4.7,-5.4,-2.5,C0376618,M11000000101111,7,0,DisGeNET,35,Endotoxemia,,-6.2,4.3,6.7,30304,401,298,17,5.7,1.3,2353|2697|3091|3315|3570|3572|3689|4155|4205|4661|4780|5175|5293|6352|7132|7852|11213,FOS|GJA1|HIF1A|HSPB1|IL6R|IL6ST|ITGB2|MBP|MEF2A|MYT1|NFE2L2|PECAM1|PIK3CD|CCL5|TNFRSF1A|CXCR4|IRAK3,-5.1,0
1,0,0,0,0,1,0,1,0,0,1,1,1,1,-3.4,0,0,0,0,-2.8,0,-3.1,0,0,-6.2,-5.2,-3.7,-6.2,C0011644,M10000101001111,7,0,DisGeNET,35,Scleroderma,,-6.2,6.3,7.3,30304,316,184,12,6.5,1.8,2022|2113|2313|3091|3106|3123|3597|6886|7038|7046|7048|9402,ENG|ETS1|FLI1|HIF1A|HLA-B|HLA-DRB1|IL13RA1|TAL1|TG|TGFBR1|TGFBR2|GRAP2,-5,0
1,0,0,0,0,1,0,1,0,1,1,1,1,1,-5.6,0,0,0,0,-2.2,0,-2.4,0,-2,-6.2,-2.6,-4.5,-2.2,C0015672,M10000101011111,8,0,DisGeNET,35,Fatigue,,-6.2,3.2,6.2,30304,759,298,24,8.1,1.6,604|861|960|1374|2697|3123|3315|3490|3570|4780|5156|5293|6352|6506|6556|6646|6886|6925|7037|7132|7133|10019|10320|64859,BCL6|RUNX1|CD44|CPT1A|GJA1|HLA-DRB1|HSPB1|IGFBP7|IL6R|NFE2L2|PDGFRA|PIK3CD|CCL5|SLC1A2|SLC11A1|SOAT1|TAL1|TCF4|TFRC|TNFRSF1A|TNFRSF1B|SH2B3|IKZF1|NABP1,-5,0
1,1,0,0,0,0,0,0,1,0,1,1,1,1,-5.7,-2.6,0,0,0,0,0,0,-3.1,0,-6.2,-4.1,-5.5,-2.7,C0003872,M11000000101111,7,0,DisGeNET,35,"Arthritis, Psoriatic",,-6.2,4.1,6.5,30304,450,298,18,6,1.4,864|942|1374|2353|3123|3570|3572|3672|4780|5175|5293|5742|5966|6352|6886|7132|7133|23765,RUNX3|CD86|CPT1A|FOS|HLA-DRB1|IL6R|IL6ST|ITGA1|NFE2L2|PECAM1|PIK3CD|PTGS1|REL|CCL5|TAL1|TNFRSF1A|TNFRSF1B|IL17RA,-5,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,C0242966,M10000000000000,1,0,DisGeNET,35,Systemic Inflammatory Response Syndrome,,-6.2,7,7.5,30304,185,259,11,4.2,1.3,728|834|3162|3303|3762|5293|6404|6696|6750|7462|8829,C5AR1|CASP1|HMOX1|HSPA1A|KCNJ5|PIK3CD|SELPLG|SPP1|SST|LAT2|NRP1,-5,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,C0398738,M10000000000000,1,0,DisGeNET,35,Leukocyte adhesion deficiency type 1,,-6.2,9.2,8.2,30304,114,259,9,3.5,1.1,558|834|1871|3684|4851|5293|8935|9788|83706,AXL|CASP1|E2F3|ITGAM|NOTCH1|PIK3CD|SKAP2|MTSS1|FERMT3,-5,0
1,1,1,0,0,1,1,0,1,1,1,1,0,0,-2.3,-6.2,-2,0,0,-2.1,-4.7,0,-4.8,-2.8,-5.6,-3.2,0,0,C0206663,M11100110111100,9,0,DisGeNET,35,"Neuroectodermal Tumor, Primitive",,-6.2,9.3,8.2,30304,184,160,9,5.6,1.8,429|1630|2322|3479|4853|5156|5293|6663|6750,ASCL1|DCC|FLT3|IGF1|NOTCH2|PDGFRA|PIK3CD|SOX10|SST,-5,0
0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,-2.1,0,0,0,0,0,-2.2,0,0,-6.2,-5.2,-5.6,-3.2,C0206161,M01000001001111,6,0,DisGeNET,35,Reticulocyte count (procedure),,-6.2,5.6,7.1,30304,234,298,13,4.4,1.2,896|3123|3672|3676|4855|6239|7037|10019|10301|10320|53335|55553|64778,CCND3|HLA-DRB1|ITGA1|ITGA4|NOTCH4|RREB1|TFRC|SH2B3|DLEU1|IKZF1|BCL11A|SOX6|FNDC3B,-5,0
1,0,0,0,0,0,0,0,0,0,1,1,1,1,-3.5,0,0,0,0,0,0,0,0,0,-6.2,-4.6,-6,-2.8,C3469521,M10000000001111,5,0,DisGeNET,35,"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",,-6.2,4.5,6.7,30304,359,298,16,5.4,1.3,571|604|861|864|960|1508|2122|3091|4360|4988|6507|6646|6925|7852|10019|51284,BACH1|BCL6|RUNX1|RUNX3|CD44|CTSB|MECOM|HIF1A|MRC1|OPRM1|SLC1A3|SOAT1|TCF4|CXCR4|SH2B3|TLR7,-5,0
1,0,0,0,0,0,1,0,0,0,1,1,1,1,-2.1,0,0,0,0,0,-3.6,0,0,0,-6.2,-2.4,-3.8,-2.9,C0039103,M10000010001111,6,0,DisGeNET,35,Synovitis,,-6.2,6.2,7.3,30304,197,298,12,4,1.1,358|960|965|2261|2737|3123|4616|5293|5742|6352|6646|9332,AQP1|CD44|CD58|FGFR3|GLI3|HLA-DRB1|GADD45B|PIK3CD|PTGS1|CCL5|SOAT1|CD163,-5,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-3.4,-6.2,-2.2,0,C0428568,M00000000001110,3,0,DisGeNET,35,Fasting blood glucose measurement,,-6.2,9.1,8.1,30304,96,311,9,2.9,0.95,960|1496|1607|1826|2887|6239|6934|23189|79698,CD44|CTNNA2|DGKB|DSCAM|GRB10|RREB1|TCF7L2|KANK1|ZMAT4,-5,0
0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,-2,0,-2.2,0,-6.2,0,0,0,0,-2.7,-4.9,-4.1,-2.9,C0007112,M01010100001111,7,0,DisGeNET,35,Adenocarcinoma of prostate,,-6.2,5.6,7.1,30304,342,205,13,6.3,1.7,247|1316|1508|2309|3059|3091|4851|6319|7048|7133|7543|11309|55502,ALOX15B|KLF6|CTSB|FOXO3|HCLS1|HIF1A|NOTCH1|SCD|TGFBR2|TNFRSF1B|ZFX|SLCO2B1|HES6,-5,0
