_MEMBER_att_D_SCZ_1 - 0.9-1.1,_MEMBER_att_D_SCZ_1 - 4.5-5.5,_MEMBER_att_D_SCZ_1 - 9.0-11.0,_LogP_att_D_SCZ_1 - 0.9-1.1,_LogP_att_D_SCZ_1 - 4.5-5.5,_LogP_att_D_SCZ_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,0,-5.3,0,0,GO:0001910,regulation of leukocyte mediated cytotoxicity,M100,1,0
1,0,0,-2.7,0,0,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,M100,1,0
1,0,0,-3.3,0,0,R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,M100,1,0
1,0,0,-4.4,0,0,hsa04211,Longevity regulating pathway,M100,1,0
1,0,0,-2.9,0,0,GO:0043627,response to estrogen,M100,1,0
1,0,0,-4.5,0,0,GO:0006325,chromatin organization,M100,1,0
1,0,0,-3,0,0,GO:0045599,negative regulation of fat cell differentiation,M100,1,0
1,0,0,-3,0,0,WP3630,NAD metabolism sirtuins and aging,M100,1,0
1,0,0,-2.3,0,0,GO:1905064,negative regulation of vascular associated smooth muscle cell differentiation,M100,1,0
1,0,0,-2.8,0,0,R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,M100,1,0
1,0,0,-8.2,0,0,GO:0002703,regulation of leukocyte mediated immunity,M100,1,0
1,0,0,-2.6,0,0,GO:0032688,negative regulation of interferon-beta production,M100,1,0
1,0,0,-2.6,0,0,GO:1990869,cellular response to chemokine,M100,1,0
1,0,0,-2.1,0,0,R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,M100,1,0
1,0,0,-2.1,0,0,hsa04714,Thermogenesis,M100,1,0
1,0,0,-4.6,0,0,R-HSA-9824446,Viral Infection Pathways,M100,1,0
1,0,0,-2.4,0,0,GO:0060351,cartilage development involved in endochondral bone morphogenesis,M100,1,0
1,0,0,-3,0,0,M270,PID MAPK TRK PATHWAY,M100,1,0
1,0,0,-2.1,0,0,GO:0070243,regulation of thymocyte apoptotic process,M100,1,0
1,0,0,-3.3,0,0,GO:0002833,positive regulation of response to biotic stimulus,M100,1,0
1,0,0,-3.6,0,0,GO:0060099,"regulation of phagocytosis, engulfment",M100,1,0
1,0,0,-2.8,0,0,GO:1903305,regulation of regulated secretory pathway,M100,1,0
1,0,0,-3.7,0,0,WP286,IL 3 signaling pathway,M100,1,0
1,0,0,-3.5,0,0,GO:1901741,positive regulation of myoblast fusion,M100,1,0
1,0,0,-2.6,0,0,GO:2000107,negative regulation of leukocyte apoptotic process,M100,1,0
1,0,0,-2.5,0,0,WP4630,Measles virus infection,M100,1,0
1,0,0,-3.3,0,0,GO:0010883,regulation of lipid storage,M100,1,0
1,0,0,-2.4,0,0,WP4482,Vitamin D in inflammatory diseases,M100,1,0
0,0,1,0,0,-2.3,GO:0050769,positive regulation of neurogenesis,M001,1,0
0,1,0,0,-2.1,0,GO:0001823,mesonephros development,M010,1,0
1,0,0,-3.3,0,0,hsa05016,Huntington disease,M100,1,0
1,0,0,-2.4,0,0,GO:0030101,natural killer cell activation,M100,1,0
1,0,0,-3.2,0,0,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,M100,1,0
1,0,0,-2.8,0,0,GO:0002009,morphogenesis of an epithelium,M100,1,0
1,0,0,-2.4,0,0,GO:0002088,lens development in camera-type eye,M100,1,0
1,0,0,-7,0,0,hsa05203,Viral carcinogenesis,M100,1,0
1,0,0,-3.8,0,0,GO:0045089,positive regulation of innate immune response,M100,1,0
1,0,0,-2.2,0,0,R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),M100,1,0
1,0,0,-2.1,0,0,GO:0010907,positive regulation of glucose metabolic process,M100,1,0
1,0,0,-2.7,0,0,GO:2000146,negative regulation of cell motility,M100,1,0
1,0,0,-6.4,0,0,R-HSA-1989781,PPARA activates gene expression,M100,1,0
1,0,0,-3.2,0,0,R-HSA-448424,Interleukin-17 signaling,M100,1,0
1,0,0,-2.4,0,0,GO:2000772,regulation of cellular senescence,M100,1,0
1,0,0,-2.1,0,0,GO:0019724,B cell mediated immunity,M100,1,0
1,0,0,-5,0,0,GO:0002253,activation of immune response,M100,1,0
1,0,0,-2.6,0,0,GO:0006991,response to sterol depletion,M100,1,0
1,0,0,-2.5,0,0,GO:0071496,cellular response to external stimulus,M100,1,0
1,0,0,-4.2,0,0,GO:0045648,positive regulation of erythrocyte differentiation,M100,1,0
1,0,0,-2.7,0,0,GO:1905155,positive regulation of membrane invagination,M100,1,0
1,0,0,-4.2,0,0,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M100,1,0
1,0,0,-2.7,0,0,GO:0043304,regulation of mast cell degranulation,M100,1,0
1,0,0,-2.3,0,0,M141,PID PI3KCI PATHWAY,M100,1,0
1,0,0,-2.1,0,0,GO:0048048,embryonic eye morphogenesis,M100,1,0
1,0,0,-2,0,0,GO:0021761,limbic system development,M100,1,0
1,0,0,-2,0,0,GO:0002690,positive regulation of leukocyte chemotaxis,M100,1,0
1,0,0,-6.6,0,0,R-HSA-4090294,SUMOylation of intracellular receptors,M100,1,0
1,0,0,-2.8,0,0,WP3527,Pre implantation embryo,M100,1,0
1,0,0,-3.2,0,0,GO:0006974,DNA damage response,M100,1,0
1,0,0,-5.1,0,0,M213,PID AR NONGENOMIC PATHWAY,M100,1,0
1,0,0,-2.1,0,0,hsa05133,Pertussis,M100,1,0
1,0,0,-3.6,0,0,hsa05135,Yersinia infection,M100,1,0
1,0,0,-3.4,0,0,M162,PID RXR VDR PATHWAY,M100,1,0
1,0,0,-3.2,0,0,M40,PID E2F PATHWAY,M100,1,0
1,0,0,-2.1,0,0,R-HSA-6804758,Regulation of TP53 Activity through Acetylation,M100,1,0
1,0,0,-5.2,0,0,M10,PID BCR 5PATHWAY,M100,1,0
1,0,0,-2.4,0,0,R-HSA-9006335,Signaling by Erythropoietin,M100,1,0
1,0,0,-6.2,0,0,GO:0022407,regulation of cell-cell adhesion,M100,1,0
1,0,0,-2.2,0,0,WP2018,RANKL RANK signaling pathway,M100,1,0
1,0,0,-3.2,0,0,GO:0002062,chondrocyte differentiation,M100,1,0
1,0,0,-2.7,0,0,GO:0051150,regulation of smooth muscle cell differentiation,M100,1,0
1,0,0,-3.1,0,0,WP5144,NRP1 triggered signaling pathways in pancreatic cancer,M100,1,0
1,0,0,-4.8,0,0,GO:0002443,leukocyte mediated immunity,M100,1,0
1,0,0,-2.3,0,0,GO:0032715,negative regulation of interleukin-6 production,M100,1,0
1,0,0,-2.3,0,0,GO:0060143,positive regulation of syncytium formation by plasma membrane fusion,M100,1,0
1,0,0,-4.3,0,0,R-HSA-2424491,DAP12 signaling,M100,1,0
1,0,0,-3.3,0,0,GO:0002720,positive regulation of cytokine production involved in immune response,M100,1,0
1,0,0,-2.7,0,0,GO:0071478,cellular response to radiation,M100,1,0
0,1,0,0,-2.9,0,GO:0045604,regulation of epidermal cell differentiation,M010,1,0
1,0,0,-3.3,0,0,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M100,1,0
1,0,0,-3.5,0,0,R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,M100,1,0
0,1,0,0,-2.1,0,GO:0045786,negative regulation of cell cycle,M010,1,0
1,0,0,-3.2,0,0,R-HSA-8941855,RUNX3 regulates CDKN1A transcription,M100,1,0
0,0,1,0,0,-4.2,M285,PID HNF3A PATHWAY,M001,1,0
1,0,0,-2.3,0,0,GO:0022408,negative regulation of cell-cell adhesion,M100,1,0
1,0,0,-2.1,0,0,GO:0043500,muscle adaptation,M100,1,0
1,0,0,-2,0,0,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,M100,1,0
1,0,0,-3.8,0,0,GO:0060603,mammary gland duct morphogenesis,M100,1,0
1,0,0,-2.5,0,0,GO:1905953,negative regulation of lipid localization,M100,1,0
1,0,0,-5.1,0,0,M255,PID HIF1 TFPATHWAY,M100,1,0
1,0,0,-2.1,0,0,R-HSA-4086398,Ca2+ pathway,M100,1,0
1,0,0,-2.6,0,0,R-HSA-8952158,RUNX3 regulates BCL2L11 (BIM) transcription,M100,1,0
0,1,0,0,-2.7,0,GO:0021549,cerebellum development,M010,1,0
1,0,0,-2.5,0,0,GO:0090596,sensory organ morphogenesis,M100,1,0
1,0,0,-2.2,0,0,R-HSA-525793,Myogenesis,M100,1,0
1,0,0,-4.1,0,0,GO:0032652,regulation of interleukin-1 production,M100,1,0
1,0,0,-2.1,0,0,hsa05415,Diabetic cardiomyopathy,M100,1,0
0,1,0,0,-2.9,0,GO:0045682,regulation of epidermis development,M010,1,0
1,0,0,-2.4,0,0,WP4685,Melanoma,M100,1,0
1,0,0,-8,0,0,GO:0002252,immune effector process,M100,1,0
1,0,0,-3,0,0,R-HSA-1834941,STING mediated induction of host immune responses,M100,1,0
1,0,0,-3.6,0,0,GO:0060444,branching involved in mammary gland duct morphogenesis,M100,1,0
1,0,0,-2.6,0,0,GO:0050764,regulation of phagocytosis,M100,1,0
1,0,0,-6.3,0,0,GO:2001187,"positive regulation of CD8-positive, alpha-beta T cell activation",M100,1,0
1,0,0,-2.6,0,0,GO:0032819,positive regulation of natural killer cell proliferation,M100,1,0
1,0,0,-5.2,0,0,WP5174,Ulcerative colitis signaling,M100,1,0
1,0,0,-2.5,0,0,hsa05220,Chronic myeloid leukemia,M100,1,0
1,0,0,-2.7,0,0,R-HSA-9660826,Purinergic signaling in leishmaniasis infection,M100,1,0
1,0,0,-2.3,0,0,WP2203,Thymic stromal lymphopoietin TSLP signaling pathway,M100,1,0
0,1,0,0,-2.3,0,GO:0042472,inner ear morphogenesis,M010,1,0
1,0,0,-4.8,0,0,hsa05207,Chemical carcinogenesis - receptor activation,M100,1,0
1,0,0,-2.3,0,0,GO:0045806,negative regulation of endocytosis,M100,1,0
1,0,0,-2.2,0,0,GO:0048002,antigen processing and presentation of peptide antigen,M100,1,0
1,0,0,-5.8,0,0,hsa04218,Cellular senescence,M100,1,0
1,0,0,-3.1,0,0,GO:0051250,negative regulation of lymphocyte activation,M100,1,0
1,0,0,-2.5,0,0,R-HSA-5607764,CLEC7A (Dectin-1) signaling,M100,1,0
1,0,0,-2.5,0,0,GO:1901722,regulation of cell proliferation involved in kidney development,M100,1,0
1,0,0,-2.7,0,0,GO:0002752,cell surface pattern recognition receptor signaling pathway,M100,1,0
1,0,0,-2.2,0,0,WP3611,Photodynamic therapy induced AP 1 survival signaling,M100,1,0
1,0,0,-3,0,0,CORUM:5196,"TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)",M100,1,0
1,0,0,-3.6,0,0,GO:0071391,cellular response to estrogen stimulus,M100,1,0
1,0,0,-3.6,0,0,WP3858,Toll like receptor signaling related to MyD88,M100,1,0
1,0,0,-2.2,0,0,GO:0002724,regulation of T cell cytokine production,M100,1,0
1,0,0,-2.1,0,0,GO:1901796,regulation of signal transduction by p53 class mediator,M100,1,0
1,0,0,-2.1,0,0,GO:0048565,digestive tract development,M100,1,0
1,0,0,-4.8,0,0,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M100,1,0
1,0,0,-2,0,0,GO:0045620,negative regulation of lymphocyte differentiation,M100,1,0
1,0,0,-2.8,0,0,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,M100,1,0
1,0,0,-7.8,0,0,GO:0009755,hormone-mediated signaling pathway,M100,1,0
1,0,0,-3,0,0,GO:0021543,pallium development,M100,1,0
1,0,0,-2.6,0,0,GO:0032732,positive regulation of interleukin-1 production,M100,1,0
1,0,0,-3.3,0,0,WP3937,Microglia pathogen phagocytosis pathway,M100,1,0
1,0,0,-2.7,0,0,GO:1902106,negative regulation of leukocyte differentiation,M100,1,0
1,0,0,-2.5,0,0,WP2526,PDGF pathway,M100,1,0
1,0,0,-2.2,0,0,GO:0060216,definitive hemopoiesis,M100,1,0
1,0,0,-2.1,0,0,GO:0098883,synapse pruning,M100,1,0
1,0,0,-2.2,0,0,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",M100,1,0
0,1,0,0,-4.1,0,WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,M010,1,0
1,0,0,-3.2,0,0,R-HSA-1236977,Endosomal/Vacuolar pathway,M100,1,0
1,0,0,-2.3,0,0,GO:0071300,cellular response to retinoic acid,M100,1,0
1,0,0,-8.2,0,0,WP170,Nuclear receptors,M100,1,0
1,0,0,-5.3,0,0,R-HSA-9824443,Parasitic Infection Pathways,M100,1,0
1,0,0,-2.5,0,0,hsa04666,Fc gamma R-mediated phagocytosis,M100,1,0
1,0,0,-2.3,0,0,GO:0003148,outflow tract septum morphogenesis,M100,1,0
1,0,0,-4.1,0,0,GO:0002704,negative regulation of leukocyte mediated immunity,M100,1,0
1,0,0,-2.3,0,0,GO:1903428,positive regulation of reactive oxygen species biosynthetic process,M100,1,0
1,0,0,-5.3,0,0,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M100,1,0
1,0,0,-2.2,0,0,GO:0060562,epithelial tube morphogenesis,M100,1,0
1,0,0,-5.2,0,0,M17200,SA B CELL RECEPTOR COMPLEXES,M100,1,0
1,0,0,-3.6,0,0,GO:0070542,response to fatty acid,M100,1,0
1,0,0,-2,0,0,GO:0001101,response to acid chemical,M100,1,0
1,0,0,-3,0,0,R-HSA-2262752,Cellular responses to stress,M100,1,0
1,0,0,-4.2,0,0,hsa04310,Wnt signaling pathway,M100,1,0
1,0,0,-4.4,0,0,hsa04660,T cell receptor signaling pathway,M100,1,0
1,0,0,-2.2,0,0,GO:2000181,negative regulation of blood vessel morphogenesis,M100,1,0
1,0,0,-2.4,0,0,WP2324,AGE RAGE pathway,M100,1,0
1,0,0,-4.8,0,0,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M100,1,0
1,0,0,-4.3,0,0,GO:0061448,connective tissue development,M100,1,0
1,0,0,-4.1,0,0,WP5115,Network map of SARS CoV 2 signaling pathway,M100,1,0
0,1,0,0,-2.6,0,GO:0060415,muscle tissue morphogenesis,M010,1,0
1,0,0,-2.1,0,0,GO:0032945,negative regulation of mononuclear cell proliferation,M100,1,0
1,0,0,-3.1,0,0,R-HSA-2219528,PI3K/AKT Signaling in Cancer,M100,1,0
1,0,0,-2.1,0,0,WP4874,CAMKK2 pathway,M100,1,0
1,0,0,-2.1,0,0,GO:1903242,regulation of cardiac muscle hypertrophy in response to stress,M100,1,0
1,0,0,-2.1,0,0,M12,PID RHOA PATHWAY,M100,1,0
1,0,0,-4.9,0,0,M54,PID IL12 2PATHWAY,M100,1,0
1,0,0,-2.2,0,0,GO:1901343,negative regulation of vasculature development,M100,1,0
1,0,0,-7.8,0,0,hsa04662,B cell receptor signaling pathway,M100,1,0
1,0,0,-2.5,0,0,GO:0014074,response to purine-containing compound,M100,1,0
0,1,0,0,-2.9,0,GO:0030902,hindbrain development,M010,1,0
1,0,0,-4,0,0,WP2355,Corticotropin releasing hormone signaling pathway,M100,1,0
1,0,0,-3.5,0,0,R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,M100,1,0
1,0,0,-2,0,0,GO:0010611,regulation of cardiac muscle hypertrophy,M100,1,0
1,0,0,-2.2,0,0,GO:0032720,negative regulation of tumor necrosis factor production,M100,1,0
1,0,0,-4,0,0,GO:0043378,"positive regulation of CD8-positive, alpha-beta T cell differentiation",M100,1,0
1,0,0,-3.6,0,0,GO:0002449,lymphocyte mediated immunity,M100,1,0
1,0,0,-2.5,0,0,GO:0007167,enzyme-linked receptor protein signaling pathway,M100,1,0
1,0,0,-2.3,0,0,R-HSA-5607763,CLEC7A (Dectin-1) induces NFAT activation,M100,1,0
1,0,0,-2.8,0,0,GO:0032943,mononuclear cell proliferation,M100,1,0
1,0,0,-2.3,0,0,GO:0002685,regulation of leukocyte migration,M100,1,0
1,0,0,-4.8,0,0,hsa04936,Alcoholic liver disease,M100,1,0
1,0,0,-3.1,0,0,GO:0043434,response to peptide hormone,M100,1,0
1,0,0,-2.6,0,0,GO:0033173,calcineurin-NFAT signaling cascade,M100,1,0
1,0,0,-5.2,0,0,hsa05417,Lipid and atherosclerosis,M100,1,0
1,0,0,-2.6,0,0,GO:0010225,response to UV-C,M100,1,0
1,0,0,-2.5,0,0,GO:0048704,embryonic skeletal system morphogenesis,M100,1,0
1,0,0,-2.4,0,0,WP75,Toll like receptor signaling pathway,M100,1,0
0,0,1,0,0,-2.6,GO:0006259,DNA metabolic process,M001,1,0
1,0,0,-2.7,0,0,GO:0019884,antigen processing and presentation of exogenous antigen,M100,1,0
1,0,0,-6.5,0,0,GO:0002263,cell activation involved in immune response,M100,1,0
1,0,0,-4.4,0,0,GO:0002828,regulation of type 2 immune response,M100,1,0
0,0,1,0,0,-3.6,GO:0045600,positive regulation of fat cell differentiation,M001,1,0
1,0,0,-4.9,0,0,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M100,1,0
1,0,0,-2.1,0,0,GO:0032649,regulation of type II interferon production,M100,1,0
1,0,0,-2.6,0,0,GO:0003418,growth plate cartilage chondrocyte differentiation,M100,1,0
1,0,0,-3.6,0,0,WP3414,Initiation of transcription and translation elongation at the HIV 1 LTR,M100,1,0
1,0,0,-2.2,0,0,WP5352,10q11 21q11 23 copy number variation syndrome,M100,1,0
1,0,0,-3.2,0,0,GO:0043376,"regulation of CD8-positive, alpha-beta T cell differentiation",M100,1,0
1,0,0,-2.8,0,0,R-HSA-9009391,Extra-nuclear estrogen signaling,M100,1,0
1,0,0,-5.2,0,0,GO:0042752,regulation of circadian rhythm,M100,1,0
1,0,0,-4.5,0,0,WP391,Mitochondrial gene expression,M100,1,0
1,0,0,-2.4,0,0,WP4216,Chromosomal and microsatellite instability in colorectal cancer,M100,1,0
1,0,0,-2.1,0,0,R-HSA-6803205,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,M100,1,0
1,0,0,-2.4,0,0,GO:0043616,keratinocyte proliferation,M100,1,0
1,0,0,-3,0,0,GO:0042270,protection from natural killer cell mediated cytotoxicity,M100,1,0
1,0,0,-2.7,0,0,GO:0045628,regulation of T-helper 2 cell differentiation,M100,1,0
1,0,0,-2.1,0,0,GO:0061138,morphogenesis of a branching epithelium,M100,1,0
1,0,0,-2.6,0,0,GO:1903243,negative regulation of cardiac muscle hypertrophy in response to stress,M100,1,0
1,0,0,-2.3,0,0,WP2853,Endoderm differentiation,M100,1,0
1,0,0,-3.1,0,0,GO:0071456,cellular response to hypoxia,M100,1,0
1,0,0,-2.1,0,0,WP5153,N glycan biosynthesis,M100,1,0
1,0,0,-2.8,0,0,R-HSA-9634815,Transcriptional Regulation by NPAS4,M100,1,0
1,0,0,-2.3,0,0,GO:0001568,blood vessel development,M100,1,0
1,0,0,-2.1,0,0,GO:0010661,positive regulation of muscle cell apoptotic process,M100,1,0
1,0,0,-3.1,0,0,hsa05165,Human papillomavirus infection,M100,1,0
1,0,0,-2.4,0,0,WP5072,Modulators of TCR signaling and T cell activation,M100,1,0
1,0,0,-2.3,0,0,GO:0045787,positive regulation of cell cycle,M100,1,0
1,0,0,-3.8,0,0,hsa04625,C-type lectin receptor signaling pathway,M100,1,0
1,0,0,-3.2,0,0,GO:0002377,immunoglobulin production,M100,1,0
1,0,0,-8.6,0,0,GO:0009725,response to hormone,M100,1,0
1,0,0,-3.9,0,0,WP138,Androgen receptor signaling pathway,M100,1,0
1,0,0,-5.9,0,0,R-HSA-1257604,PIP3 activates AKT signaling,M100,1,0
1,0,0,-5.3,0,0,GO:0032103,positive regulation of response to external stimulus,M100,1,0
1,0,0,-5.1,0,0,R-HSA-1280218,Adaptive Immune System,M100,1,0
1,0,0,-2.4,0,0,M41,PID ER NONGENOMIC PATHWAY,M100,1,0
0,1,0,0,-3.5,0,GO:0045616,regulation of keratinocyte differentiation,M010,1,0
1,0,0,-7.6,0,0,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,M100,1,0
1,0,0,-2.5,0,0,GO:0002313,mature B cell differentiation involved in immune response,M100,1,0
1,0,0,-2.2,0,0,GO:0060740,prostate gland epithelium morphogenesis,M100,1,0
1,0,0,-9.1,0,0,WP4149,White fat cell differentiation,M100,1,0
1,0,0,-3.5,0,0,CORUM:585,Mi2/NuRD-BCL6-MTA3 complex,M100,1,0
1,0,0,-4.2,0,0,GO:0002830,positive regulation of type 2 immune response,M100,1,0
1,0,0,-3,0,0,GO:0060430,lung saccule development,M100,1,0
1,0,0,-2.5,0,0,GO:1904018,positive regulation of vasculature development,M100,1,0
1,0,0,-2.6,0,0,GO:0045630,positive regulation of T-helper 2 cell differentiation,M100,1,0
1,0,0,-4.9,0,0,GO:0030518,intracellular steroid hormone receptor signaling pathway,M100,1,0
1,0,0,-3.9,0,0,GO:0050729,positive regulation of inflammatory response,M100,1,0
1,0,0,-6,0,0,GO:0002757,immune response-activating signaling pathway,M100,1,0
1,0,0,-3,0,0,GO:0050866,negative regulation of cell activation,M100,1,0
1,0,0,-3,0,0,GO:0032674,regulation of interleukin-5 production,M100,1,0
1,0,0,-2.3,0,0,GO:0010332,response to gamma radiation,M100,1,0
0,0,1,0,0,-2.3,GO:0051960,regulation of nervous system development,M001,1,0
1,0,0,-2.3,0,0,GO:0060509,type I pneumocyte differentiation,M100,1,0
1,0,0,-3.8,0,0,M28,PID IL4 2PATHWAY,M100,1,0
1,0,0,-2.8,0,0,GO:0070670,response to interleukin-4,M100,1,0
1,0,0,-2.2,0,0,GO:0009880,embryonic pattern specification,M100,1,0
1,0,0,-5.6,0,0,GO:0071407,cellular response to organic cyclic compound,M100,1,0
1,0,0,-2.6,0,0,GO:0071772,response to BMP,M100,1,0
1,0,0,-2.3,0,0,WP5368,Sulfatase and aromatase pathway,M100,1,0
1,0,0,-4.9,0,0,GO:0032651,regulation of interleukin-1 beta production,M100,1,0
1,0,0,-8,0,0,GO:0002250,adaptive immune response,M100,1,0
1,0,0,-2.2,0,0,GO:0032526,response to retinoic acid,M100,1,0
1,0,0,-3.6,0,0,GO:0009648,photoperiodism,M100,1,0
1,0,0,-2.7,0,0,GO:0140895,cell surface toll-like receptor signaling pathway,M100,1,0
1,0,0,-2.4,0,0,GO:0035137,hindlimb morphogenesis,M100,1,0
1,0,0,-2.6,0,0,R-HSA-4839726,Chromatin organization,M100,1,0
1,0,0,-2.5,0,0,GO:0042789,mRNA transcription by RNA polymerase II,M100,1,0
1,0,0,-4.2,0,0,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,M100,1,0
1,0,0,-3,0,0,GO:0002765,immune response-inhibiting signal transduction,M100,1,0
1,0,0,-2.3,0,0,GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib,M100,1,0
1,0,0,-3.2,0,0,GO:0032731,positive regulation of interleukin-1 beta production,M100,1,0
1,0,0,-2.1,0,0,GO:0051048,negative regulation of secretion,M100,1,0
1,0,0,-4.9,0,0,M235,PID TCR CALCIUM PATHWAY,M100,1,0
1,0,0,-5.4,0,0,GO:0010720,positive regulation of cell development,M100,1,0
1,0,0,-4.5,0,0,GO:0002700,regulation of production of molecular mediator of immune response,M100,1,0
1,0,0,-4.3,0,0,GO:0120162,positive regulation of cold-induced thermogenesis,M100,1,0
1,0,0,-9.3,0,0,GO:1902894,negative regulation of miRNA transcription,M100,1,0
1,0,0,-8.8,0,0,GO:0050727,regulation of inflammatory response,M100,1,0
1,0,0,-3.4,0,0,WP4674,Head and neck squamous cell carcinoma,M100,1,0
1,0,0,-2.3,0,0,WP400,p38 MAPK signaling pathway,M100,1,0
1,0,0,-2.2,0,0,GO:0010562,positive regulation of phosphorus metabolic process,M100,1,0
1,0,0,-3.2,0,0,GO:0071479,cellular response to ionizing radiation,M100,1,0
0,1,0,0,-2.3,0,GO:0001708,cell fate specification,M010,1,0
1,0,0,-3.4,0,0,M88,PID CD8 TCR PATHWAY,M100,1,0
1,0,0,-2.6,0,0,R-HSA-198693,AKT phosphorylates targets in the nucleus,M100,1,0
1,0,0,-3.1,0,0,WP4844,Influence of laminopathies on Wnt signaling,M100,1,0
1,0,0,-3.4,0,0,GO:0016445,somatic diversification of immunoglobulins,M100,1,0
1,0,0,-2.9,0,0,GO:0050670,regulation of lymphocyte proliferation,M100,1,0
1,0,0,-6.1,0,0,hsa05170,Human immunodeficiency virus 1 infection,M100,1,0
1,0,0,-2.6,0,0,R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,M100,1,0
1,0,0,-2.9,0,0,GO:0051046,regulation of secretion,M100,1,0
1,0,0,-2.1,0,0,GO:0046641,positive regulation of alpha-beta T cell proliferation,M100,1,0
1,0,0,-2.7,0,0,WP5272,LDL influence on CD14 and TLR4,M100,1,0
1,0,0,-2.9,0,0,GO:0048705,skeletal system morphogenesis,M100,1,0
0,0,1,0,0,-2.3,GO:0051301,cell division,M001,1,0
1,0,0,-5.5,0,0,hsa05163,Human cytomegalovirus infection,M100,1,0
1,0,0,-2.4,0,0,GO:0019216,regulation of lipid metabolic process,M100,1,0
1,0,0,-3.6,0,0,R-HSA-389356,CD28 co-stimulation,M100,1,0
1,0,0,-2.6,0,0,GO:0001906,cell killing,M100,1,0
1,0,0,-2.2,0,0,GO:0045058,T cell selection,M100,1,0
0,1,0,0,-2.3,0,GO:0097305,response to alcohol,M010,1,0
1,0,0,-2.5,0,0,GO:0045581,negative regulation of T cell differentiation,M100,1,0
1,0,0,-3,0,0,GO:0071353,cellular response to interleukin-4,M100,1,0
1,0,0,-4,0,0,hsa04612,Antigen processing and presentation,M100,1,0
1,0,0,-3.7,0,0,GO:0051216,cartilage development,M100,1,0
1,0,0,-2.3,0,0,GO:0048385,regulation of retinoic acid receptor signaling pathway,M100,1,0
1,0,0,-2.1,0,0,M271,PID PI3K PLC TRK PATHWAY,M100,1,0
1,0,0,-2.9,0,0,hsa05225,Hepatocellular carcinoma,M100,1,0
1,0,0,-2.4,0,0,WP2023,Cell differentiation expanded index,M100,1,0
1,0,0,-2.7,0,0,GO:0071168,protein localization to chromatin,M100,1,0
1,0,0,-3.6,0,0,WP428,Wnt signaling,M100,1,0
1,0,0,-2.7,0,0,GO:0090102,cochlea development,M100,1,0
1,0,0,-3.1,0,0,M164,PID ERBB1 DOWNSTREAM PATHWAY,M100,1,0
1,0,0,-3.2,0,0,WP3972,PDGFR beta pathway,M100,1,0
1,0,0,-3.9,0,0,GO:1901654,response to ketone,M100,1,0
1,0,0,-3.9,0,0,WP4320,Effect of progerin on genes involved in Hutchinson Gilford progeria syndrome,M100,1,0
1,0,0,-2.7,0,0,M206,PID PDGFRA PATHWAY,M100,1,0
1,0,0,-2.5,0,0,GO:0016202,regulation of striated muscle tissue development,M100,1,0
1,0,0,-2.3,0,0,WP3863,T cell antigen receptor TCR pathway during Staphylococcus aureus infection,M100,1,0
1,0,0,-3.3,0,0,R-HSA-388841,Costimulation by the CD28 family,M100,1,0
0,0,1,0,0,-3,GO:0043524,negative regulation of neuron apoptotic process,M001,1,0
0,1,0,0,-3.5,0,WP481,Insulin signaling,M010,1,0
1,0,0,-2.4,0,0,hsa04022,cGMP-PKG signaling pathway,M100,1,0
1,0,0,-4.8,0,0,GO:0009617,response to bacterium,M100,1,0
1,0,0,-5.1,0,0,R-HSA-2871809,FCERI mediated Ca+2 mobilization,M100,1,0
1,0,0,-4.6,0,0,GO:0046635,positive regulation of alpha-beta T cell activation,M100,1,0
1,0,0,-3,0,0,GO:0048341,paraxial mesoderm formation,M100,1,0
1,0,0,-2.5,0,0,GO:0009649,entrainment of circadian clock,M100,1,0
