_MEMBER_AD.Micro,_MEMBER_AD.OPC,_MEMBER_AD.Oligo,_MEMBER_Control.Micro,_MEMBER_Control.Oligo,_LogP_AD.Micro,_LogP_AD.OPC,_LogP_AD.Oligo,_LogP_Control.Micro,_LogP_Control.Oligo,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,1,1,0,-3.6,0,-5.6,-3.5,0,C1519680,M10110,3,0,DisGeNET,35,Tumor Immunity,,-5.6,4.6,6.3,30304,337,274,14,5.1,1.3,942|953|965|1436|2353|3394|3587|3606|3684|3937|4261|6774|7096|55824,CD86|ENTPD1|CD58|CSF1R|FOS|IRF8|IL10RA|IL18|ITGAM|LCP2|CIITA|STAT3|TLR1|PAG1,-3.7,0
1,0,1,1,0,-2.8,0,-5.6,-2.4,0,C0392885,M10110,3,0,DisGeNET,35,High density lipoprotein measurement,,-5.6,3.7,6,30304,545,274,18,6.6,1.5,395|463|558|3572|3587|4067|4211|5140|6518|7046|7096|9306|10019|10135|10257|23380|55534|56034,ARHGAP6|ZFHX3|AXL|IL6ST|IL10RA|LYN|MEIS1|PDE3B|SLC2A5|TGFBR1|TLR1|SOCS6|SH2B3|NAMPT|ABCC4|SRGAP2|MAML3|PDGFC,-3.7,0
0,0,1,0,0,0,0,-5.5,0,0,C0002893,M00100,1,0,DisGeNET,35,Refractory anemias,,-5.5,4.6,6.3,30304,340,274,14,5.1,1.3,240|718|1436|1902|2353|3115|3606|5925|6319|6916|7133|8202|55636|57817,ALOX5|C3|CSF1R|LPAR1|FOS|HLA-DPB1|IL18|RB1|SCD|TBXAS1|TNFRSF1B|NCOA3|CHD7|HAMP,-3.6,0
0,0,1,0,0,0,0,-5.5,0,0,C0751324,M00100,1,0,DisGeNET,35,"Multiple Sclerosis, Acute Fulminating",,-5.5,15,8.8,30304,45,274,6,2.2,0.88,965|3115|3122|3394|3516|6556,CD58|HLA-DPB1|HLA-DRA|IRF8|RBPJ|SLC11A1,-3.6,0
0,0,1,1,0,0,0,-5.5,-2.6,0,C0007787,M00110,2,0,DisGeNET,35,Transient Ischemic Attack,,-5.5,4.5,6.2,30304,344,274,14,5.1,1.3,718|953|972|1508|1524|1902|4780|6696|6774|7046|7048|7133|10019|10135,C3|ENTPD1|CD74|CTSB|CX3CR1|LPAR1|NFE2L2|SPP1|STAT3|TGFBR1|TGFBR2|TNFRSF1B|SH2B3|NAMPT,-3.6,0
0,0,0,1,0,0,0,0,-5.5,0,C0238462,M00010,1,0,DisGeNET,35,Medullary carcinoma of thyroid,,-5.5,8.9,7.5,30304,330,83,8,9.6,3.2,2885|4478|5293|5468|6239|7038|27436|139818,GRB2|MSN|PIK3CD|PPARG|RREB1|TG|EML4|DOCK11,-3.6,0
1,0,1,1,1,-3.3,0,-5.4,-3.1,-2.7,C0042900,M10111,4,0,DisGeNET,35,Vitiligo,,-5.4,4.2,6.1,30304,394,274,15,5.5,1.4,29|920|2313|3115|4261|4286|4780|5336|5788|6503|7038|7048|7097|10019|54504,ABR|CD4|FLI1|HLA-DPB1|CIITA|MITF|NFE2L2|PLCG2|PTPRC|SLA|TG|TGFBR2|TLR2|SH2B3|CPVL,-3.6,0
0,0,1,0,0,0,0,-5.4,0,0,C1827849,M00100,1,0,DisGeNET,35,IgE-mediated allergic asthma,,-5.4,7.5,7.2,30304,133,274,9,3.3,1.1,240|3459|3566|3597|3606|6696|6774|7097|83666,ALOX5|IFNGR1|IL4R|IL13RA1|IL18|SPP1|STAT3|TLR2|PARP9,-3.6,0
0,0,1,0,0,0,0,-5.4,0,0,C0857490,M00100,1,0,DisGeNET,35,Granulocyte count,,-5.4,8.8,7.5,30304,100,274,8,2.9,1,3394|5596|9586|10019|55636|64759|81704|137196,IRF8|MAPK4|CREB5|SH2B3|CHD7|TNS3|DOCK8|CCDC26,-3.6,0
1,0,1,0,1,-2.6,0,-5.4,0,-3.3,C4086152,M10101,3,0,DisGeNET,35,Childhood Astrocytoma,,-5.4,3.4,5.8,30304,615,274,19,6.9,1.5,2|240|558|1730|2313|2353|3566|4780|5209|5321|6696|6774|7096|7097|8202|9289|57817|64805|83478,A2M|ALOX5|AXL|DIAPH2|FLI1|FOS|IL4R|NFE2L2|PFKFB3|PLA2G4A|SPP1|STAT3|TLR1|TLR2|NCOA3|ADGRG1|HAMP|P2RY12|ARHGAP24,-3.5,0
1,0,1,0,0,-3.1,0,-5.4,0,0,C0003872,M10100,2,0,DisGeNET,35,"Arthritis, Psoriatic",,-5.4,3.9,6,30304,450,274,16,5.8,1.4,718|860|942|2353|3109|3428|3566|3572|4780|5052|5209|5321|5966|6774|6886|7133,C3|RUNX2|CD86|FOS|HLA-DMB|IFI16|IL4R|IL6ST|NFE2L2|PRDX1|PFKFB3|PLA2G4A|REL|STAT3|TAL1|TNFRSF1B,-3.5,0
0,0,1,0,0,0,0,-5.4,0,0,C0521158,M00100,1,0,DisGeNET,35,Recurrent tumor,,-5.4,3.2,5.7,30304,735,274,21,7.7,1.6,1326|1436|1508|1524|2180|4780|5052|5629|6319|6480|6556|6696|6774|6850|7038|7100|8569|9306|26509|79651|139818,MAP3K8|CSF1R|CTSB|CX3CR1|ACSL1|NFE2L2|PRDX1|PROX1|SCD|ST6GAL1|SLC11A1|SPP1|STAT3|SYK|TG|TLR5|MKNK1|SOCS6|MYOF|RHBDF2|DOCK11,-3.5,0
0,0,1,0,0,0,0,-5.4,0,0,C0018129,M00100,1,0,DisGeNET,35,Graft Rejection,,-5.4,14,8.6,30304,47,274,6,2.2,0.88,409|920|3606|6688|7097|7133,ARRB2|CD4|IL18|SPI1|TLR2|TNFRSF1B,-3.5,0
0,0,1,0,0,0,0,-5.3,0,0,C0013146,M00100,1,0,DisGeNET,35,Drug abuse,,-5.3,4.1,6,30304,404,274,15,5.5,1.4,2|409|2120|2289|3983|4780|5137|5583|6886|7097|7903|8569|10257|57817|83666,A2M|ARRB2|ETV6|FKBP5|ABLIM1|NFE2L2|PDE1C|PRKCH|TAL1|TLR2|ST8SIA4|MKNK1|ABCC4|HAMP|PARP9,-3.5,0
0,0,1,1,0,0,0,-5.3,-3.1,0,C0276496,M00110,2,0,DisGeNET,35,Familial Alzheimer Disease (FAD),,-5.3,5.1,6.3,30304,260,274,12,4.4,1.2,2|1326|1508|2353|3635|3709|4205|4784|5336|6653|7038|7402,A2M|MAP3K8|CTSB|FOS|INPP5D|ITPR2|MEF2A|NFIX|PLCG2|SORL1|TG|UTRN,-3.4,0
0,0,1,1,0,0,0,-2,-5.3,0,C1275126,M00110,2,0,DisGeNET,35,TNF receptor-associated periodic fever syndrome (TRAPS),,-5.3,20,9.6,30304,90,83,5,6,2.6,3059|5293|5468|7133|139818,HCLS1|PIK3CD|PPARG|TNFRSF1B|DOCK11,-3.4,0
0,0,1,0,0,0,0,-5.3,0,0,C0035455,M00100,1,0,DisGeNET,35,Rhinitis,,-5.3,6.2,6.7,30304,177,274,10,3.6,1.1,718|1524|3059|3459|3566|3606|4261|7097|7133|7903,C3|CX3CR1|HCLS1|IFNGR1|IL4R|IL18|CIITA|TLR2|TNFRSF1B|ST8SIA4,-3.4,0
0,0,1,0,0,0,0,-5.2,0,0,C2676033,M00100,1,0,DisGeNET,35,Hepatoblastoma Caused By Somatic Mutation,,-5.2,8.3,7.2,30304,106,274,8,2.9,1,2|718|1508|1902|3572|7048|7409|57817,A2M|C3|CTSB|LPAR1|IL6ST|TGFBR2|VAV1|HAMP,-3.4,0
1,0,1,1,1,-3.1,0,-4.9,-2.7,-5.2,C0027809,M10111,4,0,DisGeNET,35,Neurilemmoma,,-5.2,33,11,30304,193,19,4,21,9.4,2670|5621|6663|57556,GFAP|PRNP|SOX10|SEMA6A,-3.4,0
0,0,1,0,0,0,0,-5.2,0,0,C0011311,M00100,1,0,DisGeNET,35,Dengue Fever,,-5.2,4.3,6,30304,360,274,14,5.1,1.3,3566|3606|3687|4780|5966|6319|6696|6774|6850|7096|7097|8569|10019|10859,IL4R|IL18|ITGAX|NFE2L2|REL|SCD|SPP1|STAT3|SYK|TLR1|TLR2|MKNK1|SH2B3|LILRB1,-3.4,0
0,0,1,0,0,0,0,-5.2,0,0,C0178468,M00100,1,0,DisGeNET,35,Autoimmune thyroid disease,,-5.2,8.3,7.2,30304,107,274,8,2.9,1,942|3115|3394|3606|4780|6696|6774|7038,CD86|HLA-DPB1|IRF8|IL18|NFE2L2|SPP1|STAT3|TG,-3.4,0
0,0,1,1,0,0,0,-5.2,-4.4,0,C0151744,M00110,2,0,DisGeNET,35,Myocardial Ischemia,,-5.2,3.1,5.5,30304,756,274,21,7.7,1.6,409|718|953|1075|1326|3459|3572|3606|3687|4205|4780|5052|5209|6319|6546|6696|6774|7097|7133|64581|64805,ARRB2|C3|ENTPD1|CTSC|MAP3K8|IFNGR1|IL6ST|IL18|ITGAX|MEF2A|NFE2L2|PRDX1|PFKFB3|SCD|SLC8A1|SPP1|STAT3|TLR2|TNFRSF1B|CLEC7A|P2RY12,-3.4,0
0,0,1,0,0,0,0,-5.2,0,0,C0018800,M00100,1,0,DisGeNET,35,Cardiomegaly,,-5.2,5,6.2,30304,267,274,12,4.4,1.2,2|3606|3709|3784|4067|5337|6546|6774|7046|7048|25939|57817,A2M|IL18|ITPR2|KCNQ1|LYN|PLD1|SLC8A1|STAT3|TGFBR1|TGFBR2|SAMHD1|HAMP,-3.3,0
0,0,1,1,0,0,0,-4.9,-5.2,0,C0020676,M00110,2,0,DisGeNET,35,Hypothyroidism,,-5.2,6,6.5,30304,613,83,10,12,3.6,113|953|3784|5293|5468|6239|7038|7133|8942|22861,ADCY7|ENTPD1|KCNQ1|PIK3CD|PPARG|RREB1|TG|TNFRSF1B|KYNU|NLRP1,-3.3,0
0,1,0,0,0,0,-5.1,0,0,0,C0018784,M01000,1,0,DisGeNET,35,Sensorineural Hearing Loss (disorder),,-5.1,7.7,6.9,30304,783,40,8,20,6.3,1297|1301|2295|2917|3910|9423|81848|152137,COL9A1|COL11A1|FOXF2|GRM7|LAMA4|NTN1|SPRY4|CCDC50,-3.3,0
0,0,1,0,0,0,0,-5.1,0,0,C3714757,M00100,1,0,DisGeNET,35,Juvenile rheumatoid arthritis,,-5.1,6,6.5,30304,183,274,10,3.6,1.1,953|3109|3115|3572|3606|4261|6556|6696|7133|10135,ENTPD1|HLA-DMB|HLA-DPB1|IL6ST|IL18|CIITA|SLC11A1|SPP1|TNFRSF1B|NAMPT,-3.3,0
1,0,1,0,0,-2.3,0,-5.1,0,0,C0079773,M10100,2,0,DisGeNET,35,"Lymphoma, T-Cell, Cutaneous",,-5.1,4.2,5.9,30304,367,274,14,5.1,1.3,2289|2353|3606|3684|3689|5788|5925|6774|7133|7182|10301|25939|27044|83478,FKBP5|FOS|IL18|ITGAM|ITGB2|PTPRC|RB1|STAT3|TNFRSF1B|NR2C2|DLEU1|SAMHD1|SND1|ARHGAP24,-3.3,0
0,0,1,0,0,0,0,-5.1,0,0,C1842937,M00100,1,0,DisGeNET,35,"AURAL ATRESIA, CONGENITAL",,-5.1,8,7.1,30304,110,274,8,2.9,1,2|240|2353|3684|3687|5788|6696|64805,A2M|ALOX5|FOS|ITGAM|ITGAX|PTPRC|SPP1|P2RY12,-3.3,0
0,0,1,1,0,0,0,-5.1,-2.3,0,C0013080,M00110,2,0,DisGeNET,35,Down Syndrome,,-5.1,3,5.4,30304,765,274,21,7.7,1.6,2|571|2120|3635|3684|3689|4773|4780|4784|5052|5305|6653|6774|7038|7097|7402|9020|9839|25902|64092|83478,A2M|BACH1|ETV6|INPP5D|ITGAM|ITGB2|NFATC2|NFE2L2|NFIX|PRDX1|PIP4K2A|SORL1|STAT3|TG|TLR2|UTRN|MAP3K14|ZEB2|MTHFD1L|SAMSN1|ARHGAP24,-3.3,0
0,0,1,1,0,0,0,-3.8,-5.1,0,C0087031,M00110,2,0,DisGeNET,35,Juvenile-Onset Still Disease,,-5.1,13,8.1,30304,171,83,6,7.2,2.8,113|677|4478|4973|25816|54502,ADCY7|ZFP36L1|MSN|OLR1|TNFAIP8|RBM47,-3.3,0
0,0,1,1,0,0,0,-5.1,-3.4,0,C0085207,M00110,2,0,DisGeNET,35,Gestational Diabetes,,-5.1,3.2,5.5,30304,649,274,19,6.9,1.5,942|1240|1508|1524|3606|3687|3784|4780|5629|5788|6239|6319|6774|7038|7046|7097|10135|57817|84976,CD86|CMKLR1|CTSB|CX3CR1|IL18|ITGAX|KCNQ1|NFE2L2|PROX1|PTPRC|RREB1|SCD|STAT3|TG|TGFBR1|TLR2|NAMPT|HAMP|DISP1,-3.2,0
1,0,1,1,0,-2.7,0,-5.1,-4.5,0,C0040034,M10110,3,0,DisGeNET,35,Thrombocytopenia,,-5.1,3.4,5.5,30304,592,274,18,6.6,1.5,240|718|2120|2313|3516|3566|3689|4481|5052|5788|6239|6696|6774|6850|6916|7097|7456|25939,ALOX5|C3|ETV6|FLI1|RBPJ|IL4R|ITGB2|MSR1|PRDX1|PTPRC|RREB1|SPP1|STAT3|SYK|TBXAS1|TLR2|WIPF1|SAMHD1,-3.2,0
1,0,0,1,0,-5,0,0,-2.1,0,C0023443,M10010,2,0,DisGeNET,35,Hairy Cell Leukemia,,-5,30,11,30304,143,28,4,14,6.6,399|960|3702|8631,RHOH|CD44|ITK|SKAP1,-3.2,0
0,0,1,1,0,0,0,-5,-2.7,0,C0026936,M00110,2,0,DisGeNET,35,Mycoplasma Infections,,-5,5.9,6.4,30304,188,274,10,3.6,1.1,1075|3059|3606|3687|4780|7096|7097|7133|80896|83666,CTSC|HCLS1|IL18|ITGAX|NFE2L2|TLR1|TLR2|TNFRSF1B|NPL|PARP9,-3.2,0
0,0,1,0,0,0,0,-5,0,0,C0860207,M00100,1,0,DisGeNET,35,Drug-Induced Liver Disease,,-5,3.5,5.6,30304,537,274,17,6.2,1.5,2|571|718|2180|3606|4780|6480|6653|6696|6774|7046|7048|7100|9306|10257|11309|83478,A2M|BACH1|C3|ACSL1|IL18|NFE2L2|ST6GAL1|SORL1|SPP1|STAT3|TGFBR1|TGFBR2|TLR5|SOCS6|ABCC4|SLCO2B1|ARHGAP24,-3.2,0
0,0,1,1,0,0,0,-5,-4.9,0,C0497156,M00110,2,0,DisGeNET,35,Lymphadenopathy,,-5,4.8,6.1,30304,277,274,12,4.4,1.2,718|2120|3394|3459|4780|5788|6696|6774|7038|7048|7133|55636,C3|ETV6|IRF8|IFNGR1|NFE2L2|PTPRC|SPP1|STAT3|TG|TGFBR2|TNFRSF1B|CHD7,-3.2,0
0,0,1,1,0,0,0,-5,-2.2,0,C0343641,M00110,2,0,DisGeNET,35,Human papilloma virus infection,,-5,3.9,5.7,30304,428,274,15,5.5,1.4,953|1508|2353|3428|3606|5682|5925|6696|6774|6850|7097|7133|8857|81704|83478,ENTPD1|CTSB|FOS|IFI16|IL18|PSMA1|RB1|SPP1|STAT3|SYK|TLR2|TNFRSF1B|FCGBP|DOCK8|ARHGAP24,-3.2,0
1,0,1,0,0,-5,0,-3.2,0,0,C0011644,M10100,2,0,DisGeNET,35,Scleroderma,,-5,17,8.8,30304,316,28,5,18,7.2,960|969|2113|6352|6778,CD44|CD69|ETS1|CCL5|STAT6,-3.2,0
0,0,1,1,0,0,0,-5,-2.1,0,C3665444,M00110,2,0,DisGeNET,35,Neutrophilia (disorder),,-5,6.6,6.6,30304,150,274,9,3.3,1.1,1326|3566|3684|3689|4780|6696|7038|7097|83666,MAP3K8|IL4R|ITGAM|ITGB2|NFE2L2|SPP1|TG|TLR2|PARP9,-3.2,0
0,0,1,1,0,0,0,-5,-3.7,0,C0022104,M00110,2,0,DisGeNET,35,Irritable Bowel Syndrome,,-5,3.9,5.7,30304,429,274,15,5.5,1.4,718|1508|1524|3606|3687|5052|6556|7038|7048|7097|7100|7133|10257|11214|57162,C3|CTSB|CX3CR1|IL18|ITGAX|PRDX1|SLC11A1|TG|TGFBR2|TLR2|TLR5|TNFRSF1B|ABCC4|AKAP13|PELI1,-3.2,0
0,0,1,1,0,0,0,-5,-2.1,0,C0162820,M00110,2,0,DisGeNET,35,"Dermatitis, Allergic Contact",,-5,6.6,6.6,30304,151,274,9,3.3,1.1,1075|3606|3684|4780|5996|6480|6696|6774|10135,CTSC|IL18|ITGAM|NFE2L2|RGS1|ST6GAL1|SPP1|STAT3|NAMPT,-3.2,0
0,0,1,1,0,0,0,-5,-2.4,0,C0003507,M00110,2,0,DisGeNET,35,Aortic Valve Stenosis,,-5,5.2,6.2,30304,234,274,11,4,1.2,240|860|942|953|1902|2313|2353|3684|5788|6696|7097,ALOX5|RUNX2|CD86|ENTPD1|LPAR1|FLI1|FOS|ITGAM|PTPRC|SPP1|TLR2,-3.2,0
0,0,1,1,0,0,0,-3.4,-5,0,C0018203,M00110,2,0,DisGeNET,35,Chronic granulomatous disease,,-5,17,8.8,30304,105,83,5,6,2.6,3689|5293|5341|5468|11214,ITGB2|PIK3CD|PLEK|PPARG|AKAP13,-3.2,0
0,0,1,0,0,0,0,-4.9,0,0,C0162557,M00100,1,0,DisGeNET,35,"Liver Failure, Acute",,-4.9,4.7,6,30304,282,274,12,4.4,1.2,942|953|972|1524|3606|3684|4780|6774|7048|7097|57817|83666,CD86|ENTPD1|CD74|CX3CR1|IL18|ITGAM|NFE2L2|STAT3|TGFBR2|TLR2|HAMP|PARP9,-3.1,0
0,0,1,0,0,0,0,-4.9,0,0,C0205698,M00100,1,0,DisGeNET,35,Undifferentiated carcinoma,,-4.9,4.7,6,30304,283,274,12,4.4,1.2,1902|2180|3572|3606|3684|3689|5925|6319|6774|7038|7048|9019,LPAR1|ACSL1|IL6ST|IL18|ITGAM|ITGB2|RB1|SCD|STAT3|TG|TGFBR2|MPZL1,-3.1,0
0,1,1,0,0,0,-4.9,-2.3,0,0,C0235480,M01100,2,0,DisGeNET,35,Paroxysmal atrial fibrillation,,-4.9,17,8.6,30304,226,40,5,12,5.2,5396|10090|79658|144453|222553,PRRX1|UST|ARHGAP10|BEST3|SLC35F1,-3.1,0
1,0,1,0,0,-2.5,0,-4.9,0,0,C2316810,M10100,2,0,DisGeNET,35,Chronic kidney disease stage 5,,-4.9,3.2,5.4,30304,666,274,19,6.9,1.5,240|718|953|1524|3566|3606|4211|4780|6239|6696|7097|7133|7456|7903|11309|25834|54796|57817|64805,ALOX5|C3|ENTPD1|CX3CR1|IL4R|IL18|MEIS1|NFE2L2|RREB1|SPP1|TLR2|TNFRSF1B|WIPF1|ST8SIA4|SLCO2B1|MGAT4C|BNC2|HAMP|P2RY12,-3.1,0
0,0,1,0,0,0,0,-4.9,0,0,C0700345,M00100,1,0,DisGeNET,35,"Candidiasis, Vulvovaginal",,-4.9,12,7.7,30304,57,274,6,2.2,0.88,2005|3606|3684|3689|7097|64581,ELK4|IL18|ITGAM|ITGB2|TLR2|CLEC7A,-3.1,0
0,0,1,1,0,0,0,-4.9,-3,0,C0011303,M00110,2,0,DisGeNET,35,Demyelinating Diseases,,-4.9,6.4,6.4,30304,156,274,9,3.3,1.1,953|1240|1508|3115|3394|5629|6696|120892|139818,ENTPD1|CMKLR1|CTSB|HLA-DPB1|IRF8|PROX1|SPP1|LRRK2|DOCK11,-3.1,0
0,0,1,0,0,0,0,-4.9,0,0,C2717865,M00100,1,0,DisGeNET,35,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,,-4.9,9,7.1,30304,86,274,7,2.6,0.95,953|3115|3606|3684|7097|7133|57817,ENTPD1|HLA-DPB1|IL18|ITGAM|TLR2|TNFRSF1B|HAMP,-3.1,0
0,0,1,0,0,0,0,-4.9,0,0,C0026896,M00100,1,0,DisGeNET,35,Myasthenia Gravis,,-4.9,4.3,5.8,30304,336,274,13,4.7,1.3,942|2353|3115|3394|3459|3566|3687|5788|6696|6774|7402|7409|10859,CD86|FOS|HLA-DPB1|IRF8|IFNGR1|IL4R|ITGAX|PTPRC|SPP1|STAT3|UTRN|VAV1|LILRB1,-3.1,0
1,0,1,1,0,-3.1,0,-4.9,-4.8,0,C1527304,M10110,3,0,DisGeNET,35,Allergic Reaction,,-4.9,5.6,6.2,30304,197,274,10,3.6,1.1,3115|3122|3572|3606|3635|3689|4773|6696|7096|7133,HLA-DPB1|HLA-DRA|IL6ST|IL18|INPP5D|ITGB2|NFATC2|SPP1|TLR1|TNFRSF1B,-3.1,0
0,0,1,0,0,0,0,-4.9,0,0,C0282193,M00100,1,0,DisGeNET,35,Iron Overload,,-4.9,5,6,30304,241,274,11,4,1.2,240|860|953|4780|6556|6696|6774|6916|7097|7402|57817,ALOX5|RUNX2|ENTPD1|NFE2L2|SLC11A1|SPP1|STAT3|TBXAS1|TLR2|UTRN|HAMP,-3.1,0
1,1,1,0,0,-2.6,-4.9,-2.4,0,0,C0008925,M11100,3,0,DisGeNET,35,Cleft Palate,,-4.9,8.7,7,30304,611,40,7,18,6,1297|1301|2295|5332|5396|9423|81848,COL9A1|COL11A1|FOXF2|PLCB4|PRRX1|NTN1|SPRY4,-3.1,0
0,0,0,0,1,0,0,0,0,-4.9,C0037771,M00001,1,0,DisGeNET,35,"Paraparesis, Spastic",,-4.9,64,14,30304,75,19,3,16,8.4,5621|6663|79152,PRNP|SOX10|FA2H,-3.1,0
1,0,1,0,0,-2.4,0,-4.9,0,0,C0220641,M10100,2,0,DisGeNET,35,Lip and Oral Cavity Carcinoma,,-4.9,3,5.3,30304,734,274,20,7.3,1.6,240|942|1508|2120|3606|4773|4780|5052|6696|6774|7046|7048|7097|7133|7903|9839|10859|25780|27044|83478,ALOX5|CD86|CTSB|ETV6|IL18|NFATC2|NFE2L2|PRDX1|SPP1|STAT3|TGFBR1|TGFBR2|TLR2|TNFRSF1B|ST8SIA4|ZEB2|LILRB1|RASGRP3|SND1|ARHGAP24,-3.1,0
0,0,1,0,0,0,0,-4.8,0,0,C0275518,M00100,1,0,DisGeNET,35,Acute infectious disease,,-4.8,5.6,6.2,30304,198,274,10,3.6,1.1,467|953|972|2353|3566|3606|3687|7097|57817|83666,ATF3|ENTPD1|CD74|FOS|IL4R|IL18|ITGAX|TLR2|HAMP|PARP9,-3.1,0
1,0,1,1,0,-2.4,0,-4.8,-2.6,0,C0398650,M10110,3,0,DisGeNET,35,Immune thrombocytopenic purpura,,-4.8,4.3,5.7,30304,338,274,13,4.7,1.3,942|953|1524|2289|3115|3566|3587|3606|4261|5788|6774|6850|7038,CD86|ENTPD1|CX3CR1|FKBP5|HLA-DPB1|IL4R|IL10RA|IL18|CIITA|PTPRC|STAT3|SYK|TG,-3.1,0
0,0,1,0,0,0,0,-4.8,0,0,C1565489,M00100,1,0,DisGeNET,35,Renal Insufficiency,,-4.8,3.2,5.4,30304,615,274,18,6.6,1.5,240|718|1240|2353|2651|3115|3606|3784|4780|5052|6696|6774|7048|7402|9020|10257|57817|64805,ALOX5|C3|CMKLR1|FOS|GCNT2|HLA-DPB1|IL18|KCNQ1|NFE2L2|PRDX1|SPP1|STAT3|TGFBR2|UTRN|MAP3K14|ABCC4|HAMP|P2RY12,-3,0
0,0,1,0,0,0,0,-4.8,0,0,C0038525,M00100,1,0,DisGeNET,35,Subarachnoid Hemorrhage,,-4.8,3.5,5.5,30304,501,274,16,5.8,1.4,718|1524|3606|4481|4780|5052|6696|6774|7046|7048|7097|7182|7402|57162|57817|81704,C3|CX3CR1|IL18|MSR1|NFE2L2|PRDX1|SPP1|STAT3|TGFBR1|TGFBR2|TLR2|NR2C2|UTRN|PELI1|HAMP|DOCK8,-3,0
0,0,1,0,0,0,0,-4.8,0,0,C0035235,M00100,1,0,DisGeNET,35,Respiratory Syncytial Virus Infections,,-4.8,5,6,30304,244,274,11,4,1.2,1524|3115|3566|3606|3687|4780|5788|6696|6774|7097|10859,CX3CR1|HLA-DPB1|IL4R|IL18|ITGAX|NFE2L2|PTPRC|SPP1|STAT3|TLR2|LILRB1,-3,0
0,0,1,1,0,0,0,-4.8,-3.2,0,C0238013,M00110,2,0,DisGeNET,35,Invasive aspergillosis,,-4.8,11,7.5,30304,59,274,6,2.2,0.88,6850|7096|7097|7100|64581|83666,SYK|TLR1|TLR2|TLR5|CLEC7A|PARP9,-3,0
0,0,1,0,0,0,0,-4.8,0,0,C0242380,M00100,1,0,DisGeNET,35,Libman-Sacks Disease,,-4.8,11,7.5,30304,59,274,6,2.2,0.88,3684|7100|10019|25780|54899|64805,ITGAM|TLR5|SH2B3|RASGRP3|PXK|P2RY12,-3,0
1,0,1,0,0,-2.6,0,-4.8,0,0,C0017152,M10100,2,0,DisGeNET,35,Gastritis,,-4.8,4.5,5.8,30304,292,274,12,4.4,1.2,953|2353|3115|3572|3606|3687|4780|5925|6696|6774|7097|10859,ENTPD1|FOS|HLA-DPB1|IL6ST|IL18|ITGAX|NFE2L2|RB1|SPP1|STAT3|TLR2|LILRB1,-3,0
0,1,0,0,0,0,-4.8,0,0,0,C0266427,M01000,1,0,DisGeNET,35,Testicular regression syndrome,,-4.8,61,13,30304,37,40,3,7.5,4.2,4214|23414|27185,MAP3K1|ZFPM2|DISC1,-3,0
0,0,1,0,0,0,0,-4.8,0,0,C1328504,M00100,1,0,DisGeNET,35,Hormone refractory prostate cancer,,-4.8,3.1,5.2,30304,683,274,19,6.9,1.5,29|860|1326|1436|2120|2289|4205|5337|5925|6480|6774|7182|8202|10257|10859|11309|23097|55824|85477,ABR|RUNX2|MAP3K8|CSF1R|ETV6|FKBP5|MEF2A|PLD1|RB1|ST6GAL1|STAT3|NR2C2|NCOA3|ABCC4|LILRB1|SLCO2B1|CDK19|PAG1|SCIN,-3,0
0,0,1,1,0,0,0,-4.8,-3.8,0,C0856825,M00110,2,0,DisGeNET,35,Acute GVH disease,,-4.8,4.5,5.8,30304,294,274,12,4.4,1.2,718|3115|3566|3606|3635|4780|6774|7096|7100|7133|64581|139818,C3|HLA-DPB1|IL4R|IL18|INPP5D|NFE2L2|STAT3|TLR1|TLR5|TNFRSF1B|CLEC7A|DOCK11,-3,0
0,0,1,0,0,0,0,-4.8,0,0,C1837218,M00100,1,0,DisGeNET,35,"Cleft palate, isolated",,-4.8,4.5,5.8,30304,295,274,12,4.4,1.2,860|3606|3687|5552|6696|6774|7048|7182|23406|54796|55636|56034,RUNX2|IL18|ITGAX|SRGN|SPP1|STAT3|TGFBR2|NR2C2|COTL1|BNC2|CHD7|PDGFC,-3,0
1,0,1,0,0,-2.9,0,-4.8,0,0,C0151779,M10100,2,0,DisGeNET,35,Cutaneous Melanoma,,-4.8,3.5,5.4,30304,507,274,16,5.8,1.4,2313|3606|4286|4481|5927|6696|6774|7097|8202|8942|9020|10019|11228|57162|81704|84441,FLI1|IL18|MITF|MSR1|KDM5A|SPP1|STAT3|TLR2|NCOA3|KYNU|MAP3K14|SH2B3|RASSF8|PELI1|DOCK8|MAML2,-3,0
0,0,1,0,0,0,0,-4.8,0,0,C0428883,M00100,1,0,DisGeNET,35,Diastolic blood pressure,,-4.8,3.5,5.4,30304,507,274,16,5.8,1.4,463|677|4067|4773|5596|5682|6546|6774|9497|10019|53346|54502|55534|55843|57475|79987,ZFHX3|ZFP36L1|LYN|NFATC2|MAPK4|PSMA1|SLC8A1|STAT3|SLC4A7|SH2B3|TM6SF1|RBM47|MAML3|ARHGAP15|PLEKHH1|SVEP1,-3,0
0,0,1,0,1,0,0,-2.3,0,-4.7,C4721453,M00101,2,0,DisGeNET,35,Peripheral Nervous System Diseases,,-4.7,15,8,30304,549,19,5,26,10,2670|5621|6663|30812|79152,GFAP|PRNP|SOX10|SOX8|FA2H,-3,0
