_MEMBER_att_D_no_prior_0 - 0.9-1.1,_MEMBER_att_D_no_prior_0 - 4.5-5.5,_MEMBER_att_D_no_prior_0 - 9.0-11.0,_LogP_att_D_no_prior_0 - 0.9-1.1,_LogP_att_D_no_prior_0 - 4.5-5.5,_LogP_att_D_no_prior_0 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,0,-2.2,0,0,GO:0035904,aorta development,M100,1,0
0,1,0,0,-3,0,GO:0048514,blood vessel morphogenesis,M010,1,0
0,1,0,0,-2,0,GO:0060326,cell chemotaxis,M010,1,0
0,1,0,0,-3.1,0,WP313,Hepatocyte growth factor receptor signaling,M010,1,0
0,0,1,0,0,-2.2,GO:0009448,gamma-aminobutyric acid metabolic process,M001,1,0
0,1,0,0,-2.3,0,GO:0032675,regulation of interleukin-6 production,M010,1,0
1,0,0,-3.6,0,0,GO:0050864,regulation of B cell activation,M100,1,0
0,1,0,0,-3,0,GO:0051345,positive regulation of hydrolase activity,M010,1,0
0,1,0,0,-2.3,0,GO:0051592,response to calcium ion,M010,1,0
1,0,0,-2.4,0,0,M272,PID CD8 TCR DOWNSTREAM PATHWAY,M100,1,0
1,0,0,-2.7,0,0,GO:0071773,cellular response to BMP stimulus,M100,1,0
0,0,1,0,0,-2.5,hsa05211,Renal cell carcinoma,M001,1,0
0,0,1,0,0,-2.7,GO:0009410,response to xenobiotic stimulus,M001,1,0
1,0,0,-2.8,0,0,WP3646,Hepatitis C and hepatocellular carcinoma,M100,1,0
0,0,1,0,0,-2.9,GO:0072089,stem cell proliferation,M001,1,0
0,1,0,0,-3.9,0,GO:0001568,blood vessel development,M010,1,0
1,0,0,-2,0,0,GO:0060325,face morphogenesis,M100,1,0
0,1,0,0,-4.7,0,R-HSA-9700206,Signaling by ALK in cancer,M010,1,0
0,0,1,0,0,-2.3,GO:0002703,regulation of leukocyte mediated immunity,M001,1,0
0,0,1,0,0,-2.2,GO:0032944,regulation of mononuclear cell proliferation,M001,1,0
0,0,1,0,0,-2.6,GO:0046686,response to cadmium ion,M001,1,0
0,1,0,0,-2.5,0,GO:0097154,GABAergic neuron differentiation,M010,1,0
0,0,1,0,0,-2.4,R-HSA-112315,Transmission across Chemical Synapses,M001,1,0
0,0,1,0,0,-2.6,GO:0001775,cell activation,M001,1,0
0,0,1,0,0,-2.5,GO:0032655,regulation of interleukin-12 production,M001,1,0
1,0,0,-2.3,0,0,hsa05223,Non-small cell lung cancer,M100,1,0
0,1,0,0,-2,0,GO:0009914,hormone transport,M010,1,0
1,0,0,-2.1,0,0,R-HSA-1912408,Pre-NOTCH Transcription and Translation,M100,1,0
1,0,0,-3.4,0,0,WP4211,Transcriptional cascade regulating adipogenesis,M100,1,0
0,0,1,0,0,-2.4,hsa05135,Yersinia infection,M001,1,0
1,0,0,-2.3,0,0,GO:2000178,negative regulation of neural precursor cell proliferation,M100,1,0
0,1,0,0,-2,0,GO:0032890,regulation of organic acid transport,M010,1,0
0,1,0,0,-2.1,0,GO:0043547,positive regulation of GTPase activity,M010,1,0
1,0,0,-2,0,0,GO:0060397,growth hormone receptor signaling pathway via JAK-STAT,M100,1,0
0,1,0,0,-2.1,0,hsa04216,Ferroptosis,M010,1,0
0,1,0,0,-2.9,0,GO:0055013,cardiac muscle cell development,M010,1,0
0,1,0,0,-2.4,0,hsa04371,Apelin signaling pathway,M010,1,0
0,1,0,0,-2,0,GO:0014823,response to activity,M010,1,0
0,0,1,0,0,-2.1,GO:0042110,T cell activation,M001,1,0
0,1,0,0,-2.6,0,GO:0045666,positive regulation of neuron differentiation,M010,1,0
0,1,0,0,-2.9,0,GO:0032835,glomerulus development,M010,1,0
0,1,0,0,-2.6,0,GO:0030855,epithelial cell differentiation,M010,1,0
0,1,0,0,-2.4,0,GO:0003205,cardiac chamber development,M010,1,0
0,0,1,0,0,-2.1,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,M001,1,0
0,1,0,0,-2.7,0,R-HSA-983705,Signaling by the B Cell Receptor (BCR),M010,1,0
0,0,1,0,0,-2.8,M17200,SA B CELL RECEPTOR COMPLEXES,M001,1,0
1,0,0,-2.6,0,0,WP2840,Hair follicle development cytodifferentiation part 3 of 3,M100,1,0
0,0,1,0,0,-2.4,GO:0048168,regulation of neuronal synaptic plasticity,M001,1,0
0,1,0,0,-2.1,0,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),M010,1,0
0,1,0,0,-2.9,0,GO:0072109,glomerular mesangium development,M010,1,0
1,0,0,-2.7,0,0,WP581,EPO receptor signaling,M100,1,0
0,1,0,0,-2.4,0,GO:0050777,negative regulation of immune response,M010,1,0
1,0,0,-2.2,0,0,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,M100,1,0
0,0,1,0,0,-2.2,GO:0032645,regulation of granulocyte macrophage colony-stimulating factor production,M001,1,0
0,1,0,0,-2.5,0,GO:0010613,positive regulation of cardiac muscle hypertrophy,M010,1,0
0,1,0,0,-2.2,0,GO:0060972,left/right pattern formation,M010,1,0
0,0,1,0,0,-2.2,GO:0002262,myeloid cell homeostasis,M001,1,0
1,0,0,-2,0,0,GO:0070670,response to interleukin-4,M100,1,0
0,1,0,0,-2.2,0,GO:0046638,positive regulation of alpha-beta T cell differentiation,M010,1,0
0,0,1,0,0,-2.1,GO:0061900,glial cell activation,M001,1,0
0,1,0,0,-2.2,0,GO:0021879,forebrain neuron differentiation,M010,1,0
0,1,0,0,-2.7,0,GO:0071277,cellular response to calcium ion,M010,1,0
1,0,0,-2.9,0,0,M17,PID NOTCH PATHWAY,M100,1,0
0,0,1,0,0,-2.2,GO:0043392,negative regulation of DNA binding,M001,1,0
0,1,0,0,-2,0,GO:0002819,regulation of adaptive immune response,M010,1,0
1,0,0,-2.4,0,0,GO:0030509,BMP signaling pathway,M100,1,0
0,1,0,0,-4,0,GO:0061371,determination of heart left/right asymmetry,M010,1,0
0,1,0,0,-2.9,0,WP5373,Role of hypoxia angiogenesis and FGF pathway in OA chondrocyte hypertrophy,M010,1,0
0,1,0,0,-2.1,0,WP4540,Hippo signaling regulation pathways,M010,1,0
0,1,0,0,-3.3,0,GO:0048340,paraxial mesoderm morphogenesis,M010,1,0
0,1,0,0,-2.2,0,WP4239,Epithelial to mesenchymal transition in colorectal cancer,M010,1,0
0,0,1,0,0,-2.1,GO:0030318,melanocyte differentiation,M001,1,0
0,1,0,0,-2.5,0,WP4205,MET in type 1 papillary renal cell carcinoma,M010,1,0
0,0,1,0,0,-2.2,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,M001,1,0
1,0,0,-2,0,0,M196,PID IL23 PATHWAY,M100,1,0
0,1,0,0,-2.9,0,GO:0002064,epithelial cell development,M010,1,0
0,1,0,0,-2,0,GO:0021872,forebrain generation of neurons,M010,1,0
0,1,0,0,-2.2,0,WP536,Calcium regulation in cardiac cells,M010,1,0
1,0,0,-3.4,0,0,R-HSA-451927,Interleukin-2 family signaling,M100,1,0
0,0,1,0,0,-2.1,GO:0006813,potassium ion transport,M001,1,0
1,0,0,-2,0,0,GO:0035306,positive regulation of dephosphorylation,M100,1,0
1,0,0,-2,0,0,WP3845,Canonical and non canonical Notch signaling,M100,1,0
0,0,1,0,0,-2.6,GO:0002269,leukocyte activation involved in inflammatory response,M001,1,0
0,1,0,0,-3.3,0,GO:0072102,glomerulus morphogenesis,M010,1,0
1,0,0,-2.4,0,0,R-HSA-380994,ATF4 activates genes in response to endoplasmic reticulum  stress,M100,1,0
0,0,1,0,0,-2.3,WP5198,Inflammatory bowel disease signaling,M001,1,0
1,0,0,-2.1,0,0,WP304,Kit receptor signaling pathway,M100,1,0
0,0,1,0,0,-2.1,GO:0048167,regulation of synaptic plasticity,M001,1,0
0,1,0,0,-2.4,0,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,M010,1,0
0,1,0,0,-2,0,WP4659,Gastrin signaling pathway,M010,1,0
0,1,0,0,-2.4,0,hsa00051,Fructose and mannose metabolism,M010,1,0
0,1,0,0,-2.2,0,M206,PID PDGFRA PATHWAY,M010,1,0
1,0,0,-2.1,0,0,GO:0051148,negative regulation of muscle cell differentiation,M100,1,0
0,0,1,0,0,-4.1,WP3945,TYROBP causal network in microglia,M001,1,0
0,1,0,0,-2.5,0,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M010,1,0
1,0,0,-2,0,0,R-HSA-912526,Interleukin receptor SHC signaling,M100,1,0
0,0,1,0,0,-2.2,M190,PID TCR JNK PATHWAY,M001,1,0
0,0,1,0,0,-2.8,R-HSA-8951430,RUNX3 regulates WNT signaling,M001,1,0
1,0,0,-2,0,0,M210,PID IL8 CXCR2 PATHWAY,M100,1,0
1,0,0,-3.1,0,0,GO:0045577,regulation of B cell differentiation,M100,1,0
0,1,0,0,-2.8,0,GO:0002250,adaptive immune response,M010,1,0
0,1,0,0,-2,0,R-HSA-8878171,Transcriptional regulation by RUNX1,M010,1,0
0,1,0,0,-2.6,0,GO:0070306,lens fiber cell differentiation,M010,1,0
1,0,0,-2,0,0,GO:0060839,endothelial cell fate commitment,M100,1,0
0,1,0,0,-2.1,0,GO:1902075,cellular response to salt,M010,1,0
0,0,1,0,0,-2.6,GO:0001774,microglial cell activation,M001,1,0
1,0,0,-2.3,0,0,GO:0072148,epithelial cell fate commitment,M100,1,0
0,1,0,0,-2.2,0,GO:0051100,negative regulation of binding,M010,1,0
1,0,0,-2,0,0,GO:0007406,negative regulation of neuroblast proliferation,M100,1,0
0,0,1,0,0,-2.6,GO:0030854,positive regulation of granulocyte differentiation,M001,1,0
1,0,0,-2.5,0,0,WP395,IL 4 signaling pathway,M100,1,0
0,1,0,0,-2.4,0,GO:0045582,positive regulation of T cell differentiation,M010,1,0
0,1,0,0,-2.2,0,GO:0055007,cardiac muscle cell differentiation,M010,1,0
1,0,0,-3.6,0,0,GO:0060840,artery development,M100,1,0
0,1,0,0,-2.1,0,GO:0046634,regulation of alpha-beta T cell activation,M010,1,0
1,0,0,-2.3,0,0,GO:1900182,positive regulation of protein localization to nucleus,M100,1,0
1,0,0,-3.2,0,0,R-HSA-383280,Nuclear Receptor transcription pathway,M100,1,0
0,1,0,0,-4.1,0,WP3678,Amplification and expansion of oncogenic pathways as metastatic traits,M010,1,0
1,0,0,-2.9,0,0,hsa04630,JAK-STAT signaling pathway,M100,1,0
0,1,0,0,-2.2,0,GO:0021889,olfactory bulb interneuron differentiation,M010,1,0
1,0,0,-2.4,0,0,GO:0019827,stem cell population maintenance,M100,1,0
0,0,1,0,0,-3.2,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M001,1,0
0,1,0,0,-2.7,0,GO:0001525,angiogenesis,M010,1,0
0,1,0,0,-2.3,0,WP3931,Embryonic stem cell pluripotency pathways,M010,1,0
1,0,0,-3.1,0,0,hsa04218,Cellular senescence,M100,1,0
1,0,0,-2.9,0,0,M22,PID GMCSF PATHWAY,M100,1,0
1,0,0,-2.7,0,0,R-HSA-9616222,Transcriptional regulation of granulopoiesis,M100,1,0
0,1,0,0,-2.3,0,R-HSA-187037,Signaling by NTRK1 (TRKA),M010,1,0
0,1,0,0,-2.7,0,GO:0050853,B cell receptor signaling pathway,M010,1,0
0,1,0,0,-3.5,0,WP481,Insulin signaling,M010,1,0
0,0,1,0,0,-2.3,GO:0001893,maternal placenta development,M001,1,0
0,1,0,0,-2.3,0,GO:0002335,mature B cell differentiation,M010,1,0
1,0,0,-2,0,0,GO:0071350,cellular response to interleukin-15,M100,1,0
1,0,0,-2.2,0,0,GO:0048663,neuron fate commitment,M100,1,0
0,0,1,0,0,-3.9,GO:0071466,cellular response to xenobiotic stimulus,M001,1,0
0,1,0,0,-2.7,0,GO:0042113,B cell activation,M010,1,0
0,0,1,0,0,-2.6,GO:0001818,negative regulation of cytokine production,M001,1,0
0,1,0,0,-3.7,0,GO:0001944,vasculature development,M010,1,0
0,1,0,0,-2.4,0,GO:1901342,regulation of vasculature development,M010,1,0
1,0,0,-2.4,0,0,GO:1903053,regulation of extracellular matrix organization,M100,1,0
0,1,0,0,-2.6,0,GO:0045765,regulation of angiogenesis,M010,1,0
0,1,0,0,-3.1,0,GO:0043009,chordate embryonic development,M010,1,0
0,1,0,0,-2.1,0,R-HSA-449147,Signaling by Interleukins,M010,1,0
1,0,0,-2.9,0,0,R-HSA-1912422,Pre-NOTCH Expression and Processing,M100,1,0
0,0,1,0,0,-2.6,R-HSA-912631,Regulation of signaling by CBL,M001,1,0
0,1,0,0,-2.4,0,R-HSA-9673324,WNT5:FZD7-mediated leishmania damping,M010,1,0
1,0,0,-2.7,0,0,GO:0071772,response to BMP,M100,1,0
