att_D_AD_1.M35115.Oligo,att_D_AD_2.M35115.Micro,att_D_AD_2.M35594.Micro,att_D_AD_2.M35115.Oligo,att_D_AD_2.M35594.Oligo,att_D_SCZ_2.M35115.Oligo,att_D_no_prior_0.M35594.OPC,att_D_no_prior_2.M35594.OPC,att_D_AD_1,att_D_AD_2,att_D_SCZ_1,att_D_SCZ_2,att_D_no_prior_0,att_D_no_prior_1,att_D_no_prior_2,att_D_no_prior_3,_BACKGROUND
,,,,,,,,,,,,DCN,WDR49,TFEC,,ANXA11
,,,,,,,,,,,,NOSTRIN,GADD45B,TFRC,,ANXA2
,,,,,,,,,,,,PAWR,FTH1,CMKLR1,,ANXA3
,,,,,,,,,,,,MAFB,EMCN,EML4,,ANXA5
,,,,,,,,,,,,ADAM28,SAMD5,FCGBP,,AOAH
,,,,,,,,,,,,ATP8B4,TRPC4,IGSF21,,AOX1
,,,,,,,,,,,,CD74,KLF5,MAP3K8,,APAF1
,,,,,,,,,,,,P2RY12,NMU,MRC1,,APBB1IP
,,,,,,,,,,,,VAV1,TOX2,RREB1,,APCDD1
,,,,,,,,,,,,MEIS2,FLT1,SRGN,,APCDD1L
,,,,,,,,,,,,ADARB2,DOCK8,TNS3,,APEX1
,,,,,,,,,,,,CHRDL1,LYN,ZC3HAV1,,APEX2
,,,,,,,,,,,,NTNG1,PTPRC,CYTIP,,APLF
,,,,,,,,,,,,PRELID2,ADARB2,GRAP2,,APLN
,,,,,,,,,,,,SGCD,ALK,IKZF3,,APLNR
,,,,,,,,,,,,SORCS3,EGFEM1P,MCTP2,,APMAP
,,,,,,,,,,,,SV2C,KANK1,PTPN22,,APOA1-AS
,,,,,,,,,,,,CHST15,KITLG,PYHIN1,,APOBEC2
,,,,,,,,,,,,ST8SIA4,LUZP2,SYTL3,,APOBEC3G
,,,,,,,,,,,,VCAN,PRKG1,OLIG1,,APOC1
,,,,,,,,,,,,CD86,EYS,LDLR,,APOD
,,,,,,,,,,,,CXCR4,TAC1,BHLHE41,,APOE
,,,,,,,,,,,,CYTIP,BMPR1B,CSF1R,,APOL3
,,,,,,,,,,,,F13A1,APCDD1,LAPTM5,,APOL6
,,,,,,,,,,,,KLHL6,FGFR1,P2RY12,,APOLD1
,,,,,,,,,,,,MS4A4A,UST,PALD1,,AQP1
,,,,,,,,,,,,PAPOLG,NR3C2,PLCG2,,AQP4
,,,,,,,,,,,,PIK3R5,C5AR1,SRGAP2C,,AQP4-AS1
,,,,,,,,,,,,PLEK,CD83,SYK,,AR
,,,,,,,,,,,,RHBDF2,GPR183,CHD7,,ARFGAP1
,,,,,,,,,,,,SDCBP,RAB20,DOCK5,,ARG1
,,,,,,,,,,,,SLC2A3,MAPK4,NPAS2,,ARG2
,,,,,,,,,,,,SYTL3,ARHGAP6,PIP4K2A,,ARGFX
,,,,,,,,,,,,TFEC,BHLHE41,PLEKHH1,,ARHGAP10
,,,,,,,,,,,,TFRC,BMP2K,ST18,,ARHGAP15
,,,,,,,,,,,,ZFHX3,CARD11,ZEB2,,ARHGAP18
,,,,,,,,,,,,ACSL1,CPVL,AHNAK,,ARHGAP22
,,,,,,,,,,,,ARRB2,CYFIP1,IGFBP7,,ARHGAP24
,,,,,,,,,,,,CD84,LDLRAD4,PARD3B,,ARHGAP25
,,,,,,,,,,,,EML4,ST8SIA4,WWTR1,,ARHGAP26
,,,,,,,,,,,,FCGBP,SUSD6,CDC14A,,ARHGAP26-AS1
,,,,,,,,,,,,IGSF21,TMEM163,PDLIM5,,ARHGAP27
,,,,,,,,,,,,IRAK3,TNFRSF1B,ANO4,,ARHGAP28
,,,,,,,,,,,,PIK3CD,VSIG4,,,ARHGAP29
,,,,,,,,,,,,SAT1,PTPN22,,,ARHGAP30
,,,,,,,,,,,,CCDC88C,SAMD3,,,ARHGAP31
,,,,,,,,,,,,CCL5,THEMIS,,,ARHGAP31-AS1
,,,,,,,,,,,,TRG-AS1,APOD,,,ARHGAP4
,,,,,,,,,,,,APOD,C10orf90,,,ARHGAP42
,,,,,,,,,,,,ATP10B,SLAIN1,,,ARHGAP6
,,,,,,,,,,,,KCNH8,ZCCHC24,,,ARHGAP9
,,,,,,,,,,,,PLLP,CTNNA2,,,ARHGDIB
,,,,,,,,,,,,ADCY8,PARD3,,,ARHGEF1
,,,,,,,,,,,,GRIK3,SLC35F1,,,ARHGEF10L
,,,,,,,,,,,,CDH18,KIAA1217,,,ARHGEF26
,,,,,,,,,,,,CNTN4,KLF12,,,ARHGEF26-AS1
,,,,,,,,,,,,PLXNA4,MEGF11,,,ARHGEF28
,,,,,,,,,,,,SORBS2,PALLD,,,ARHGEF38
,,,,,,,,,,,,C1QB,ZNF462,,,ARHGEF4
,,,,,,,,,,,,FGD2,BCAS1,,,ARHGEF40
,,,,,,,,,,,,GPR34,ABCA10,,,ARHGEF6
,,,,,,,,,,,,LAPTM5,DGKB,,,ARID3A
,,,,,,,,,,,,PIK3AP1,FRMPD4,,,ARID3B
,,,,,,,,,,,,PLCG2,KCND2,,,ARID3C
,,,,,,,,,,,,PRAM1,KCNQ5,,,ARID5A
,,,,,,,,,,,,SRGAP2C,LRFN5,,,ARID5B
,,,,,,,,,,,,WDFY4,NYAP2,,,ARL15
,,,,,,,,,,,,COL1A2,ST6GALNAC5,,,ARL5A
,,,,,,,,,,,,NID1,SYT1,,,ARMC3
,,,,,,,,,,,,PLA2R1,XKR4,,,ARNT
,,,,,,,,,,,,RNF152,CFH,,,ARNT2
,,,,,,,,,,,,SLC6A13,JAG1,,,ARNTL
,,,,,,,,,,,,FAM107B,NR2F2,,,ARNTL2
,,,,,,,,,,,,GABRA2,PRDM6,,,ARRB2
,,,,,,,,,,,,MBP,PRELP,,,ARRDC2
,,,,,,,,,,,,NPAS2,PTH1R,,,ARRDC3
,,,,,,,,,,,,RASSF2,FAM107B,,,ARRDC3-AS1
,,,,,,,,,,,,UGT8,GABRA2,,,ARRDC4
,,,,,,,,,,,,FSTL5,PLEKHH1,,,ARRDC5
,,,,,,,,,,,,AQP1,SLCO1A2,,,ARSI
,,,,,,,,,,,,COLEC12,C8orf34,,,ARSJ
,,,,,,,,,,,,CPT1A,SLC35F4,,,ART4
,,,,,,,,,,,,LINC01088,ZNF385D,,,ARX
,,,,,,,,,,,,SLC16A9,ABCC9,,,ASAP3
,,,,,,,,,,,,SLC7A2,ADAMTS9,,,ASB14
,,,,,,,,,,,,UTRN,ARHGAP42,,,ASB18
,,,,,,,,,,,,APCDD1,COL5A3,,,ASB4
,,,,,,,,,,,,CABLES1,FGD6,,,ASCC1
,,,,,,,,,,,,FGFR3,MID1,,,ASCL1
,,,,,,,,,,,,GJA1,PDGFRB,,,ASCL2
,,,,,,,,,,,,GLI3,RGMA,,,ASH2L
,,,,,,,,,,,,IGFBP7,RHOJ,,,ASIC2
,,,,,,,,,,,,MSI2,SRPX2,,,ASIC4
,,,,,,,,,,,,MYO10,TLE1,,,ASPA
,,,,,,,,,,,,PDGFC,TMTC1,,,ASPH
,,,,,,,,,,,,SLC1A2,AHCYL1,,,ASPN
,,,,,,,,,,,,SLC4A4,ARHGEF26,,,ASPSCR1
,,,,,,,,,,,,STON2,BRINP3,,,ASTN2-AS1
,,,,,,,,,,,,ZNF423,FAM189A2,,,ASZ1
,,,,,,,,,,,,CDH10,GPC5,,,ATAD3C
,,,,,,,,,,,,LAMA4,ITGA6,,,ATE1-AS1
,,,,,,,,,,,,LHFPL3,PLEKHG1,,,ATF1
,,,,,,,,,,,,MYT1,SAMD4A,,,ATF2
,,,,,,,,,,,,PDGFRA,SERPINE2,,,ATF3
,,,,,,,,,,,,ZIC4,SLC7A11,,,ATF4
,,,,,,,,,,,,,SLCO1C1,,,ATF5
,,,,,,,,,,,,,TBL1X,,,ATF6
,,,,,,,,,,,,,TPD52L1,,,ATF6B
,,,,,,,,,,,,,ZFAND6,,,ATF7
,,,,,,,,,,,,,AKAP12,,,ATG16L2
,,,,,,,,,,,,,DSCAM,,,ATOH7
,,,,,,,,,,,,,MMP16,,,ATOH8
,,,,,,,,,,,,,PDGFC,,,ATOX1
,,,,,,,,,,,,,PDZRN4,,,ATP10A
,,,,,,,,,,,,,SEZ6L,,,ATP10B
,,,,,,,,,,,,,ZFPM2,,,ATP11A-AS1
,,,,,,,,,,,,,LINGO2,,,ATP11C
,,,,,,,,,,,,,PLCXD3,,,ATP13A4
,,,,,,,,,,,,,,,,ATP13A5
,,,,,,,,,,,,,,,,ATP1A2
,,,,,,,,,,,,,,,,ATP1B3
,,,,,,,,,,,,,,,,ATP2A3
,,,,,,,,,,,,,,,,ATP2C2
,,,,,,,,,,,,,,,,ATP6V0D2
,,,,,,,,,,,,,,,,ATP7B
,,,,,,,,,,,,,,,,ATP8B1
,,,,,,,,,,,,,,,,ATP8B4
,,,,,,,,,,,,,,,,ATP8B5P
,,,,,,,,,,,,,,,,ATRNL1
,,,,,,,,,,,,,,,,AVEN
,,,,,,,,,,,,,,,,AXL
,,,,,,,,,,,,,,,,AZGP1
,,,,,,,,,,,,,,,,B2M
,,,,,,,,,,,,,,,,B3GAT2
,,,,,,,,,,,,,,,,B3GNT5
,,,,,,,,,,,,,,,,B4GALT1
,,,,,,,,,,,,,,,,BAALC
,,,,,,,,,,,,,,,,BAALC-AS1
,,,,,,,,,,,,,,,,BACE2
,,,,,,,,,,,,,,,,BACH1
,,,,,,,,,,,,,,,,BACH2
,,,,,,,,,,,,,,,,BAD
,,,,,,,,,,,,,,,,BAG3
,,,,,,,,,,,,,,,,BAIAP2L1
,,,,,,,,,,,,,,,,BAMBI
,,,,,,,,,,,,,,,,BANK1
,,,,,,,,,,,,,,,,BANP
,,,,,,,,,,,,,,,,BARD1
,,,,,,,,,,,,,,,,BARX2
,,,,,,,,,,,,,,,,BATF
,,,,,,,,,,,,,,,,BATF3
,,,,,,,,,,,,,,,,BAX
,,,,,,,,,,,,,,,,BAZ1A
,,,,,,,,,,,,,,,,BBOX1
,,,,,,,,,,,,,,,,BBOX1-AS1
,,,,,,,,,,,,,,,,BBX
,,,,,,,,,,,,,,,,BCAM
,,,,,,,,,,,,,,,,BCAN
,,,,,,,,,,,,,,,,BCAR3
,,,,,,,,,,,,,,,,BCAS1
,,,,,,,,,,,,,,,,BCAS2
,,,,,,,,,,,,,,,,BCAT2
,,,,,,,,,,,,,,,,BCHE
,,,,,,,,,,,,,,,,BCL11A
,,,,,,,,,,,,,,,,BCL11B
,,,,,,,,,,,,,,,,BCL2
,,,,,,,,,,,,,,,,BCL2A1
,,,,,,,,,,,,,,,,BCL2L11
,,,,,,,,,,,,,,,,BCL2L12
,,,,,,,,,,,,,,,,BCL2L14
,,,,,,,,,,,,,,,,BCL3
,,,,,,,,,,,,,,,,BCL6
,,,,,,,,,,,,,,,,BCL6B
,,,,,,,,,,,,,,,,BCLAF1
,,,,,,,,,,,,,,,,BCYRN1
,,,,,,,,,,,,,,,,BDNF
,,,,,,,,,,,,,,,,BDNF-AS
,,,,,,,,,,,,,,,,BDP1
,,,,,,,,,,,,,,,,BEND7
,,,,,,,,,,,,,,,,BEST1
,,,,,,,,,,,,,,,,BEST3
,,,,,,,,,,,,,,,,BGN
,,,,,,,,,,,,,,,,BHLHA15
,,,,,,,,,,,,,,,,BHLHE22
,,,,,,,,,,,,,,,,BHLHE40
,,,,,,,,,,,,,,,,BHLHE41
,,,,,,,,,,,,,,,,BICC1
,,,,,,,,,,,,,,,,BIN2
,,,,,,,,,,,,,,,,BIRC3
,,,,,,,,,,,,,,,,BLM
,,,,,,,,,,,,,,,,BLNK
,,,,,,,,,,,,,,,,BMF
,,,,,,,,,,,,,,,,BMP2
,,,,,,,,,,,,,,,,BMP2K
,,,,,,,,,,,,,,,,BMP5
,,,,,,,,,,,,,,,,BMP6
,,,,,,,,,,,,,,,,BMP7
,,,,,,,,,,,,,,,,BMPER
,,,,,,,,,,,,,,,,BMPR1B
,,,,,,,,,,,,,,,,BMX
,,,,,,,,,,,,,,,,BNC1
,,,,,,,,,,,,,,,,BNC2
,,,,,,,,,,,,,,,,BOC
,,,,,,,,,,,,,,,,BOK
,,,,,,,,,,,,,,,,BOK-AS1
,,,,,,,,,,,,,,,,BOLL
,,,,,,,,,,,,,,,,BPTF
,,,,,,,,,,,,,,,,BRCA1
,,,,,,,,,,,,,,,,BRCA2
,,,,,,,,,,,,,,,,BRF1
,,,,,,,,,,,,,,,,BRF2
,,,,,,,,,,,,,,,,BRINP3
,,,,,,,,,,,,,,,,BROX
,,,,,,,,,,,,,,,,BSG
,,,,,,,,,,,,,,,,BST1
,,,,,,,,,,,,,,,,BST2
,,,,,,,,,,,,,,,,BSX
,,,,,,,,,,,,,,,,BTBD11
,,,,,,,,,,,,,,,,BTBD16
,,,,,,,,,,,,,,,,BTBD17
,,,,,,,,,,,,,,,,BTG1
,,,,,,,,,,,,,,,,BTG2
,,,,,,,,,,,,,,,,BTG3
,,,,,,,,,,,,,,,,BTK
,,,,,,,,,,,,,,,,BTN2A2
,,,,,,,,,,,,,,,,BTN3A1
,,,,,,,,,,,,,,,,BTN3A2
,,,,,,,,,,,,,,,,BTNL9
,,,,,,,,,,,,,,,,BVES
,,,,,,,,,,,,,,,,BVES-AS1
,,,,,,,,,,,,,,,,C10orf90
,,,,,,,,,,,,,,,,C11orf65
,,,,,,,,,,,,,,,,C12orf42
,,,,,,,,,,,,,,,,C12orf56
,,,,,,,,,,,,,,,,C12orf60
,,,,,,,,,,,,,,,,C12orf75
,,,,,,,,,,,,,,,,C17orf64
,,,,,,,,,,,,,,,,C18orf54
,,,,,,,,,,,,,,,,C19orf25
,,,,,,,,,,,,,,,,C1QA
,,,,,,,,,,,,,,,,C1QB
,,,,,,,,,,,,,,,,C1QC
,,,,,,,,,,,,,,,,C1QL1
,,,,,,,,,,,,,,,,C1QTNF1
,,,,,,,,,,,,,,,,C1QTNF7
,,,,,,,,,,,,,,,,C1R
,,,,,,,,,,,,,,,,C1RL
,,,,,,,,,,,,,,,,C1orf112
,,,,,,,,,,,,,,,,C1orf122
,,,,,,,,,,,,,,,,C1orf162
,,,,,,,,,,,,,,,,C1orf195
,,,,,,,,,,,,,,,,C1orf54
,,,,,,,,,,,,,,,,C1orf56
,,,,,,,,,,,,,,,,C1orf87
,,,,,,,,,,,,,,,,C20orf197
,,,,,,,,,,,,,,,,C21orf62
,,,,,,,,,,,,,,,,C21orf62-AS1
,,,,,,,,,,,,,,,,C21orf91
,,,,,,,,,,,,,,,,C21orf91-OT1
,,,,,,,,,,,,,,,,C22orf34
,,,,,,,,,,,,,,,,C2CD2
,,,,,,,,,,,,,,,,C2orf76
,,,,,,,,,,,,,,,,C2orf83
,,,,,,,,,,,,,,,,C3
,,,,,,,,,,,,,,,,C3AR1
,,,,,,,,,,,,,,,,C4BPA
,,,,,,,,,,,,,,,,C4orf19
,,,,,,,,,,,,,,,,C4orf45
,,,,,,,,,,,,,,,,C4orf48
,,,,,,,,,,,,,,,,C5
,,,,,,,,,,,,,,,,C5AR1
,,,,,,,,,,,,,,,,C5AR2
,,,,,,,,,,,,,,,,C5orf17
,,,,,,,,,,,,,,,,C5orf64
,,,,,,,,,,,,,,,,C7
,,,,,,,,,,,,,,,,C7orf31
,,,,,,,,,,,,,,,,C7orf61
,,,,,,,,,,,,,,,,C8orf34
,,,,,,,,,,,,,,,,C8orf34-AS1
,,,,,,,,,,,,,,,,C9orf153
,,,,,,,,,,,,,,,,CA1
,,,,,,,,,,,,,,,,CA10
,,,,,,,,,,,,,,,,CA12
,,,,,,,,,,,,,,,,CA14
,,,,,,,,,,,,,,,,CA2
,,,,,,,,,,,,,,,,CA3
,,,,,,,,,,,,,,,,CA3-AS1
,,,,,,,,,,,,,,,,CA4
,,,,,,,,,,,,,,,,CA8
,,,,,,,,,,,,,,,,CABLES1
,,,,,,,,,,,,,,,,CABP4
,,,,,,,,,,,,,,,,CACHD1
,,,,,,,,,,,,,,,,CACNA2D3
,,,,,,,,,,,,,,,,CACNB2
,,,,,,,,,,,,,,,,CACNG4
,,,,,,,,,,,,,,,,CACNG5
,,,,,,,,,,,,,,,,CADPS2
,,,,,,,,,,,,,,,,CAHM
,,,,,,,,,,,,,,,,CALB2
,,,,,,,,,,,,,,,,CALCB
,,,,,,,,,,,,,,,,CALCR
,,,,,,,,,,,,,,,,CALCRL
,,,,,,,,,,,,,,,,CALD1
,,,,,,,,,,,,,,,,CALN1
,,,,,,,,,,,,,,,,CALR
,,,,,,,,,,,,,,,,CAMK2G
,,,,,,,,,,,,,,,,CAMKMT
,,,,,,,,,,,,,,,,CANX
,,,,,,,,,,,,,,,,CAP1
,,,,,,,,,,,,,,,,CAPG
,,,,,,,,,,,,,,,,CAPN13
,,,,,,,,,,,,,,,,CAPN9
,,,,,,,,,,,,,,,,CARD11
,,,,,,,,,,,,,,,,CARD14
,,,,,,,,,,,,,,,,CARD6
,,,,,,,,,,,,,,,,CARD8
,,,,,,,,,,,,,,,,CARD9
,,,,,,,,,,,,,,,,CARF
,,,,,,,,,,,,,,,,CARMN
,,,,,,,,,,,,,,,,CARNS1
,,,,,,,,,,,,,,,,CARTPT
,,,,,,,,,,,,,,,,CASC15
,,,,,,,,,,,,,,,,CASC17
,,,,,,,,,,,,,,,,CASC19
,,,,,,,,,,,,,,,,CASC6
,,,,,,,,,,,,,,,,CASC9
,,,,,,,,,,,,,,,,CASP1
,,,,,,,,,,,,,,,,CASP10
,,,,,,,,,,,,,,,,CASP4
,,,,,,,,,,,,,,,,CASP7
,,,,,,,,,,,,,,,,CASP8
,,,,,,,,,,,,,,,,CASS4
,,,,,,,,,,,,,,,,CAT
,,,,,,,,,,,,,,,,CATSPERG
,,,,,,,,,,,,,,,,CAV1
,,,,,,,,,,,,,,,,CAV2
,,,,,,,,,,,,,,,,CAV3
,,,,,,,,,,,,,,,,CBFA2T2
,,,,,,,,,,,,,,,,CBFB
,,,,,,,,,,,,,,,,CBLB
,,,,,,,,,,,,,,,,CBLN2
,,,,,,,,,,,,,,,,CBX7
,,,,,,,,,,,,,,,,CC2D2B
,,,,,,,,,,,,,,,,CCBE1
,,,,,,,,,,,,,,,,CCDC102B
,,,,,,,,,,,,,,,,CCDC122
,,,,,,,,,,,,,,,,CCDC13-AS1
,,,,,,,,,,,,,,,,CCDC141
,,,,,,,,,,,,,,,,CCDC15
,,,,,,,,,,,,,,,,CCDC150
,,,,,,,,,,,,,,,,CCDC152
,,,,,,,,,,,,,,,,CCDC160
,,,,,,,,,,,,,,,,CCDC168
,,,,,,,,,,,,,,,,CCDC169-SOHLH2
,,,,,,,,,,,,,,,,CCDC18
,,,,,,,,,,,,,,,,CCDC190
,,,,,,,,,,,,,,,,CCDC25
,,,,,,,,,,,,,,,,CCDC26
,,,,,,,,,,,,,,,,CCDC50
,,,,,,,,,,,,,,,,CCDC60
,,,,,,,,,,,,,,,,CCDC68
,,,,,,,,,,,,,,,,CCDC69
,,,,,,,,,,,,,,,,CCDC80
,,,,,,,,,,,,,,,,CCDC88B
,,,,,,,,,,,,,,,,CCDC88C
,,,,,,,,,,,,,,,,CCDC97
,,,,,,,,,,,,,,,,CCK
,,,,,,,,,,,,,,,,CCL2
,,,,,,,,,,,,,,,,CCL3
,,,,,,,,,,,,,,,,CCL4
,,,,,,,,,,,,,,,,CCL4L2
,,,,,,,,,,,,,,,,CCL5
,,,,,,,,,,,,,,,,CCNB2
,,,,,,,,,,,,,,,,CCNB3
,,,,,,,,,,,,,,,,CCND1
,,,,,,,,,,,,,,,,CCND3
,,,,,,,,,,,,,,,,CCNE2
,,,,,,,,,,,,,,,,CCNG2
,,,,,,,,,,,,,,,,CCNT2
,,,,,,,,,,,,,,,,CCR1
,,,,,,,,,,,,,,,,CD109
,,,,,,,,,,,,,,,,CD14
,,,,,,,,,,,,,,,,CD163
,,,,,,,,,,,,,,,,CD163L1
,,,,,,,,,,,,,,,,CD22
,,,,,,,,,,,,,,,,CD226
,,,,,,,,,,,,,,,,CD247
,,,,,,,,,,,,,,,,CD274
,,,,,,,,,,,,,,,,CD300A
,,,,,,,,,,,,,,,,CD302
,,,,,,,,,,,,,,,,CD320
,,,,,,,,,,,,,,,,CD33
,,,,,,,,,,,,,,,,CD34
,,,,,,,,,,,,,,,,CD36
,,,,,,,,,,,,,,,,CD37
,,,,,,,,,,,,,,,,CD38
,,,,,,,,,,,,,,,,CD4
,,,,,,,,,,,,,,,,CD40
,,,,,,,,,,,,,,,,CD44
,,,,,,,,,,,,,,,,CD53
,,,,,,,,,,,,,,,,CD55
,,,,,,,,,,,,,,,,CD58
,,,,,,,,,,,,,,,,CD59
,,,,,,,,,,,,,,,,CD6
,,,,,,,,,,,,,,,,CD63
,,,,,,,,,,,,,,,,CD69
,,,,,,,,,,,,,,,,CD72
,,,,,,,,,,,,,,,,CD74
,,,,,,,,,,,,,,,,CD82
,,,,,,,,,,,,,,,,CD83
,,,,,,,,,,,,,,,,CD84
,,,,,,,,,,,,,,,,CD86
,,,,,,,,,,,,,,,,CD9
,,,,,,,,,,,,,,,,CD93
,,,,,,,,,,,,,,,,CD96
,,,,,,,,,,,,,,,,CDC14A
,,,,,,,,,,,,,,,,CDC42EP1
,,,,,,,,,,,,,,,,CDC42EP4
,,,,,,,,,,,,,,,,CDC5L
,,,,,,,,,,,,,,,,CDCA7L
,,,,,,,,,,,,,,,,CDCP1
,,,,,,,,,,,,,,,,CDH1
,,,,,,,,,,,,,,,,CDH10
,,,,,,,,,,,,,,,,CDH12
,,,,,,,,,,,,,,,,CDH13
,,,,,,,,,,,,,,,,CDH18
,,,,,,,,,,,,,,,,CDH19
,,,,,,,,,,,,,,,,CDH20
,,,,,,,,,,,,,,,,CDH23
,,,,,,,,,,,,,,,,CDH4
,,,,,,,,,,,,,,,,CDH5
,,,,,,,,,,,,,,,,CDH6
,,,,,,,,,,,,,,,,CDH7
,,,,,,,,,,,,,,,,CDH8
,,,,,,,,,,,,,,,,CDH9
,,,,,,,,,,,,,,,,CDHR3
,,,,,,,,,,,,,,,,CDK18
,,,,,,,,,,,,,,,,CDK19
,,,,,,,,,,,,,,,,CDK2AP1
,,,,,,,,,,,,,,,,CDK2AP2
,,,,,,,,,,,,,,,,CDKN1A
,,,,,,,,,,,,,,,,CDKN1B
,,,,,,,,,,,,,,,,CDKN1C
,,,,,,,,,,,,,,,,CDKN2A
,,,,,,,,,,,,,,,,CDKN2B
,,,,,,,,,,,,,,,,CDKN2B-AS1
,,,,,,,,,,,,,,,,CDR2L
,,,,,,,,,,,,,,,,CDX1
,,,,,,,,,,,,,,,,CEACAM1
,,,,,,,,,,,,,,,,CEACAM21
,,,,,,,,,,,,,,,,CEBPA
,,,,,,,,,,,,,,,,CEBPB
,,,,,,,,,,,,,,,,CEBPD
,,,,,,,,,,,,,,,,CEBPG
,,,,,,,,,,,,,,,,CEBPZ
,,,,,,,,,,,,,,,,CELF4
,,,,,,,,,,,,,,,,CELF5
,,,,,,,,,,,,,,,,CEMIP
,,,,,,,,,,,,,,,,CENPB
,,,,,,,,,,,,,,,,CENPBD1
,,,,,,,,,,,,,,,,CENPE
,,,,,,,,,,,,,,,,CENPF
,,,,,,,,,,,,,,,,CENPP
,,,,,,,,,,,,,,,,CENPQ
,,,,,,,,,,,,,,,,CEP128
,,,,,,,,,,,,,,,,CEP135
,,,,,,,,,,,,,,,,CEP152
,,,,,,,,,,,,,,,,CEP85
,,,,,,,,,,,,,,,,CERCAM
,,,,,,,,,,,,,,,,CERS2
,,,,,,,,,,,,,,,,CERS3
,,,,,,,,,,,,,,,,CERS4
,,,,,,,,,,,,,,,,CERS5
,,,,,,,,,,,,,,,,CERS6
,,,,,,,,,,,,,,,,CFAP47
,,,,,,,,,,,,,,,,CFAP54
,,,,,,,,,,,,,,,,CFH
,,,,,,,,,,,,,,,,CFL2
,,,,,,,,,,,,,,,,CFLAR
,,,,,,,,,,,,,,,,CFLAR-AS1
,,,,,,,,,,,,,,,,CFTR
,,,,,,,,,,,,,,,,CGNL1
,,,,,,,,,,,,,,,,CH25H
,,,,,,,,,,,,,,,,CHADL
,,,,,,,,,,,,,,,,CHAMP1
,,,,,,,,,,,,,,,,CHD1
,,,,,,,,,,,,,,,,CHD2
,,,,,,,,,,,,,,,,CHD7
,,,,,,,,,,,,,,,,CHEK2
,,,,,,,,,,,,,,,,CHI3L1
,,,,,,,,,,,,,,,,CHL1-AS1
,,,,,,,,,,,,,,,,CHMP1B2P
,,,,,,,,,,,,,,,,CHODL
,,,,,,,,,,,,,,,,CHRDL1
,,,,,,,,,,,,,,,,CHRM2
,,,,,,,,,,,,,,,,CHRM3
,,,,,,,,,,,,,,,,CHRM3-AS2
,,,,,,,,,,,,,,,,CHRM5
,,,,,,,,,,,,,,,,CHRNA7
,,,,,,,,,,,,,,,,CHST11
,,,,,,,,,,,,,,,,CHST15
,,,,,,,,,,,,,,,,CHST3
,,,,,,,,,,,,,,,,CHST6
,,,,,,,,,,,,,,,,CHST8
,,,,,,,,,,,,,,,,CHST9
,,,,,,,,,,,,,,,,CHSY1
,,,,,,,,,,,,,,,,CHSY3
,,,,,,,,,,,,,,,,CHURC1
,,,,,,,,,,,,,,,,CIB1
,,,,,,,,,,,,,,,,CIC
,,,,,,,,,,,,,,,,CIITA
,,,,,,,,,,,,,,,,CKMT1B
,,,,,,,,,,,,,,,,CKS2
,,,,,,,,,,,,,,,,CLCA4
,,,,,,,,,,,,,,,,CLCN5
,,,,,,,,,,,,,,,,CLDN10
,,,,,,,,,,,,,,,,CLDN14
,,,,,,,,,,,,,,,,CLDN15
,,,,,,,,,,,,,,,,CLDN5
,,,,,,,,,,,,,,,,CLDND1
,,,,,,,,,,,,,,,,CLEC14A
,,,,,,,,,,,,,,,,CLEC17A
,,,,,,,,,,,,,,,,CLEC19A
,,,,,,,,,,,,,,,,CLEC1A
,,,,,,,,,,,,,,,,CLEC2A
,,,,,,,,,,,,,,,,CLEC2B
,,,,,,,,,,,,,,,,CLEC2D
,,,,,,,,,,,,,,,,CLEC5A
,,,,,,,,,,,,,,,,CLEC7A
,,,,,,,,,,,,,,,,CLEC9A
,,,,,,,,,,,,,,,,CLIC1
,,,,,,,,,,,,,,,,CLIC2
,,,,,,,,,,,,,,,,CLIC4
,,,,,,,,,,,,,,,,CLIC5
,,,,,,,,,,,,,,,,CLK1
,,,,,,,,,,,,,,,,CLMN
,,,,,,,,,,,,,,,,CLMP
,,,,,,,,,,,,,,,,CLNK
,,,,,,,,,,,,,,,,CLOCK
,,,,,,,,,,,,,,,,CLSTN2
,,,,,,,,,,,,,,,,CLTCL1
,,,,,,,,,,,,,,,,CLU
,,,,,,,,,,,,,,,,CLUL1
,,,,,,,,,,,,,,,,CLYBL
,,,,,,,,,,,,,,,,CMAHP
,,,,,,,,,,,,,,,,CMKLR1
,,,,,,,,,,,,,,,,CMTM3
,,,,,,,,,,,,,,,,CMTM5
,,,,,,,,,,,,,,,,CMTM6
,,,,,,,,,,,,,,,,CMTM7
,,,,,,,,,,,,,,,,CMTM8
,,,,,,,,,,,,,,,,CNBD1
,,,,,,,,,,,,,,,,CNDP1
,,,,,,,,,,,,,,,,CNGA1
,,,,,,,,,,,,,,,,CNN3
,,,,,,,,,,,,,,,,CNOT3
,,,,,,,,,,,,,,,,CNOT4
,,,,,,,,,,,,,,,,CNOT6
,,,,,,,,,,,,,,,,CNOT8
,,,,,,,,,,,,,,,,CNP
,,,,,,,,,,,,,,,,CNPY3
,,,,,,,,,,,,,,,,CNR1
,,,,,,,,,,,,,,,,CNTLN
,,,,,,,,,,,,,,,,CNTN2
,,,,,,,,,,,,,,,,CNTN3
,,,,,,,,,,,,,,,,CNTN4
,,,,,,,,,,,,,,,,CNTN5
,,,,,,,,,,,,,,,,CNTN6
,,,,,,,,,,,,,,,,CNTNAP3
